horizon,rmse,mae,rmse_std,mae_std,valid_rows,direct_rmse,direct_mae,rmse_change_pct_vs_direct,mae_change_pct_vs_direct
osi_target_t01h,0.011957684834975148,0.003590930579439895,0.003086374101348515,0.0005297468417120423,34177,0.012232,0.003654,-2.24260272257073,-1.7260377821594175
osi_target_t06h,0.010596681050203081,0.003411891299468221,0.0024964497543733676,0.0005350886259544033,32982,0.010677,0.003538,-0.7522614011137851,-3.564406459349323
osi_target_t24h,0.008450619198005915,0.0029179890995903396,0.0028746996014378666,0.000679878208297431,28680,0.008637,0.002934,-2.157934491074276,-0.5457021271186191
osi_target_t48h,0.007640781626664056,0.002290873297311795,0.003327040879011909,0.0005332112825079349,22944,0.007687,0.002293,-0.6012537184329925,-0.09274760960334971
