horizon,fold,valid_rows,rmse,mae
osi_target_t01h,0,6864,0.006690354494990308,0.0027047566074337713
osi_target_t01h,1,6721,0.010696664707104559,0.0038220510623413646
osi_target_t01h,2,6864,0.013205203316479218,0.0041127552978586675
osi_target_t01h,3,6864,0.01605877387313114,0.004035860139761329
osi_target_t01h,4,6864,0.011085796446780401,0.0032840447998647897
osi_target_t06h,0,6624,0.006419437562154919,0.0026071706258952547
osi_target_t06h,1,6486,0.010291376643026704,0.0037054658193841294
osi_target_t06h,2,6624,0.013054636771051937,0.004053863179106744
osi_target_t06h,3,6624,0.012845926013928206,0.0037223240934761773
osi_target_t06h,4,6624,0.008874255998564479,0.0029767489153103804
osi_target_t24h,0,5760,0.004712291304173679,0.0020574484393863007
osi_target_t24h,1,5640,0.00872098907514418,0.0036061071267898463
osi_target_t24h,2,5760,0.012981553300975451,0.0038299303842509336
osi_target_t24h,3,5760,0.0057652665329910886,0.00259141398483753
osi_target_t24h,4,5760,0.007559178703994646,0.002519381354920412
osi_target_t48h,0,4608,0.0036491644778137173,0.0016348518284453268
osi_target_t48h,1,4512,0.005664113830843698,0.002398853901225525
osi_target_t48h,2,4608,0.013176863041040574,0.003235623053942554
osi_target_t48h,3,4608,0.004936489935618058,0.002025830590182798
osi_target_t48h,4,4608,0.006925501907487262,0.0021614567086776404
