horizon,component,rmse,mae,rmse_std,mae_std,best_rounds,final_rounds,valid_rows
osi_target_t01h,P_t,0.01909057916040455,0.005679807576112875,0.004943851308716036,0.0008260909567487577,"[103, 374, 225, 365, 171]",248,34177
osi_target_t01h,N_t,0.004289614387452173,0.00089427327979353,0.0015112366906426563,0.00010819002676124199,"[20, 210, 136, 190, 151]",141,34177
osi_target_t01h,D_t,0.01746850050801423,0.005402887863998117,0.00416828578762824,0.0006955390612934435,"[145, 615, 515, 571, 162]",402,34177
osi_target_t01h,R_t,0.004079061416261744,0.0011235070768818294,0.0010666656668418808,0.00012951474843296158,"[38, 180, 142, 143, 160]",133,34177
osi_target_t06h,P_t,0.016676262319636086,0.005478840427199467,0.003822159058313659,0.0008966559649334517,"[220, 35, 369, 114, 384]",224,32982
osi_target_t06h,N_t,0.0037266007791376798,0.0008401808997187712,0.0013007046005844242,0.00011608279578267747,"[29, 81, 499, 24, 64]",139,32982
osi_target_t06h,D_t,0.01628144010577224,0.005173438944374076,0.004030404222014236,0.0007197688305487131,"[97, 89, 326, 145, 304]",192,32982
osi_target_t06h,R_t,0.004047136472661943,0.001102572243439489,0.0010722874503446623,0.00012361626253012698,"[31, 136, 176, 151, 173]",133,32982
osi_target_t24h,P_t,0.013603537000793848,0.00460849457445966,0.004528672926618355,0.0009727904198984275,"[201, 11, 576, 41, 430]",252,28680
osi_target_t24h,N_t,0.0037711869723255397,0.0008602964265394409,0.0015112529485791155,0.00011731705592771976,"[20, 117, 184, 23, 71]",83,28680
osi_target_t24h,D_t,0.011712323620260303,0.004432757441470927,0.003877361928446239,0.0009397483152133089,"[461, 11, 579, 30, 350]",286,28680
osi_target_t24h,R_t,0.003441144802633149,0.0009182693227210737,0.0012929720694343293,0.00011254958007340944,"[23, 124, 170, 17, 81]",83,28680
osi_target_t48h,P_t,0.012276571129970375,0.0036539537439842845,0.005306938442389581,0.000792638558119227,"[311, 6, 430, 28, 196]",194,22944
osi_target_t48h,N_t,0.003441600396444649,0.0006537379505834198,0.0016857044968500653,0.00012786580878230774,"[128, 45, 479, 14, 72]",148,22944
osi_target_t48h,D_t,0.010747470928200447,0.003577905376532178,0.004328184033531951,0.0007451426945230128,"[154, 49, 410, 15, 261]",178,22944
osi_target_t48h,R_t,0.0032682343596321358,0.0007678662204175664,0.0013974131000035678,0.00011194502263040779,"[13, 53, 114, 10, 99]",58,22944
