D_reference,domain,mode,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
B,OSI,C0_direct_osi,osi_target_t01h,E2_minus_E1,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.0,0.0,0.0,0
B,OSI,C0_direct_osi,osi_target_t01h,E2_minus_E0,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.0,0.0,0.0,0
B,OSI,C0_direct_osi,osi_target_t01h,E1_minus_E0,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.0,0.0,0.0,0
B,OSI,C1_component_osi,osi_target_t01h,E2_minus_E1,34177,0.01253201566611169,0.0035996220362679867,5.367546267040795,-0.0001764438955315813,0.01137015784240524,0.0033638732578946113,4.418419284898052,-0.00016318220047797935,-0.0011618578237064508,-9.271116910971278,0.9491269821427428,17937
B,OSI,C1_component_osi,osi_target_t01h,E2_minus_E0,34177,0.012530149408855662,0.0036121356941583027,5.36594772510522,-0.0001516277802003405,0.01137015784240524,0.0033638732578946113,4.418419284898052,-0.00016318220047797935,-0.0011599915664504221,-9.257603629455524,0.9475284402071678,17921
B,OSI,C1_component_osi,osi_target_t01h,E1_minus_E0,34177,0.012530149408855662,0.0036121356941583027,5.36594772510522,-0.0001516277802003405,0.01253201566611169,0.0035996220362679867,5.367546267040795,-0.0001764438955315813,1.8662572560286528e-06,0.014894134101139933,-0.0015985419355750707,13627
B,OSI,C2_equal_blend,osi_target_t01h,E2_minus_E1,34177,0.012621651086400003,0.003622004840166909,5.4446037644699485,-0.0001677937478470662,0.011855831968482649,0.0034639403150179466,4.803944809651123,-0.00016478763117545758,-0.0007658191179173539,-6.067503472208435,0.640658954818826,17243
B,OSI,C2_equal_blend,osi_target_t01h,E2_minus_E0,34177,0.012620771486413536,0.0036280031624805367,5.443844924522615,-0.00015463171443037734,0.011855831968482649,0.0034639403150179466,4.803944809651123,-0.00016478763117545758,-0.0007649395179308866,-6.060956881711677,0.6399001148714927,17251
B,OSI,C2_equal_blend,osi_target_t01h,E1_minus_E0,34177,0.012620771486413536,0.0036280031624805367,5.443844924522615,-0.00015463171443037734,0.012621651086400003,0.003622004840166909,5.4446037644699485,-0.0001677937478470662,8.795999864672638e-07,0.00696946290021927,-0.0007588399473332785,13275
B,OSI,C3_aligned_component,osi_target_t01h,E2_minus_E1,34177,0.012478692430767203,0.0035784131526377322,5.321966046943706,-0.00018381665367751192,0.01146318981783242,0.0033958411805940203,4.491019142769874,-0.00019275390274444765,-0.0010155026129347825,-8.137892800618918,0.8309469041738318,17135
B,OSI,C3_aligned_component,osi_target_t01h,E2_minus_E0,34177,0.012475381943844085,0.0035790543880305126,5.319142680295023,-0.00017340290005889454,0.01146318981783242,0.0033958411805940203,4.491019142769874,-0.00019275390274444765,-0.001012192126011665,-8.1135161277457,0.8281235375251494,17146
B,OSI,C3_aligned_component,osi_target_t01h,E1_minus_E0,34177,0.012475381943844085,0.0035790543880305126,5.319142680295023,-0.00017340290005889454,0.012478692430767203,0.0035784131526377322,5.321966046943706,-0.00018381665367751192,3.31048692311757e-06,0.02653615687293609,-0.002823366648682324,13254
B,OSI,v18_rule,osi_target_t01h,E2_minus_E1,34177,0.012478692430767203,0.0035784131526377322,5.321966046943706,-0.00018381665367751192,0.01146318981783242,0.0033958411805940203,4.491019142769874,-0.00019275390274444765,-0.0010155026129347825,-8.137892800618918,0.8309469041738318,17135
