case,space,horizon,n,P_weighted_rmse,other_weighted_rmse,two_mean_P_other_product,P_other_covariance,official_truth_rounding_rmse,linear_osi_rmse,postprocessed_osi_rmse,postprocessing_mse_change
E0,raw,osi_target_t01h,34177,0.008075082934429687,0.004662540491048039,6.620012721163772e-05,3.3100056634661016e-05,2.423938157445867e-05,0.012375364596367833,0.012377906467915173,6.291963542185124e-08
E0,aligned,osi_target_t01h,34177,0.007948164238676905,0.004721764218438741,6.630853798565379e-05,3.315427443640864e-05,2.423938157445867e-05,0.012319931450941695,0.01232246237425789,6.236800909902485e-08
E1,raw,osi_target_t01h,34177,0.008077957905906605,0.004662540491048039,6.617077429805274e-05,3.3085300139624945e-05,2.423938157445867e-05,0.01237605681900904,0.012379254009328504,7.91474401356997e-08
E1,aligned,osi_target_t01h,34177,0.007952007073574843,0.004721764218438741,6.631354006102216e-05,3.315678170161985e-05,2.423938157445867e-05,0.01232261508115055,0.01232526989373838,6.543551529471963e-08
E2,raw,osi_target_t01h,34177,0.007323806130805913,0.004662540491048039,5.250282948404791e-05,2.6251396193925056e-05,2.423938157445867e-05,0.011308591514561603,0.011312143773707869,8.035471382299717e-08
E2,aligned,osi_target_t01h,34177,0.007152520727919952,0.004721764218438741,5.6564023320094597e-05,2.8282028954586715e-05,2.423938157445867e-05,0.011402711731435313,0.01140564895985692,6.699336527272504e-08
E0,raw,osi_target_t06h,32982,0.0067150976631588375,0.004562221288660437,5.4271027650580565e-05,2.7135948691746597e-05,2.415995982099207e-05,0.01096267771250578,0.010966347987999515,8.04855656300345e-08
E0,aligned,osi_target_t06h,32982,0.006730844190346807,0.004407168682501191,5.3374896446854195e-05,2.668741848449896e-05,2.415995982099207e-05,0.01086762253996573,0.010870630226386284,6.53818476519072e-08
E1,raw,osi_target_t06h,32982,0.0067150976631588375,0.004562221288660437,5.4271027650580565e-05,2.7135948691746597e-05,2.415995982099207e-05,0.01096267771250578,0.010966347987999515,8.04855656300345e-08
E1,aligned,osi_target_t06h,32982,0.00672701129170809,0.004407168682501191,5.333141060799464e-05,2.6665650829321578e-05,2.415995982099207e-05,0.010863249445583305,0.010866399917108627,6.845864157240672e-08
E2,raw,osi_target_t06h,32982,0.0067150976631588375,0.004562221288660437,5.4271027650580565e-05,2.7135948691746597e-05,2.415995982099207e-05,0.01096267771250578,0.010966347987999515,8.04855656300345e-08
E2,aligned,osi_target_t06h,32982,0.0063998821383690245,0.004407168682501191,4.8431207090275935e-05,2.4215585594383007e-05,2.415995982099207e-05,0.010431493703753318,0.01043484686574168,6.996822003386743e-08
