population,kind,support_rows,all_rows,support_counties,raw_label_rmse,clipped_label_rmse,raw_P_contribution_rmse,clipped_P_contribution_rmse,clipped_low,clipped_high
all,direct,34177,34177,239,0.020200768364225092,0.020194894764766512,0.020200768364225092,0.020194894764766512,5875,0
all,a,26598,34177,186,0.33009246447664825,0.3300838708219729,0.008994603951967472,0.008994578661854982,582,3
all,b,34177,34177,239,0.016275674915713443,0.016257543761037614,0.015199698900215487,0.015181798536727822,12238,0
fold0,direct,6864,6864,48,0.017881058249336612,0.01786901283494325,0.017881058249336612,0.01786901283494325,1031,0
fold0,a,5720,6864,40,0.30749743313429484,0.30749721984326334,0.008257134350736038,0.008257132899359901,4,0
fold0,b,6864,6864,48,0.01481122063090347,0.014763721102881773,0.014506163782191214,0.01445889514322959,2760,0
fold1,direct,6864,6864,48,0.019781113235582147,0.019769332160155858,0.019781113235582147,0.019769332160155858,1820,0
fold1,a,4719,6864,33,0.32161063158052117,0.3216103768774417,0.009224011890985751,0.009224002587558008,10,0
fold1,b,6864,6864,48,0.00762198019311404,0.007580311617711613,0.007511467178818653,0.007472208347562637,3076,0
fold2,direct,6864,6864,48,0.013600092884951441,0.013598141693486637,0.013600092884951441,0.013598141693486637,1157,0
fold2,a,5291,6864,37,0.3395901427710248,0.33958836590986136,0.009500247645304256,0.009500247333848643,41,0
fold2,b,6864,6864,48,0.009304344730103864,0.00926317778506066,0.009102635213506153,0.009067799892233316,2682,0
fold3,direct,6721,6721,47,0.025279556343258142,0.02527545848444293,0.025279556343258142,0.02527545848444293,1169,0
fold3,a,5434,6721,38,0.3127276391524577,0.3127008058577852,0.007236199861551407,0.007236157930781618,294,3
fold3,b,6721,6721,47,0.024706944382526786,0.02470507145777017,0.021381671436401288,0.021379848290627924,2160,0
fold4,direct,6864,6864,48,0.022585929649802654,0.022585289747851373,0.022585929649802654,0.022585289747851373,698,0
fold4,a,5434,6864,38,0.3659171398194246,0.3659041151350819,0.010394226985430811,0.010394156294339067,233,0
fold4,b,6864,6864,48,0.018900154919506095,0.01889899625626872,0.018787783794571317,0.01878668785137462,1560,0
