domain,mode,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
OSI,C0_direct_osi,osi_target_t01h,E2_minus_E1,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.0,0.0,0.0,0
OSI,C0_direct_osi,osi_target_t01h,E2_minus_E0,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.0,0.0,0.0,0
OSI,C0_direct_osi,osi_target_t01h,E1_minus_E0,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.0,0.0,0.0,0
OSI,C1_component_osi,osi_target_t01h,E2_minus_E1,34177,0.012379254009328504,0.0035810479236058406,5.237486143713642,-0.000172624188572607,0.011312143773707869,0.0033507031924437506,4.373446023365277,-0.00015939952652730026,-0.0010671102356206354,-8.620149766831709,0.8640401203483652,17933
OSI,C1_component_osi,osi_target_t01h,E2_minus_E0,34177,0.012377906467915173,0.0035938806797108894,5.236345954597049,-0.00014786967131100382,0.011312143773707869,0.0033507031924437506,4.373446023365277,-0.00015939952652730026,-0.001065762694207304,-8.610201547166895,0.8628999312317722,17914
OSI,C1_component_osi,osi_target_t01h,E1_minus_E0,34177,0.012377906467915173,0.0035938806797108894,5.236345954597049,-0.00014786967131100382,0.012379254009328504,0.0035810479236058406,5.237486143713642,-0.000172624188572607,1.3475414133313351e-06,0.010886666633203035,-0.0011401891165929712,13628
OSI,C2_equal_blend,osi_target_t01h,E2_minus_E1,34177,0.012537485086811651,0.003612241120305729,5.372232468486294,-0.0001659527245185095,0.011792615211062889,0.0034547769166965447,4.752850941462889,-0.00016297941577318446,-0.0007448698757487621,-5.941142666102161,0.6193815270234051,17242
OSI,C2_equal_blend,osi_target_t01h,E2_minus_E0,34177,0.012536732937676598,0.0036183241071722754,5.371587905598121,-0.00015284019521100235,0.011792615211062889,0.0034547769166965447,4.752850941462889,-0.00016297941577318446,-0.0007441177266137092,-5.935499546117118,0.6187369641352323,17252
OSI,C2_equal_blend,osi_target_t01h,E1_minus_E0,34177,0.012536732937676598,0.0036183241071722754,5.371587905598121,-0.00015284019521100235,0.012537485086811651,0.003612241120305729,5.372232468486294,-0.0001659527245185095,7.521491350529624e-07,0.005999562555825122,-0.0006445628881728283,13281
OSI,C3_aligned_component,osi_target_t01h,E2_minus_E1,34177,0.01232526989373838,0.0035598390399755857,5.191905923616554,-0.00017999694671853763,0.01140564895985692,0.0033826711151431596,4.446045881237099,-0.00018897122879376848,-0.0009196209338814595,-7.461264068129292,0.745860042379455,17131
