population,n,a_mse,b_mse,twice_cross_mean,P_mse
all,34177,8.090244530429696e-05,0.00023048700680979104,2.384889939610129e-05,0.00033523835151018936
fold0,6864,6.818024371769163e-05,0.00020905964876290824,1.933551129769047e-05,0.0002965754037782903
fold1,6864,8.508222373527683e-05,5.583389758938475e-05,9.356906497020416e-06,0.000150273027821682
fold2,6864,9.025469940429829e-05,8.222499488558658e-05,1.0787865245573877e-05,0.0001832675595354587
fold3,6721,5.23619815992137e-05,0.00045709791293026573,6.512273150813467e-05,0.000574582626037614
fold4,6864,0.00010803848507114845,0.0003529396404249867,1.5501353934421067e-05,0.00047647947943055616
