case,population,kind,support_rows,all_rows,support_counties,raw_label_rmse,clipped_label_rmse,raw_P_contribution_rmse,clipped_P_contribution_rmse,clipped_low,clipped_high
F0,all,a,26598,34177,186,0.33232337073009444,0.33231629676678925,0.009442725066698616,0.009442611149386116,260,1
F0,all,b,34177,34177,239,0.01592731926183117,0.01591297389559516,0.014835986131308659,0.014822050635848235,13200,0
F0,fold0,a,5577,6864,39,0.3034387406693761,0.30343545354342694,0.010218536055311632,0.010218533293518118,63,0
F0,fold0,b,6864,6864,48,0.005843277179030194,0.005807574625591054,0.005627599082277458,0.005596389434074078,2913,0
F0,fold1,a,5720,6721,40,0.3997815867956821,0.3997780062509283,0.008900210824870079,0.008900207978989366,67,0
F0,fold1,b,6721,6721,47,0.011630357024031644,0.011624931494881464,0.011411764278620128,0.011406623929115308,2820,0
F0,fold2,a,5291,6864,37,0.3324917797510906,0.3324694069213169,0.009450343511429945,0.009450334948683508,40,0
F0,fold2,b,6864,6864,48,0.018665440659437562,0.01866104193005693,0.0184473721242084,0.018443312623995588,2149,0
F0,fold3,a,5148,6864,36,0.33377367506204036,0.33377084429079623,0.008552600892987088,0.008551993695624757,7,1
F0,fold3,b,6864,6864,48,0.02475591292195772,0.024737777533808854,0.02152299462495997,0.021504463095463652,2643,0
F0,fold4,a,4862,6864,34,0.2688059907947546,0.2688025052748784,0.009976460205616171,0.009976457285657249,83,0
F0,fold4,b,6864,6864,48,0.011630457324097948,0.01160148849425366,0.011541962151240308,0.011513959938038243,2675,0
F1,all,a,26598,34177,186,0.32808698427067,0.32803709665351904,0.009534124893815393,0.009533985051440473,1346,1
F1,all,b,34177,34177,239,0.01608533200596755,0.016072984271736968,0.014979547308334675,0.014967707547866796,12896,0
F1,fold0,a,5577,6864,39,0.30312748687051294,0.3031075453546181,0.009967019400957657,0.009966971183228755,595,0
F1,fold0,b,6864,6864,48,0.006501525031367373,0.006477996039882109,0.00598192233300851,0.0059579981312178785,2872,0
F1,fold1,a,5720,6721,40,0.3960570384879955,0.3960534563834897,0.008733558503241945,0.008733558031358639,94,0
F1,fold1,b,6721,6721,47,0.011959866442194303,0.011956317946711066,0.011723148764901149,0.01171993617259115,2804,0
F1,fold2,a,5291,6864,37,0.32740730490138165,0.32738587511180123,0.009290281815746905,0.009290233776962434,96,0
F1,fold2,b,6864,6864,48,0.018802055791108725,0.01879995311358443,0.018583774738351655,0.01858196594795054,2059,0
F1,fold3,a,5148,6864,36,0.32359902043848215,0.32340864693186544,0.00851432958441312,0.0085136928531761,206,1
F1,fold3,b,6864,6864,48,0.02480777669541877,0.024786545153267076,0.021601901015376433,0.021580790355328984,2596,0
F1,fold4,a,4862,6864,34,0.26718600443604745,0.26715573948282406,0.010944100975077774,0.010944074796809184,355,0
F1,fold4,b,6864,6864,48,0.011705887529861752,0.011686367527697772,0.011614999373711155,0.01159659402331485,2565,0
F2,all,a,26598,34177,186,0.33241624355683114,0.3323970349988599,0.009190706559384606,0.0091899058067544,1089,4
F2,all,b,34177,34177,239,0.015844429931034812,0.015821771816034433,0.014737752609687751,0.01471576505731915,13829,0
F2,fold0,a,5577,6864,39,0.3082680252936494,0.30823141980077,0.010326836314658534,0.010326721658791994,661,0
F2,fold0,b,6864,6864,48,0.005988897170112646,0.005921508093334533,0.005709341274402485,0.005646250673443305,2917,0
F2,fold1,a,5720,6721,40,0.4051030373244579,0.4051030296743002,0.008422237112905658,0.008422237112882838,9,0
F2,fold1,b,6721,6721,47,0.011116664963397757,0.011102044156155483,0.010935012052482537,0.010921702490720919,3110,0
F2,fold2,a,5291,6864,37,0.32462035378558185,0.32455919439501446,0.008162637275043823,0.008162105751950905,337,2
F2,fold2,b,6864,6864,48,0.018555199816047096,0.018538871877617463,0.018333306215270687,0.018318218519253665,2251,0
F2,fold3,a,5148,6864,36,0.3292471974214029,0.3292467316880445,0.009044299489063495,0.009040859062245249,0,2
F2,fold3,b,6864,6864,48,0.02489400454413393,0.024872304665282067,0.021639997045617355,0.021618223341965642,2844,0
F2,fold4,a,4862,6864,34,0.27013578509963204,0.27013497936003794,0.009800909608821436,0.009800908624607566,82,0
F2,fold4,b,6864,6864,48,0.011363108363737827,0.011329342822061536,0.011287258818757565,0.01125494568551363,2707,0
