case,population,n,a_mse,b_mse,twice_cross_mean,P_mse
F0,all,34177,8.916290531851098e-05,0.00021969318505164905,2.606441318291417e-05,0.00033492050355307424
F0,fold0,6864,0.00010441842267073824,3.131957469781598e-05,3.5307041143624355e-06,0.00013926870148291666
F0,fold1,6721,7.921370206926599e-05,0.00013011106946026594,2.2407592973174314e-05,0.0002317323645027062
F0,fold2,6864,8.930883064230892e-05,0.000340155780546435,1.4134476915492973e-05,0.000443599088104237
F0,fold3,6864,7.313659617000559e-05,0.0004624419330241581,8.10471302096328e-05,0.0006166256594037965
F0,fold4,6864,9.95296999725436e-05,0.00013257127345474962,9.125977947538767e-06,0.00024122695137483198
F1,all,34177,9.089687096109042e-05,0.00022403226923846858,1.8778455011181286e-05,0.0003337075952107403
F1,fold0,6864,9.934051456731236e-05,3.5497741731595736e-05,-3.548858895217102e-06,0.00013128939740369105
F1,fold1,6721,7.627503588710897e-05,0.0001373569038896105,2.246744502477048e-05,0.00023609938480148994
F1,fold2,6864,8.630844363061369e-05,0.0003452894584907934,1.516736616674105e-05,0.00044676526828814805
F1,fold3,6864,7.24829659982218e-05,0.0004657305123606604,5.1045894700582796e-05,0.000589259373059465
F1,fold4,6864,0.00011977277315815397,0.0001344809929415817,8.837282017645655e-06,0.0002630910481173813
F2,all,34177,8.445436873701824e-05,0.00021655374122221528,1.802463292019547e-05,0.00031903274287942894
F2,fold0,6864,0.00010664118021816366,3.188014666735897e-05,-7.110810577331248e-06,0.0001314105163081914
F2,fold1,6721,7.093407798562102e-05,0.00011928358529581952,1.766459441550987e-05,0.0002078822576969504
F2,fold2,6864,6.661997030603006e-05,0.00033555712971912796,1.5130292939135904e-05,0.000417307392964294
F2,fold3,6864,8.173713258338202e-05,0.00046734758046310804,5.5749530826504034e-05,0.0006048342438729939
F2,fold4,6864,9.605780986790698e-05,0.00012667380238386188,8.682056194977844e-06,0.0002314136684467467
