case,space,horizon,n,P_weighted_rmse,other_weighted_rmse,two_mean_P_other_product,P_other_covariance,official_truth_rounding_rmse,linear_osi_rmse,postprocessed_osi_rmse,postprocessing_mse_change
F0,raw,osi_target_t01h,34177,0.007320333364573766,0.004496285140031371,5.126844670132388e-05,2.5634454012119555e-05,2.423938157445867e-05,0.011183756957392581,0.011187368590210009,8.079629119049636e-08
F0,aligned,osi_target_t01h,34177,0.007097454083186332,0.004429970913537574,5.3191851797904156e-05,2.6595545905010377e-05,2.423938157445867e-05,0.01109929121265102,0.011101490712958732,4.883062667681171e-08
F1,raw,osi_target_t01h,34177,0.007307066116692694,0.004496285140031371,5.026913146907658e-05,2.5131662922285507e-05,2.423938157445867e-05,0.011130264172352355,0.011133177522735075,6.486120638301315e-08
F1,aligned,osi_target_t01h,34177,0.007036412191401447,0.004429970913537574,5.239787884576367e-05,2.6197543060051945e-05,2.423938157445867e-05,0.011024405926960523,0.01102623235674826,4.0273942599974594e-08
F2,raw,osi_target_t01h,34177,0.00714459508024833,0.004496285140031371,4.951369454752925e-05,2.4756484704888922e-05,2.423938157445867e-05,0.010989981022477266,0.01099408271972475,9.017197373990306e-08
F2,aligned,osi_target_t01h,34177,0.006996176668006056,0.004429970913537574,5.219890395423465e-05,2.6098766293151047e-05,2.423938157445867e-05,0.010989722300458016,0.010991492021847564,3.890062515439865e-08
F0,raw,osi_target_t06h,32982,0.006681707690906079,0.004245797198062942,5.00630397845445e-05,2.502711549544111e-05,2.415995982099207e-05,0.010617814046388098,0.010621545697340714,7.925787702065131e-08
F0,aligned,osi_target_t06h,32982,0.0063320050064460285,0.004164242044690143,4.546894110814747e-05,2.2733432449509027e-05,2.415995982099207e-05,0.010144311052699608,0.010146817077991867,5.0850080303974695e-08
F1,raw,osi_target_t06h,32982,0.006681707690906079,0.004245797198062942,5.00630397845445e-05,2.502711549544111e-05,2.415995982099207e-05,0.010617814046388098,0.010621545697340714,7.925787702065131e-08
F1,aligned,osi_target_t06h,32982,0.006318661821026147,0.004164242044690143,4.5189327076330406e-05,2.2592764157801045e-05,2.415995982099207e-05,0.010122183420479476,0.010124254873295465,4.193954161738002e-08
F2,raw,osi_target_t06h,32982,0.006681707690906079,0.004245797198062942,5.00630397845445e-05,2.502711549544111e-05,2.415995982099207e-05,0.010617814046388098,0.010621545697340714,7.925787702065131e-08
F2,aligned,osi_target_t06h,32982,0.0062717428036647045,0.004164242044690143,4.4881774900417114e-05,2.24396446688921e-05,2.415995982099207e-05,0.010077721183596847,0.01007974033020953,4.070087013588724e-08
