domain,mode,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
OSI,C0_direct_osi,osi_target_t01h,F1_minus_F0,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
OSI,C0_direct_osi,osi_target_t01h,F2_minus_F0,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
OSI,C0_direct_osi,osi_target_t01h,F2_minus_F1,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
OSI,C1_component_osi,osi_target_t01h,F1_minus_F0,34177,0.011187368590210009,0.0033720659062251093,4.277498170316654,-0.00011883284701340053,0.011133177522735075,0.0034004836750807918,4.236158552183173,-1.9252889999529947e-05,-5.4191067474933935e-05,-0.4843951197098906,0.04133961813348108,17499
OSI,C1_component_osi,osi_target_t01h,F2_minus_F0,34177,0.011187368590210009,0.0033720659062251093,4.277498170316654,-0.00011883284701340053,0.01099408271972475,0.003278457649174449,4.130969029145235,-0.00010064466718107809,-0.00019328587048525817,-1.7277152256733652,0.1465291411714187,17512
OSI,C1_component_osi,osi_target_t01h,F2_minus_F1,34177,0.011133177522735075,0.0034004836750807918,4.236158552183173,-1.9252889999529947e-05,0.01099408271972475,0.003278457649174449,4.130969029145235,-0.00010064466718107809,-0.00013909480301032423,-1.2493720029729039,0.1051895230379376,17642
OSI,C2_equal_blend,osi_target_t01h,F1_minus_F0,34177,0.011417482127708052,0.0034116720936795963,4.455276061612281,-0.00013980518774322996,0.011372965256621877,0.003426137610100992,4.420601464718077,-8.980690425099688e-05,-4.4516871086175067e-05,-0.3899009482847493,0.03467459689420416,17124
OSI,C2_equal_blend,osi_target_t01h,F2_minus_F0,34177,0.011417482127708052,0.0034116720936795963,4.455276061612281,-0.00013980518774322996,0.011319898969309572,0.003364610377481295,4.379444630906323,-0.0001314229386326237,-9.758315839848014e-05,-0.8546819456950572,0.07583143070595799,17024
OSI,C2_equal_blend,osi_target_t01h,F2_minus_F1,34177,0.011372965256621877,0.003426137610100992,4.420601464718077,-8.980690425099688e-05,0.011319898969309572,0.003364610377481295,4.379444630906323,-0.0001314229386326237,-5.3066287312305074e-05,-0.4666002763123456,0.041156833811753835,17147
OSI,C3_aligned_component,osi_target_t01h,F1_minus_F0,34177,0.011101490712958732,0.0033403611996247746,4.212079293697739,-0.00011626380690964074,0.01102623235674826,0.0033442907211551974,4.155164470087423,-7.7000009696329e-05,-7.52583562104725e-05,-0.6779121665401511,0.05691482361031586,17311
