horizon,rmse,mae,rmse_std,mae_std,final_rounds,valid_rows
osi_target_t01h,0.012228192044245587,0.003427025315195186,0.003193266827992919,0.00039731240172915014,496,34177
osi_target_t06h,0.010716768612631624,0.003339242727254627,0.002644852663688049,0.0006283942376738044,894,32982
osi_target_t24h,0.008683365643492836,0.0027345724107400164,0.0025595373413561905,0.0005169673930989353,791,28680
osi_target_t48h,0.007894751894576267,0.002125073898437284,0.0034487076046147555,0.0006613513241068567,367,22944
