horizon,fold,train_rows,valid_rows,best_round,rmse,mae
osi_target_t01h,0,27313,6864,895,0.006785287763911446,0.002768916192995957
osi_target_t01h,1,27456,6721,305,0.010471654342169722,0.0035205883267170487
osi_target_t01h,2,27313,6864,588,0.01294802952801636,0.0036810705239187073
osi_target_t01h,3,27313,6864,325,0.016550952960542955,0.003925356591373103
osi_target_t01h,4,27313,6864,369,0.012228308376867815,0.0032411441703778182
osi_target_t06h,0,26358,6624,385,0.0064297269196856525,0.002440811835877081
osi_target_t06h,1,26496,6486,1195,0.009122538356505052,0.0031780556927567477
osi_target_t06h,2,26358,6624,1236,0.013067934750491266,0.004078245061633923
osi_target_t06h,3,26358,6624,1145,0.013561298197318772,0.004019785707769868
osi_target_t06h,4,26358,6624,511,0.009713130300163568,0.00297595727501681
osi_target_t24h,0,22920,5760,671,0.004934266177198383,0.002043647401668738
osi_target_t24h,1,23040,5640,1261,0.008343587744677316,0.0026682449657909873
osi_target_t24h,2,22920,5760,1273,0.01276565245503885,0.0036367408915130043
osi_target_t24h,3,22920,5760,126,0.007082958723525544,0.0027836744853884593
osi_target_t24h,4,22920,5760,622,0.008354103162484416,0.0025391724875691232
osi_target_t48h,0,18336,4608,440,0.0038323777511877575,0.0014895178708061085
osi_target_t48h,1,18432,4512,25,0.0059607599943264835,0.001901450075855928
osi_target_t48h,2,18336,4608,611,0.013630181542312065,0.0034050450226968537
osi_target_t48h,3,18336,4608,29,0.004898323131191316,0.0018667245228016964
osi_target_t48h,4,18336,4608,731,0.007147312833813081,0.0019579731703887235
