horizon,component,weight,contribution_rmse,contribution_mae,correlation_with_C1_osi_error
osi_target_t01h,P_t,0.4,0.008075082934429687,0.0022913763971476532,0.9860167326473627
osi_target_t01h,N_t,0.35,0.0015213810537123107,0.0003155802421735701,0.4482929184611788
osi_target_t01h,D_t,0.25,0.0045064375993021455,0.0013369993372538114,0.9053523578081726
osi_target_t01h,R_t,-0.1,0.0004118380760823959,0.00011098392275881187,-0.41453888793194493
osi_target_t06h,P_t,0.4,0.0067150976631588375,0.002102314026866059,0.9809106001589522
osi_target_t06h,N_t,0.35,0.0013221277986698596,0.0002982027445293385,0.4180380314070813
osi_target_t06h,D_t,0.25,0.004401813675700565,0.0013475504079933608,0.9107492070605516
osi_target_t06h,R_t,-0.1,0.0004070315950169439,0.00010773731279381829,-0.463397602435552
osi_target_t24h,P_t,0.4,0.005567888315388867,0.0018507603439018544,0.9813553338436328
osi_target_t24h,N_t,0.35,0.0013231533023889326,0.0002984536599426695,0.5333102909320909
osi_target_t24h,D_t,0.25,0.0030596757208381704,0.0010943256833151765,0.877283193852092
osi_target_t24h,R_t,-0.1,0.00034724321679146196,8.979491145071696e-05,-0.4391929776578457
osi_target_t48h,P_t,0.4,0.005048060268777519,0.001387613479470441,0.9797780738782702
osi_target_t48h,N_t,0.35,0.0012199921432381956,0.00023715695180302453,0.5415694950104504
osi_target_t48h,D_t,0.25,0.0027749313325086873,0.0008720125023754334,0.8751404674414693
osi_target_t48h,R_t,-0.1,0.0003307833722713419,7.686226534923501e-05,-0.4634063892407286
