model,horizon,rmse,mae,n,rmse_change_pct_vs_C0,mae_change_pct_vs_C0,prediction_mean,prediction_max,zero_pct
C0_direct_osi,osi_target_t01h,0.012759870025031421,0.003695229860606358,34177,0.0,0.0,0.005608468201321498,0.31695200542516105,51.65754747344705
C0_direct_osi,osi_target_t06h,0.010952654068962227,0.0034380841791316467,32982,0.0,0.0,0.004747613320007869,0.25906454323390515,52.64386635134316
C0_direct_osi,osi_target_t24h,0.00865942183518786,0.0029175849835404396,28680,0.0,0.0,0.003007588977901648,0.11741567278364895,56.00069735006974
C0_direct_osi,osi_target_t48h,0.007941008803189471,0.0022665477750623154,22944,0.0,0.0,0.0019143956709900315,0.05261825497277482,63.46757322175732
C1_component_osi,osi_target_t01h,0.012558336438867274,0.003613873794336044,34177,-1.5794329077709501,-2.201651029550944,0.005590388831582073,0.3023032601583929,51.79506685782837
C1_component_osi,osi_target_t06h,0.010966347987999515,0.003422562010786772,32982,0.12502831689074068,-0.4514772628049779,0.004755402362086713,0.25500409498775034,52.08598629555515
C1_component_osi,osi_target_t24h,0.008710411518259539,0.002956278833563109,28680,0.5888347287168694,1.3262287213898105,0.0030416293450556374,0.11908970514629896,55.77057182705718
C1_component_osi,osi_target_t48h,0.007895792270846023,0.002249936035520659,22944,-0.5694053924897635,-0.7329093048214941,0.00191070645537839,0.054155665472037484,63.214783821478385
C2_equal_blend,osi_target_t01h,0.012635408060633228,0.003628944183232871,34177,-0.9754171802223044,-1.7938174314982902,0.005588657879994803,0.30962763279177696,51.57854697603652
C2_equal_blend,osi_target_t06h,0.010939154506346983,0.003405799143069776,32982,-0.12325380250527429,-0.9390414655299439,0.004736039895352798,0.25500874951681607,52.71360135831665
C2_equal_blend,osi_target_t24h,0.00866343794071386,0.0029172561365550147,28680,0.046378448843786835,-0.011271205030194409,0.003014586623328075,0.11825268896497396,55.97629009762901
C2_equal_blend,osi_target_t48h,0.007904265788718098,0.002243387831819192,22944,-0.46269958114911747,-1.0218157983670428,0.0019019984560150155,0.05338696022240615,63.44578103207811
C3_aligned_component,osi_target_t01h,0.012503692436569555,0.0035807924882082544,34177,-2.007681802081951,-3.096894556359886,0.0055686137117235196,0.3023032601583929,50.91435760891828
C3_aligned_component,osi_target_t06h,0.010870630226386284,0.003348082840773493,32982,-0.7488946702734256,-2.617775879498252,0.004726353373091066,0.27364232841496616,51.65241646958947
C3_aligned_component,osi_target_t24h,0.008410169280340137,0.0027594718016332926,28680,-2.87839719084797,-5.419317099558119,0.0029488483514413335,0.12711832871129908,54.04811715481171
C3_aligned_component,osi_target_t48h,0.007935473406747247,0.0022771103343947638,22944,-0.06970646399485636,0.4660197084157103,0.001997129485055503,0.04775561386935764,60.25540446304045
v18_rule,osi_target_t01h,0.012503692436569555,0.0035807924882082544,34177,-2.007681802081951,-3.096894556359886,0.0055686137117235196,0.3023032601583929,50.91435760891828
v18_rule,osi_target_t06h,0.010870630226386284,0.003348082840773493,32982,-0.7488946702734256,-2.617775879498252,0.004726353373091066,0.27364232841496616,51.65241646958947
v18_rule,osi_target_t24h,0.008710411518259539,0.002956278833563109,28680,0.5888347287168694,1.3262287213898105,0.0030416293450556374,0.11908970514629896,55.77057182705718
v18_rule,osi_target_t48h,0.007895792270846023,0.002249936035520659,22944,-0.5694053924897635,-0.7329093048214941,0.00191070645537839,0.054155665472037484,63.214783821478385
