model,horizon,target_day,rmse,mae,n
C0_direct_osi,osi_target_t01h,2026-03-14,0.025072797095509452,0.008067395354076658,5497
C0_direct_osi,osi_target_t01h,2026-03-15,0.010118495298076667,0.0046295354809996695,5736
C0_direct_osi,osi_target_t01h,2026-03-16,0.0102213975577276,0.004541939771983731,5736
C0_direct_osi,osi_target_t01h,2026-03-17,0.011377821376560505,0.00392202416914411,5736
C0_direct_osi,osi_target_t01h,2026-03-18,0.005486886220051029,0.0008897588028167318,5736
C0_direct_osi,osi_target_t01h,2026-03-19,0.001108381240037182,0.00030289914684517174,5736
C0_direct_osi,osi_target_t06h,2026-03-14,0.02087684329867662,0.007472270396051603,4302
C0_direct_osi,osi_target_t06h,2026-03-15,0.010350992728552506,0.004744089187340254,5736
C0_direct_osi,osi_target_t06h,2026-03-16,0.010165305770434212,0.004494185747602906,5736
C0_direct_osi,osi_target_t06h,2026-03-17,0.01099328346558267,0.0037009584814791004,5736
C0_direct_osi,osi_target_t06h,2026-03-18,0.005510521473908504,0.0009150349725709596,5736
C0_direct_osi,osi_target_t06h,2026-03-19,0.0010941066709357088,0.000310512843975044,5736
C0_direct_osi,osi_target_t24h,2026-03-15,0.010683733926195635,0.005023910510025405,5736
C0_direct_osi,osi_target_t24h,2026-03-16,0.01041413423373508,0.004619943830327817,5736
C0_direct_osi,osi_target_t24h,2026-03-17,0.011026780306236399,0.003810575016140145,5736
C0_direct_osi,osi_target_t24h,2026-03-18,0.0054405892689688845,0.0008397150263448925,5736
C0_direct_osi,osi_target_t24h,2026-03-19,0.001068491758986729,0.0002937805348639392,5736
C0_direct_osi,osi_target_t48h,2026-03-16,0.009977584151262067,0.004387882031035037,5736
C0_direct_osi,osi_target_t48h,2026-03-17,0.011030831233271842,0.003584609407691897,5736
C0_direct_osi,osi_target_t48h,2026-03-18,0.005476782319648075,0.000850028742339195,5736
C0_direct_osi,osi_target_t48h,2026-03-19,0.0010059400976595518,0.00024367091918313418,5736
C1_component_osi,osi_target_t01h,2026-03-14,0.024665292867141763,0.007892367823154082,5497
C1_component_osi,osi_target_t01h,2026-03-15,0.010060314926082555,0.004608178959273139,5736
C1_component_osi,osi_target_t01h,2026-03-16,0.010106303445526342,0.0044792148522851925,5736
C1_component_osi,osi_target_t01h,2026-03-17,0.011057317160553146,0.003728805914622576,5736
C1_component_osi,osi_target_t01h,2026-03-18,0.005459911727507867,0.0008508575465247785,5736
C1_component_osi,osi_target_t01h,2026-03-19,0.0011179044072776733,0.00030208825469058194,5736
C1_component_osi,osi_target_t06h,2026-03-14,0.020938301481998007,0.007457908371123329,4302
C1_component_osi,osi_target_t06h,2026-03-15,0.010282624575590043,0.004739309944885486,5736
C1_component_osi,osi_target_t06h,2026-03-16,0.010134589423829077,0.004420737589714936,5736
C1_component_osi,osi_target_t06h,2026-03-17,0.011074887346963002,0.003697234860334681,5736
C1_component_osi,osi_target_t06h,2026-03-18,0.005513129798230191,0.0009261583142803925,5736
C1_component_osi,osi_target_t06h,2026-03-19,0.0010955270555670841,0.00030285957446594757,5736
C1_component_osi,osi_target_t24h,2026-03-15,0.010484588525813146,0.005037746754401847,5736
C1_component_osi,osi_target_t24h,2026-03-16,0.010455428032186456,0.0046772930160345165,5736
C1_component_osi,osi_target_t24h,2026-03-17,0.01135221681186221,0.00389035970670431,5736
C1_component_osi,osi_target_t24h,2026-03-18,0.00548382153056103,0.0008713286226567968,5736
C1_component_osi,osi_target_t24h,2026-03-19,0.0010810398108892815,0.0003046660680180726,5736
C1_component_osi,osi_target_t48h,2026-03-16,0.009982761611877148,0.0044132402598700314,5736
C1_component_osi,osi_target_t48h,2026-03-17,0.010896556647474371,0.0035244221252533274,5736
C1_component_osi,osi_target_t48h,2026-03-18,0.005472214379419479,0.0008209669937766401,5736
C1_component_osi,osi_target_t48h,2026-03-19,0.0010190858412793525,0.0002411147631826363,5736
C2_equal_blend,osi_target_t01h,2026-03-14,0.024833631815001953,0.0079382131594568,5497
C2_equal_blend,osi_target_t01h,2026-03-15,0.010057698524687039,0.004580847567346952,5736
C2_equal_blend,osi_target_t01h,2026-03-16,0.010133254933502485,0.004481371682142312,5736
C2_equal_blend,osi_target_t01h,2026-03-17,0.011196344423009803,0.003805816431068543,5736
C2_equal_blend,osi_target_t01h,2026-03-18,0.005464569065038821,0.0008545780167869921,5736
C2_equal_blend,osi_target_t01h,2026-03-19,0.0010936828642143634,0.00029239111660495315,5736
C2_equal_blend,osi_target_t06h,2026-03-14,0.020877746785817903,0.007425335505105275,4302
C2_equal_blend,osi_target_t06h,2026-03-15,0.010290460209041483,0.004709770874183034,5736
C2_equal_blend,osi_target_t06h,2026-03-16,0.010123402202587135,0.004430445019855699,5736
C2_equal_blend,osi_target_t06h,2026-03-17,0.011016153537766958,0.003683867877491457,5736
C2_equal_blend,osi_target_t06h,2026-03-18,0.0055027058614745645,0.0009046747422013392,5736
C2_equal_blend,osi_target_t06h,2026-03-19,0.0010732405972728495,0.00028558493009072424,5736
C2_equal_blend,osi_target_t24h,2026-03-15,0.010555482336863804,0.005002415365042688,5736
C2_equal_blend,osi_target_t24h,2026-03-16,0.01040665577768054,0.0046193401662117314,5736
C2_equal_blend,osi_target_t24h,2026-03-17,0.011166362684752495,0.0038351482683247604,5736
