model,horizon,fold,rmse,mae,n
C3_aligned_component,osi_target_t48h,1,0.005295100539470819,0.0022556348780400047,4608
C3_aligned_component,osi_target_t48h,2,0.00449730239665799,0.0018790111393886116,4608
C3_aligned_component,osi_target_t48h,3,0.003957510325993286,0.0016333489973268775,4512
C3_aligned_component,osi_target_t48h,4,0.012509200539812384,0.0031867624039262996,4608
v18_rule,osi_target_t01h,0,0.010838144774828778,0.0035167961658113325,6864
v18_rule,osi_target_t01h,1,0.012082683304091806,0.003824802640950612,6864
v18_rule,osi_target_t01h,2,0.008182971186894053,0.003107635882790988,6864
v18_rule,osi_target_t01h,3,0.01574868019971668,0.0033170478226930457,6721
v18_rule,osi_target_t01h,4,0.014324211328444903,0.004132185248263724,6864
v18_rule,osi_target_t06h,0,0.010723390356987775,0.0034077458746063116,6624
v18_rule,osi_target_t06h,1,0.010196129731409403,0.003506812852592925,6624
v18_rule,osi_target_t06h,2,0.007951117331852454,0.0029690987184223428,6624
v18_rule,osi_target_t06h,3,0.012282956146469072,0.0030081051084324736,6486
v18_rule,osi_target_t06h,4,0.012589313935653487,0.0038415687803896427,6624
v18_rule,osi_target_t24h,0,0.010292288527218797,0.0031032469357711425,5760
v18_rule,osi_target_t24h,1,0.006936390394075493,0.0030706789773871325,5760
v18_rule,osi_target_t24h,2,0.006425406407371111,0.0026138385184966677,5760
v18_rule,osi_target_t24h,3,0.006297646551881186,0.002443474538539895,5640
v18_rule,osi_target_t24h,4,0.011983782189686838,0.003539471774807722,5760
v18_rule,osi_target_t48h,0,0.009747827678557438,0.0024350176144370735,4608
v18_rule,osi_target_t48h,1,0.005400262868545189,0.0022557715794543267,4608
v18_rule,osi_target_t48h,2,0.004382269551473135,0.0017654079598535012,4608
v18_rule,osi_target_t48h,3,0.003945728344992405,0.0015838545188318462,4512
v18_rule,osi_target_t48h,4,0.012320193244812688,0.0031957518067621967,4608
