model,horizon,severity,rmse,mae,n
C0_direct_osi,osi_target_t01h,zero,0.002126030919606789,0.0006763715315978234,14503
C0_direct_osi,osi_target_t01h,0_to_0.01,0.004853672211524671,0.0026817010805305053,16098
C0_direct_osi,osi_target_t01h,0.01_to_0.05,0.019988765005492598,0.012755781579126551,2628
C0_direct_osi,osi_target_t01h,above_0.05,0.06552040889267467,0.041972823458708425,948
C0_direct_osi,osi_target_t06h,zero,0.0020778234793126602,0.0006815223796815042,14147
C0_direct_osi,osi_target_t06h,0_to_0.01,0.004906385744906401,0.002663339773784748,15675
C0_direct_osi,osi_target_t06h,0.01_to_0.05,0.017458829083466274,0.012423367812753579,2421
C0_direct_osi,osi_target_t06h,above_0.05,0.06133581678606286,0.043205102654957216,739
C0_direct_osi,osi_target_t24h,zero,0.002429419374250735,0.0007036957957514999,12791
C0_direct_osi,osi_target_t24h,0_to_0.01,0.004672375960532407,0.0026310704515717757,13815
C0_direct_osi,osi_target_t24h,0.01_to_0.05,0.014966273357202532,0.012096275489081024,1763
C0_direct_osi,osi_target_t24h,above_0.05,0.06657933703744102,0.05466685668414291,311
C0_direct_osi,osi_target_t48h,zero,0.002171877063429835,0.0005545133384055285,10947
C0_direct_osi,osi_target_t48h,0_to_0.01,0.0037742947591262945,0.002108086189497357,10861
C0_direct_osi,osi_target_t48h,0.01_to_0.05,0.01530890159124519,0.012516924230821307,985
C0_direct_osi,osi_target_t48h,above_0.05,0.08177003570031405,0.07091602757625615,151
C1_component_osi,osi_target_t01h,zero,0.0020499609517730917,0.0006498231050546574,14503
C1_component_osi,osi_target_t01h,0_to_0.01,0.004631474101322935,0.0026016780217127822,16098
C1_component_osi,osi_target_t01h,0.01_to_0.05,0.019697406580136204,0.012626927784809207,2628
C1_component_osi,osi_target_t01h,above_0.05,0.06466586576377575,0.04116202654473029,948
C1_component_osi,osi_target_t06h,zero,0.0020524215232582605,0.0006765324977081895,14147
C1_component_osi,osi_target_t06h,0_to_0.01,0.004813802483823004,0.0026336008198813046,15675
C1_component_osi,osi_target_t06h,0.01_to_0.05,0.01772357925510826,0.012516716408240638,2421
C1_component_osi,osi_target_t06h,above_0.05,0.06136823754894234,0.04293284400365564,739
C1_component_osi,osi_target_t24h,zero,0.002526063711168947,0.0007390206207206135,12791
C1_component_osi,osi_target_t24h,0_to_0.01,0.004723854806860338,0.0026786094612748345,13815
C1_component_osi,osi_target_t24h,0.01_to_0.05,0.014911006799815614,0.01203721179044173,1763
C1_component_osi,osi_target_t24h,above_0.05,0.06695267592816385,0.05500537007360763,311
C1_component_osi,osi_target_t48h,zero,0.002110234907004357,0.0005459587772646006,10947
C1_component_osi,osi_target_t48h,0_to_0.01,0.003691179018671388,0.0020841486841881333,10861
C1_component_osi,osi_target_t48h,0.01_to_0.05,0.015299025567613199,0.012469975874972008,985
C1_component_osi,osi_target_t48h,above_0.05,0.08150625979528248,0.071040109724872,151
C2_equal_blend,osi_target_t01h,zero,0.002053425291505799,0.0006450281049880679,14503
C2_equal_blend,osi_target_t01h,0_to_0.01,0.004694346058010305,0.002612954332838021,16098
C2_equal_blend,osi_target_t01h,0.01_to_0.05,0.019803597976764706,0.01265535933306937,2628
C2_equal_blend,osi_target_t01h,above_0.05,0.06503748401005006,0.04150839616706234,948
C2_equal_blend,osi_target_t06h,zero,0.002030666269630137,0.0006576623769194303,14147
C2_equal_blend,osi_target_t06h,0_to_0.01,0.004821981624004308,0.0026233275461037954,15675
C2_equal_blend,osi_target_t06h,0.01_to_0.05,0.017547415642860983,0.01243456052888989,2421
C2_equal_blend,osi_target_t06h,above_0.05,0.06131769020091802,0.04303300049367896,739
C2_equal_blend,osi_target_t24h,zero,0.002446024384604294,0.0007060159793526886,12791
C2_equal_blend,osi_target_t24h,0_to_0.01,0.00465487170549682,0.0026339522764139652,13815
C2_equal_blend,osi_target_t24h,0.01_to_0.05,0.01489504190071749,0.01202244111721089,1763
C2_equal_blend,osi_target_t24h,above_0.05,0.06674731902430982,0.05483164378198021,311
C2_equal_blend,osi_target_t48h,zero,0.0021145359239185904,0.0005367897410876617,10947
C2_equal_blend,osi_target_t48h,0_to_0.01,0.003700957853971217,0.002080870640362076,10861
C2_equal_blend,osi_target_t48h,0.01_to_0.05,0.01527442389169255,0.012465374055284657,985
C2_equal_blend,osi_target_t48h,above_0.05,0.08162109497461854,0.07097565329897361,151
C3_aligned_component,osi_target_t01h,zero,0.0020151169645773936,0.0006380069206535432,14503
C3_aligned_component,osi_target_t01h,0_to_0.01,0.0045898208435992,0.0025496290011152905,16098
C3_aligned_component,osi_target_t01h,0.01_to_0.05,0.01936183786632913,0.012531505684599724,2628
C3_aligned_component,osi_target_t01h,above_0.05,0.06463223529779029,0.041298529430562385,948
C3_aligned_component,osi_target_t06h,zero,0.0020220297094796945,0.0006388316856120521,14147
C3_aligned_component,osi_target_t06h,0_to_0.01,0.004573735722934862,0.002546323524475776,15675
C3_aligned_component,osi_target_t06h,0.01_to_0.05,0.01799970851022174,0.01247318946949955,2421
C3_aligned_component,osi_target_t06h,above_0.05,0.06075056546406014,0.04232436190287073,739
C3_aligned_component,osi_target_t24h,zero,0.0020004965286468676,0.0006250271395602391,12791
