horizon,candidate,difference,ci_2_5,ci_97_5,improvement_probability,replicates,unit
osi_target_t24h,PD__quantile_q50__dart_huber,1.0183080987997972e-05,-2.0794743719953654e-06,2.302415039213039e-05,0.0495,2000,county_full_trajectory
osi_target_t24h,PD__quantile_q50__tweedie_p13,4.841399576127614e-06,-1.1306211006802212e-05,2.0204974690639568e-05,0.256,2000,county_full_trajectory
osi_target_t24h,PD__quantile_q50__tweedie_p15,5.041594603256289e-06,-1.1725118888438477e-05,2.0466337448900376e-05,0.266,2000,county_full_trajectory
osi_target_t24h,PD__quantile_q50__tweedie_p17,1.1370289300163816e-05,-1.473291561862077e-05,3.9452234664090434e-05,0.206,2000,county_full_trajectory
osi_target_t24h,PD__quantile_q50__quantile_q50,9.286706939856323e-06,-7.031912051357037e-06,2.6085105033570053e-05,0.1305,2000,county_full_trajectory
osi_target_t24h,PD__quantile_q50__quantile_q90,3.283231123911781e-05,1.9527555879479253e-06,7.500840367622309e-05,0.019,2000,county_full_trajectory
osi_target_t24h,PD__quantile_q90__dart_huber,6.8407273114794165e-06,-6.732836560731652e-06,2.2919863491870026e-05,0.1685,2000,county_full_trajectory
osi_target_t24h,PD__quantile_q90__tweedie_p13,1.0999000538833986e-05,-5.5544416473922446e-06,3.1292478193900376e-05,0.1025,2000,county_full_trajectory
osi_target_t24h,PD__quantile_q90__tweedie_p15,1.12005150094234e-05,-5.716078939089651e-06,3.181865457707519e-05,0.112,2000,county_full_trajectory
osi_target_t24h,PD__quantile_q90__tweedie_p17,8.074510978077834e-06,-1.0313021590702609e-05,2.9381275241068214e-05,0.2015,2000,county_full_trajectory
osi_target_t24h,PD__quantile_q90__quantile_q50,1.4981600634835987e-05,-2.696420146337244e-06,3.819923193394148e-05,0.061,2000,county_full_trajectory
osi_target_t24h,PD__quantile_q90__quantile_q90,6.744365719606703e-05,1.3237006572274945e-05,0.00014104274331390028,0.004,2000,county_full_trajectory
osi_target_t48h,P__dart_huber,3.053310815568852e-06,-4.465900883265602e-06,1.1634406109838524e-05,0.1995,2000,county_full_trajectory
osi_target_t48h,P__tweedie_p13,-2.308091035988988e-06,-3.919902691072491e-05,3.053551389836473e-05,0.5555,2000,county_full_trajectory
osi_target_t48h,P__tweedie_p15,-3.2328953437632535e-06,-3.910296420011163e-05,2.6851500556186667e-05,0.582,2000,county_full_trajectory
osi_target_t48h,P__tweedie_p17,7.205433946212009e-06,-3.2951212621394785e-05,4.373082545194187e-05,0.347,2000,county_full_trajectory
osi_target_t48h,P__quantile_q50,0.0001677367698125114,-1.7133426170078644e-05,0.0003406495871231865,0.0755,2000,county_full_trajectory
osi_target_t48h,P__quantile_q90,-2.360317585300975e-05,-0.00016889697691615258,0.00012838531087757936,0.55,2000,county_full_trajectory
osi_target_t48h,D__dart_huber,1.6096391366243398e-06,-1.983429213177714e-06,5.2315337994183234e-06,0.158,2000,county_full_trajectory
osi_target_t48h,D__tweedie_p13,8.11062930897756e-05,-2.627290155305074e-05,0.00017206814990854678,0.1105,2000,county_full_trajectory
osi_target_t48h,D__tweedie_p15,0.00013164832388967013,-2.4558030947628423e-05,0.0002676568969268407,0.105,2000,county_full_trajectory
osi_target_t48h,D__tweedie_p17,6.2023055864769e-05,-1.6786410088110054e-05,0.0001291058161126888,0.121,2000,county_full_trajectory
osi_target_t48h,D__quantile_q50,0.00017629297082002483,-1.3098845215920684e-05,0.0003462209388090403,0.0705,2000,county_full_trajectory
osi_target_t48h,D__quantile_q90,-8.148966731611786e-06,-4.464409860784526e-05,4.4455380217922367e-05,0.59,2000,county_full_trajectory
osi_target_t48h,PD__dart_huber__dart_huber,3.733112210320584e-06,-4.703324214327259e-06,1.1888639745467647e-05,0.1885,2000,county_full_trajectory
osi_target_t48h,PD__dart_huber__tweedie_p13,1.0848359531907652e-05,-1.7245105965843195e-05,3.3923005343898955e-05,0.2175,2000,county_full_trajectory
osi_target_t48h,PD__dart_huber__tweedie_p15,4.2975942861197755e-06,-2.432024194086945e-05,2.7499259405109154e-05,0.377,2000,county_full_trajectory
osi_target_t48h,PD__dart_huber__tweedie_p17,8.250155269698585e-06,-1.9683487434556698e-05,3.0449448997571842e-05,0.261,2000,county_full_trajectory
osi_target_t48h,PD__dart_huber__quantile_q50,6.40004878456708e-05,-2.036731208222755e-05,0.00013856072945544467,0.1315,2000,county_full_trajectory
osi_target_t48h,PD__dart_huber__quantile_q90,1.2709756290014626e-05,-1.6933765916301526e-07,3.276216457517138e-05,0.027,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p13__dart_huber,9.828903676838141e-06,-2.8290808878015328e-05,4.153316251452433e-05,0.294,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p13__tweedie_p13,0.00010368879811433526,-4.088370968111856e-05,0.00023144819440542528,0.1185,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p13__tweedie_p15,0.00012299945393627523,-4.3872959417105863e-05,0.00026792566330841245,0.128,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p13__tweedie_p17,-1.970465020667382e-06,-3.100318447335055e-05,2.061906377899833e-05,0.575,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p13__quantile_q50,9.679222893588593e-05,-4.4107747462305134e-05,0.00022043059362103,0.129,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p13__quantile_q90,7.67918693665038e-05,-5.529194423328901e-05,0.00023848494249096382,0.2545,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p15__dart_huber,9.44414248427259e-06,-2.7842863845941602e-05,4.027671407960121e-05,0.3015,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p15__tweedie_p13,2.301127533397597e-06,-3.169395549958952e-05,2.875013172205738e-05,0.456,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p15__tweedie_p15,-3.7359217123361654e-06,-3.259189852319994e-05,1.8408875807029944e-05,0.6325,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p15__tweedie_p17,-2.7029324932374005e-06,-3.264493249759031e-05,1.9807559068833364e-05,0.5945,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p15__quantile_q50,0.00011728793255198853,-4.6511228362096176e-05,0.00025208059499072326,0.1275,2000,county_full_trajectory
