horizon,candidate,outer_fold,alpha,mode,threshold,rmse,mae,n
osi_target_t24h,D__tweedie_p13,3,0.1,protected,0.019871650369172194,0.008714353163568956,0.00259511964796862,22920
osi_target_t24h,D__tweedie_p13,4,0.1,protected,0.02025499119829052,0.008417848650969666,0.002633728010897487,22920
osi_target_t24h,D__tweedie_p15,0,0.1,protected,0.019609432656914675,0.008902274394306338,0.002743419172045716,22920
osi_target_t24h,D__tweedie_p15,1,0.1,protected,0.021391719607573842,0.008196637578736923,0.002573634730116172,23040
osi_target_t24h,D__tweedie_p15,2,0.1,protected,0.019897683210712364,0.0066406502056118545,0.0023009528109570123,22920
osi_target_t24h,D__tweedie_p15,3,0.1,protected,0.019871650369172194,0.00871377576126962,0.002592847153318302,22920
osi_target_t24h,D__tweedie_p15,4,0.1,protected,0.02025499119829052,0.0084174178454105,0.002631939764487645,22920
osi_target_t24h,D__tweedie_p17,0,0.1,protected,0.019609432656914675,0.00890000738317895,0.0027415700200667335,22920
osi_target_t24h,D__tweedie_p17,1,0.1,protected,0.021391719607573842,0.008195360342005322,0.0025708570545382027,23040
osi_target_t24h,D__tweedie_p17,2,0.1,protected,0.019897683210712364,0.006639561165182614,0.002299804144827867,22920
osi_target_t24h,D__tweedie_p17,3,0.1,protected,0.019871650369172194,0.008712021352411566,0.0025917017077101523,22920
osi_target_t24h,D__tweedie_p17,4,0.1,protected,0.02025499119829052,0.008414716774625146,0.0026300844940581004,22920
osi_target_t24h,D__quantile_q50,0,0.1,protected,0.019609432656914675,0.008902603302751383,0.0027479481638430763,22920
osi_target_t24h,D__quantile_q50,1,0.1,protected,0.021391719607573842,0.008199225001079039,0.0025811430558299506,23040
osi_target_t24h,D__quantile_q50,2,0.1,protected,0.019897683210712364,0.0066453414417396856,0.002305758348628599,22920
osi_target_t24h,D__quantile_q50,3,0.1,protected,0.019871650369172194,0.00871394982740213,0.002598514328342734,22920
osi_target_t24h,D__quantile_q50,4,0.1,protected,0.02025499119829052,0.008421804016945584,0.00263888483992106,22920
osi_target_t24h,D__quantile_q90,0,0.1,plain,0.019609432656914675,0.008902037333946136,0.0027818959253022454,22920
osi_target_t24h,D__quantile_q90,1,0.1,plain,0.021391719607573842,0.008200706623152176,0.002612694392701455,23040
osi_target_t24h,D__quantile_q90,2,0.1,protected,0.019897683210712364,0.006645946819285142,0.0023342053008964924,22920
osi_target_t24h,D__quantile_q90,3,0.1,plain,0.019871650369172194,0.008705620359138137,0.002622924022970885,22920
osi_target_t24h,D__quantile_q90,4,0.1,plain,0.02025499119829052,0.008422753221141851,0.00267451756466291,22920
osi_target_t24h,PD__dart_huber__dart_huber,0,0.1,protected,0.019609432656914675,0.008903401575264005,0.0027511645910015185,22920
osi_target_t24h,PD__dart_huber__dart_huber,1,0.1,protected,0.021391719607573842,0.008206522506704797,0.002584310443944513,23040
osi_target_t24h,PD__dart_huber__dart_huber,2,0.1,protected,0.019897683210712364,0.00664301714697875,0.002308846314113264,22920
osi_target_t24h,PD__dart_huber__dart_huber,3,0.1,protected,0.019871650369172194,0.00871127982469564,0.002597901115888424,22920
osi_target_t24h,PD__dart_huber__dart_huber,4,0.1,protected,0.02025499119829052,0.008419454512515228,0.002642386838715073,22920
osi_target_t24h,PD__dart_huber__tweedie_p13,0,0.1,protected,0.019609432656914675,0.008899410102684416,0.00274015211857549,22920
osi_target_t24h,PD__dart_huber__tweedie_p13,1,0.1,protected,0.021391719607573842,0.008199319983652942,0.0025703722223987253,23040
osi_target_t24h,PD__dart_huber__tweedie_p13,2,0.1,protected,0.019897683210712364,0.006639813411547081,0.0022998382697732877,22920
osi_target_t24h,PD__dart_huber__tweedie_p13,3,0.1,protected,0.019871650369172194,0.008709199021067916,0.0025888534194254144,22920
osi_target_t24h,PD__dart_huber__tweedie_p13,4,0.1,protected,0.02025499119829052,0.008413035218711826,0.0026289752900276082,22920
osi_target_t24h,PD__dart_huber__tweedie_p15,0,0.1,protected,0.019609432656914675,0.008899912403085249,0.002738948675471795,22920
osi_target_t24h,PD__dart_huber__tweedie_p15,1,0.1,protected,0.021391719607573842,0.008199139467365583,0.002569429059441027,23040
osi_target_t24h,PD__dart_huber__tweedie_p15,2,0.1,protected,0.019897683210712364,0.006638644033826314,0.0022977338691581423,22920
osi_target_t24h,PD__dart_huber__tweedie_p15,3,0.1,protected,0.019871650369172194,0.008708747383570489,0.002586369083935852,22920
osi_target_t24h,PD__dart_huber__tweedie_p15,4,0.1,protected,0.02025499119829052,0.008412808918784003,0.0026272329234849744,22920
osi_target_t24h,PD__dart_huber__tweedie_p17,0,0.1,protected,0.019609432656914675,0.008897653060682634,0.002737082322852423,22920
osi_target_t24h,PD__dart_huber__tweedie_p17,1,0.1,protected,0.021391719607573842,0.008197704461431293,0.002566494452307263,23040
osi_target_t24h,PD__dart_huber__tweedie_p17,2,0.1,protected,0.019897683210712364,0.006637337189606191,0.002296431273017821,22920
osi_target_t24h,PD__dart_huber__tweedie_p17,3,0.1,protected,0.019871650369172194,0.008706843188965472,0.002585233835711898,22920
osi_target_t24h,PD__dart_huber__tweedie_p17,4,0.25,protected,0.02025499119829052,0.008405996582139036,0.0026074597572999553,22920
osi_target_t24h,PD__dart_huber__quantile_q50,0,0.1,protected,0.019609432656914675,0.00889950882103395,0.0027432780976983304,22920
osi_target_t24h,PD__dart_huber__quantile_q50,1,0.1,protected,0.021391719607573842,0.008200702561517139,0.0025771228667082224,23040
osi_target_t24h,PD__dart_huber__quantile_q50,2,0.1,protected,0.019897683210712364,0.00664215611982443,0.0023022846939179274,22920
osi_target_t24h,PD__dart_huber__quantile_q50,3,0.1,protected,0.019871650369172194,0.008708466721095452,0.0025924144694831584,22920
osi_target_t24h,PD__dart_huber__quantile_q50,4,0.1,protected,0.02025499119829052,0.008416236071959746,0.002634304273151786,22920
osi_target_t24h,PD__dart_huber__quantile_q90,0,0.1,protected,0.019609432656914675,0.008900209017339414,0.0027770350060246267,22920
osi_target_t24h,PD__dart_huber__quantile_q90,1,0.1,protected,0.021391719607573842,0.00820978990964411,0.0026100230740495442,23040
osi_target_t24h,PD__dart_huber__quantile_q90,2,0.1,protected,0.019897683210712364,0.006643208934121211,0.0023325634901664566,22920
osi_target_t24h,PD__dart_huber__quantile_q90,3,0.1,protected,0.019871650369172194,0.008704769773052654,0.002617689589430089,22920
osi_target_t24h,PD__dart_huber__quantile_q90,4,0.1,protected,0.02025499119829052,0.008420672450319081,0.002669612151438338,22920
osi_target_t24h,PD__tweedie_p13__dart_huber,0,0.1,protected,0.019609432656914675,0.008894732454736367,0.002731943529197146,22920
osi_target_t24h,PD__tweedie_p13__dart_huber,1,0.25,protected,0.021391719607573842,0.008190477006201792,0.002527187573612005,23040
osi_target_t24h,PD__tweedie_p13__dart_huber,2,0.1,protected,0.019897683210712364,0.006632733283301505,0.0022895040008083633,22920
osi_target_t24h,PD__tweedie_p13__dart_huber,3,0.1,protected,0.019871650369172194,0.008703492627439873,0.00257744700376122,22920
osi_target_t24h,PD__tweedie_p13__dart_huber,4,0.5,protected,0.02025499119829052,0.008393380118168642,0.002547356487984815,22920
osi_target_t24h,PD__tweedie_p13__tweedie_p13,0,0.1,protected,0.019609432656914675,0.008891391074629123,0.0027213200606268743,22920
osi_target_t24h,PD__tweedie_p13__tweedie_p13,1,0.25,protected,0.021391719607573842,0.008178273075172616,0.0024943320781946315,23040
osi_target_t24h,PD__tweedie_p13__tweedie_p13,2,0.1,protected,0.019897683210712364,0.006630275439620057,0.002280149500935663,22920
osi_target_t24h,PD__tweedie_p13__tweedie_p13,3,0.1,protected,0.019871650369172194,0.00870167823988824,0.0025679141178273452,22920
osi_target_t24h,PD__tweedie_p13__tweedie_p13,4,0.5,protected,0.02025499119829052,0.008384873750263557,0.002491887811046401,22920
osi_target_t24h,PD__tweedie_p13__tweedie_p15,0,0.1,protected,0.019609432656914675,0.008891999339715977,0.0027203616896314493,22920
osi_target_t24h,PD__tweedie_p13__tweedie_p15,1,0.25,protected,0.021391719607573842,0.00817855392494585,0.0024928311044009285,23040
osi_target_t24h,PD__tweedie_p13__tweedie_p15,2,0.1,protected,0.019897683210712364,0.006629308479772463,0.0022783226007262515,22920
osi_target_t24h,PD__tweedie_p13__tweedie_p15,3,0.1,protected,0.019871650369172194,0.008701362177408965,0.002565588944790851,22920
osi_target_t24h,PD__tweedie_p13__tweedie_p15,4,0.25,protected,0.02025499119829052,0.008386520262380572,0.002551353802350245,22920
osi_target_t24h,PD__tweedie_p13__tweedie_p17,0,0.1,protected,0.019609432656914675,0.00888974070088883,0.0027185646456815422,22920
osi_target_t24h,PD__tweedie_p13__tweedie_p17,1,0.25,protected,0.021391719607573842,0.008174800663170704,0.0024858066014310154,23040
osi_target_t24h,PD__tweedie_p13__tweedie_p17,2,0.25,protected,0.019897683210712364,0.006626976869826614,0.00223925146203291,22920
osi_target_t24h,PD__tweedie_p13__tweedie_p17,3,0.25,protected,0.019871650369172194,0.008697809778158748,0.002517556690052881,22920
osi_target_t24h,PD__tweedie_p13__tweedie_p17,4,0.5,protected,0.02025499119829052,0.008372484941074477,0.002476936822042443,22920
osi_target_t24h,PD__tweedie_p13__quantile_q50,0,0.25,protected,0.019609432656914675,0.008890277768024611,0.0026888654543300965,22920
osi_target_t24h,PD__tweedie_p13__quantile_q50,1,0.25,protected,0.021391719607573842,0.008176816411212737,0.0025088552730589135,23040
osi_target_t24h,PD__tweedie_p13__quantile_q50,2,0.1,protected,0.019897683210712364,0.006632501697605047,0.0022824776614354214,22920
osi_target_t24h,PD__tweedie_p13__quantile_q50,3,0.25,protected,0.019871650369172194,0.008697880866781799,0.002532367559262755,22920
osi_target_t24h,PD__tweedie_p13__quantile_q50,4,0.5,protected,0.02025499119829052,0.008382953578207881,0.0025083750744181463,22920
osi_target_t24h,PD__tweedie_p13__quantile_q90,0,0.25,protected,0.019609432656914675,0.008889494493590054,0.0027728301464377504,22920
osi_target_t24h,PD__tweedie_p13__quantile_q90,1,0.1,protected,0.021391719607573842,0.00819429902342817,0.0025853621017566056,23040
osi_target_t24h,PD__tweedie_p13__quantile_q90,2,0.25,protected,0.019897683210712364,0.006632343793481377,0.002326555134110046,22920
osi_target_t24h,PD__tweedie_p13__quantile_q90,3,0.5,protected,0.019871650369172194,0.008674662248114166,0.0026143582289119022,22920
osi_target_t24h,PD__tweedie_p13__quantile_q90,4,0.5,protected,0.02025499119829052,0.008397259023796462,0.0026905008054966145,22920
osi_target_t24h,PD__tweedie_p15__dart_huber,0,0.1,protected,0.019609432656914675,0.00889412718908573,0.0027297737548010507,22920
osi_target_t24h,PD__tweedie_p15__dart_huber,1,0.25,protected,0.021391719607573842,0.008189873231116623,0.0025216921030419247,23040
osi_target_t24h,PD__tweedie_p15__dart_huber,2,0.25,protected,0.019897683210712364,0.006631378327766638,0.0022630185497788625,22920
osi_target_t24h,PD__tweedie_p15__dart_huber,3,0.25,protected,0.019871650369172194,0.008698895907117076,0.0025404991279374704,22920
osi_target_t24h,PD__tweedie_p15__dart_huber,4,0.5,protected,0.02025499119829052,0.008391547669264728,0.0025417716821306735,22920
osi_target_t24h,PD__tweedie_p15__tweedie_p13,0,0.1,protected,0.019609432656914675,0.008890766577380667,0.0027194519690540743,22920
osi_target_t24h,PD__tweedie_p15__tweedie_p13,1,0.25,protected,0.021391719607573842,0.008177889009871934,0.002489928723065091,23040
osi_target_t24h,PD__tweedie_p15__tweedie_p13,2,0.25,protected,0.019897683210712364,0.006629126036398762,0.00224222814861305,22920
osi_target_t24h,PD__tweedie_p15__tweedie_p13,3,0.25,protected,0.019871650369172194,0.008697762022760437,0.0025194591406988765,22920
osi_target_t24h,PD__tweedie_p15__tweedie_p13,4,0.5,protected,0.02025499119829052,0.008382923241170374,0.0024888887260576665,22920
osi_target_t24h,PD__tweedie_p15__tweedie_p15,0,0.1,protected,0.019609432656914675,0.00889130052296017,0.002718304795637411,22920
osi_target_t24h,PD__tweedie_p15__tweedie_p15,1,0.25,protected,0.021391719607573842,0.008177869880328882,0.0024880791567729547,23040
osi_target_t24h,PD__tweedie_p15__tweedie_p15,2,0.25,protected,0.019897683210712364,0.006627168875372696,0.0022376792320788837,22920
osi_target_t24h,PD__tweedie_p15__tweedie_p15,3,0.25,protected,0.019871650369172194,0.008697510392879781,0.0025138522075051142,22920
osi_target_t24h,PD__tweedie_p15__tweedie_p15,4,0.25,protected,0.02025499119829052,0.00838442017236993,0.002549071156642289,22920
osi_target_t24h,PD__tweedie_p15__tweedie_p17,0,0.25,protected,0.019609432656914675,0.008888577078327917,0.002671826277724885,22920
osi_target_t24h,PD__tweedie_p15__tweedie_p17,1,0.25,protected,0.021391719607573842,0.008174633726199004,0.0024815890370135404,23040
osi_target_t24h,PD__tweedie_p15__tweedie_p17,2,0.25,protected,0.019897683210712364,0.006624104980045955,0.002235166802419771,22920
osi_target_t24h,PD__tweedie_p15__tweedie_p17,3,0.25,protected,0.019871650369172194,0.008692936739164662,0.0025121655702680713,22920
osi_target_t24h,PD__tweedie_p15__tweedie_p17,4,0.5,protected,0.02025499119829052,0.008371806355631369,0.002474703560311319,22920
osi_target_t24h,PD__tweedie_p15__quantile_q50,0,0.25,protected,0.019609432656914675,0.008888953790307963,0.0026836134348897527,22920
osi_target_t24h,PD__tweedie_p15__quantile_q50,1,0.25,protected,0.021391719607573842,0.008176519835050133,0.0025038315818648573,23040
osi_target_t24h,PD__tweedie_p15__quantile_q50,2,0.25,protected,0.019897683210712364,0.006630880331047246,0.0022462357699344487,22920
osi_target_t24h,PD__tweedie_p15__quantile_q50,3,0.25,protected,0.019871650369172194,0.008693117280771536,0.0025261036092930635,22920
osi_target_t24h,PD__tweedie_p15__quantile_q50,4,0.5,protected,0.02025499119829052,0.008381660717902265,0.002504696344363627,22920
osi_target_t24h,PD__tweedie_p15__quantile_q90,0,0.25,protected,0.019609432656914675,0.008887486702984872,0.0027672719134265176,22920
osi_target_t24h,PD__tweedie_p15__quantile_q90,1,0.1,protected,0.021391719607573842,0.008193760433176602,0.0025828790898736343,23040
osi_target_t24h,PD__tweedie_p15__quantile_q90,2,0.25,protected,0.019897683210712364,0.006629132190738704,0.002321791063234212,22920
osi_target_t24h,PD__tweedie_p15__quantile_q90,3,0.75,protected,0.019871650369172194,0.008664096913061548,0.002639791750719213,22920
osi_target_t24h,PD__tweedie_p15__quantile_q90,4,0.5,protected,0.02025499119829052,0.00839291343985613,0.002682309703559035,22920
osi_target_t24h,PD__tweedie_p17__dart_huber,0,0.1,protected,0.019609432656914675,0.008892389134026155,0.002724351048629802,22920
osi_target_t24h,PD__tweedie_p17__dart_huber,1,0.25,protected,0.021391719607573842,0.00818046256111608,0.0025058366078133786,23040
osi_target_t24h,PD__tweedie_p17__dart_huber,2,0.25,protected,0.019897683210712364,0.006626345270940995,0.002249247854772765,22920
osi_target_t24h,PD__tweedie_p17__dart_huber,3,0.25,protected,0.019871650369172194,0.00870071121734304,0.002534048072259573,22920
osi_target_t24h,PD__tweedie_p17__dart_huber,4,0.5,protected,0.02025499119829052,0.0083827174688127,0.002511786646856158,22920
osi_target_t24h,PD__tweedie_p17__tweedie_p13,0,0.25,protected,0.019609432656914675,0.008888814505618495,0.002664934394608615,22920
osi_target_t24h,PD__tweedie_p17__tweedie_p13,1,0.25,protected,0.021391719607573842,0.008168940325880315,0.002473961229111133,23040
osi_target_t24h,PD__tweedie_p17__tweedie_p13,2,0.25,protected,0.019897683210712364,0.006625041046878301,0.0022286264971177784,22920
osi_target_t24h,PD__tweedie_p17__tweedie_p13,3,0.25,protected,0.019871650369172194,0.008700016433753118,0.002512816921628851,22920
osi_target_t24h,PD__tweedie_p17__tweedie_p13,4,0.5,protected,0.02025499119829052,0.008376249117163682,0.0024591852203013995,22920
osi_target_t24h,PD__tweedie_p17__tweedie_p15,0,0.1,protected,0.019609432656914675,0.008889696527007794,0.002713172236716832,22920
osi_target_t24h,PD__tweedie_p17__tweedie_p15,1,0.25,protected,0.021391719607573842,0.008168979831106142,0.0024724065042399696,23040
osi_target_t24h,PD__tweedie_p17__tweedie_p15,2,0.25,protected,0.019897683210712364,0.00662323465174199,0.0022246111364102273,22920
osi_target_t24h,PD__tweedie_p17__tweedie_p15,3,0.1,protected,0.019871650369172194,0.008699895925781444,0.0025603763394818025,22920
osi_target_t24h,PD__tweedie_p17__tweedie_p15,4,0.25,protected,0.02025499119829052,0.008379744691468802,0.002533864508961555,22920
osi_target_t24h,PD__tweedie_p17__tweedie_p17,0,0.25,protected,0.019609432656914675,0.008886020614306286,0.0026598278170130185,22920
osi_target_t24h,PD__tweedie_p17__tweedie_p17,1,0.25,protected,0.021391719607573842,0.008166491532173486,0.0024664573097591186,23040
osi_target_t24h,PD__tweedie_p17__tweedie_p17,2,0.25,protected,0.019897683210712364,0.006620736338389323,0.0022223778223143574,22920
osi_target_t24h,PD__tweedie_p17__tweedie_p17,3,0.25,protected,0.019871650369172194,0.008695420309269515,0.0025059991344883307,22920
osi_target_t24h,PD__tweedie_p17__tweedie_p17,4,0.5,protected,0.02025499119829052,0.008367616843201774,0.0024467830269725124,22920
osi_target_t24h,PD__tweedie_p17__quantile_q50,0,0.25,protected,0.019609432656914675,0.008886086319138072,0.002672347238904234,22920
osi_target_t24h,PD__tweedie_p17__quantile_q50,1,0.5,protected,0.021391719607573842,0.008165293788381808,0.0024145528037362333,23040
osi_target_t24h,PD__tweedie_p17__quantile_q50,2,0.25,protected,0.019897683210712364,0.006627043808182274,0.0022338276030838353,22920
osi_target_t24h,PD__tweedie_p17__quantile_q50,3,0.25,protected,0.019871650369172194,0.008695268190786164,0.002520045300128698,22920
osi_target_t24h,PD__tweedie_p17__quantile_q50,4,0.5,protected,0.02025499119829052,0.008374941994873715,0.0024763476528982175,22920
osi_target_t24h,PD__tweedie_p17__quantile_q90,0,0.5,protected,0.019609432656914675,0.008882542578005652,0.002778143583852492,22920
osi_target_t24h,PD__tweedie_p17__quantile_q90,1,0.25,protected,0.021391719607573842,0.008184851978898504,0.002569756252969868,23040
osi_target_t24h,PD__tweedie_p17__quantile_q90,2,0.25,protected,0.019897683210712364,0.006622623635802878,0.002308396530561134,22920
osi_target_t24h,PD__tweedie_p17__quantile_q90,3,0.75,protected,0.019871650369172194,0.008668316827340445,0.002619593916777086,22920
osi_target_t24h,PD__tweedie_p17__quantile_q90,4,0.5,protected,0.02025499119829052,0.008378503752304409,0.0026492250049570862,22920
osi_target_t24h,PD__quantile_q50__dart_huber,0,0.1,protected,0.019609432656914675,0.008897621030084003,0.0027360284636552597,22920
osi_target_t24h,PD__quantile_q50__dart_huber,1,0.25,protected,0.021391719607573842,0.00819200034965134,0.002539196650154232,23040
osi_target_t24h,PD__quantile_q50__dart_huber,2,0.1,protected,0.019897683210712364,0.006639473421649138,0.0022935119682544578,22920
osi_target_t24h,PD__quantile_q50__dart_huber,3,0.25,protected,0.019871650369172194,0.00870418578055076,0.0025577935190643337,22920
osi_target_t24h,PD__quantile_q50__dart_huber,4,0.1,protected,0.02025499119829052,0.008413646200473168,0.0026245013090396745,22920
osi_target_t24h,PD__quantile_q50__tweedie_p13,0,0.1,protected,0.019609432656914675,0.00889381432982394,0.002725541080418776,22920
osi_target_t24h,PD__quantile_q50__tweedie_p13,1,0.25,protected,0.021391719607573842,0.008176626724814243,0.0025062705689238196,23040
osi_target_t24h,PD__quantile_q50__tweedie_p13,2,0.1,protected,0.019897683210712364,0.006636522888272361,0.0022843765493419797,22920
osi_target_t24h,PD__quantile_q50__tweedie_p13,3,0.25,protected,0.019871650369172194,0.008701437713117207,0.0025358321711306127,22920
osi_target_t24h,PD__quantile_q50__tweedie_p13,4,0.25,protected,0.02025499119829052,0.008402547256197875,0.002573196117731411,22920
osi_target_t24h,PD__quantile_q50__tweedie_p15,0,0.1,protected,0.019609432656914675,0.008894382111798984,0.0027248367112754465,22920
osi_target_t24h,PD__quantile_q50__tweedie_p15,1,0.25,protected,0.021391719607573842,0.008176578805040727,0.0025044185765772274,23040
osi_target_t24h,PD__quantile_q50__tweedie_p15,2,0.1,protected,0.019897683210712364,0.00663543772512437,0.00228271409463061,22920
osi_target_t24h,PD__quantile_q50__tweedie_p15,3,0.25,protected,0.019871650369172194,0.008701145934116342,0.002530614669900209,22920
osi_target_t24h,PD__quantile_q50__tweedie_p15,4,0.25,protected,0.02025499119829052,0.008402661048505202,0.0025697235462368182,22920
osi_target_t24h,PD__quantile_q50__tweedie_p17,0,0.1,protected,0.019609432656914675,0.008892100686632591,0.002723017149002022,22920
osi_target_t24h,PD__quantile_q50__tweedie_p17,1,0.25,protected,0.021391719607573842,0.008173443563856355,0.002497983494293511,23040
osi_target_t24h,PD__quantile_q50__tweedie_p17,2,0.1,protected,0.019897683210712364,0.00663413268158684,0.002281586647024797,22920
osi_target_t24h,PD__quantile_q50__tweedie_p17,3,0.25,protected,0.019871650369172194,0.008696478969158768,0.002528299159129315,22920
osi_target_t24h,PD__quantile_q50__tweedie_p17,4,0.5,protected,0.02025499119829052,0.008395575824506183,0.0025083571017965422,22920
osi_target_t24h,PD__quantile_q50__quantile_q50,0,0.1,protected,0.019609432656914675,0.008894270536649557,0.0027285033988191914,22920
osi_target_t24h,PD__quantile_q50__quantile_q50,1,0.25,protected,0.021391719607573842,0.0081800668715351,0.0025226723772943014,23040
osi_target_t24h,PD__quantile_q50__quantile_q50,2,0.1,protected,0.019897683210712364,0.006639299701159679,0.0022867516576244294,22920
osi_target_t24h,PD__quantile_q50__quantile_q50,3,0.25,protected,0.019871650369172194,0.008699611141294094,0.0025437742455484955,22920
osi_target_t24h,PD__quantile_q50__quantile_q50,4,0.1,protected,0.02025499119829052,0.008411126472881574,0.00261646160313417,22920
osi_target_t24h,PD__quantile_q50__quantile_q90,0,0.1,protected,0.019609432656914675,0.008893865172804851,0.0027611180767983605,22920
osi_target_t24h,PD__quantile_q50__quantile_q90,1,0.1,protected,0.021391719607573842,0.00819546114523382,0.0025891229958662143,23040
osi_target_t24h,PD__quantile_q50__quantile_q90,2,0.1,protected,0.019897683210712364,0.006638913769046441,0.0023162850144415573,22920
osi_target_t24h,PD__quantile_q50__quantile_q90,3,0.5,protected,0.019871650369172194,0.008677934338965677,0.0026306733633469585,22920
osi_target_t24h,PD__quantile_q50__quantile_q90,4,0.1,protected,0.02025499119829052,0.008414272300604958,0.002651005059916383,22920
osi_target_t24h,PD__quantile_q90__dart_huber,0,0.1,protected,0.019609432656914675,0.008899141908428056,0.0027902641805917314,22920
osi_target_t24h,PD__quantile_q90__dart_huber,1,0.1,protected,0.021391719607573842,0.008214535792591264,0.002629095611882164,23040
osi_target_t24h,PD__quantile_q90__dart_huber,2,0.1,protected,0.019897683210712364,0.006642354483213009,0.002345445152064605,22920
osi_target_t24h,PD__quantile_q90__dart_huber,3,0.1,protected,0.019871650369172194,0.008704324422374449,0.0026344249330577003,22920
osi_target_t24h,PD__quantile_q90__dart_huber,4,0.1,protected,0.02025499119829052,0.008419599145034474,0.0026850491334685696,22920
osi_target_t24h,PD__quantile_q90__tweedie_p13,0,0.1,protected,0.019609432656914675,0.008894200330241912,0.0027794508979251255,22920
osi_target_t24h,PD__quantile_q90__tweedie_p13,1,0.1,protected,0.021391719607573842,0.008206027301031411,0.002614615413932192,23040
