horizon,candidate,outer_fold,alpha,mode,threshold,rmse,mae,n
osi_target_t24h,P__dart_huber,0,0.1,protected,0.019609432656914675,0.008902790008284329,0.0027554901657749543,22920
osi_target_t24h,P__dart_huber,1,0.1,protected,0.021391719607573842,0.008203151939304452,0.0025877489544103437,23040
osi_target_t24h,P__dart_huber,2,0.1,protected,0.019897683210712364,0.006642296173590621,0.002311289087539981,22920
osi_target_t24h,P__dart_huber,3,0.1,protected,0.019871650369172194,0.008712432265394403,0.0026026438886797023,22920
osi_target_t24h,P__dart_huber,4,0.1,protected,0.02025499119829052,0.008420654744323299,0.0026464964792301733,22920
osi_target_t24h,P__tweedie_p13,0,0.1,protected,0.019609432656914675,0.008894673246796292,0.0027362964295123988,22920
osi_target_t24h,P__tweedie_p13,1,0.25,protected,0.021391719607573842,0.008181649667356307,0.0025357911768803857,23040
osi_target_t24h,P__tweedie_p13,2,0.25,protected,0.019897683210712364,0.006632377368876385,0.0022734463638831564,22920
osi_target_t24h,P__tweedie_p13,3,0.1,protected,0.019871650369172194,0.008704624186040871,0.002582120258770994,22920
osi_target_t24h,P__tweedie_p13,4,0.5,protected,0.02025499119829052,0.0083967761597468,0.002561904830893106,22920
osi_target_t24h,P__tweedie_p15,0,0.1,protected,0.019609432656914675,0.00889385031621277,0.002733565077384692,22920
osi_target_t24h,P__tweedie_p15,1,0.25,protected,0.021391719607573842,0.008180810225067635,0.002529309441269863,23040
osi_target_t24h,P__tweedie_p15,2,0.25,protected,0.019897683210712364,0.006629596026598727,0.0022679649929756734,22920
osi_target_t24h,P__tweedie_p15,3,0.25,protected,0.019871650369172194,0.008700546069723472,0.002550494341021996,22920
osi_target_t24h,P__tweedie_p15,4,0.5,protected,0.02025499119829052,0.008394434699083986,0.002555165543777332,22920
osi_target_t24h,P__tweedie_p17,0,0.25,protected,0.019609432656914675,0.008891930179733578,0.0026972353821795585,22920
osi_target_t24h,P__tweedie_p17,1,0.5,protected,0.021391719607573842,0.008166420972002177,0.0024596929040096066,23040
osi_target_t24h,P__tweedie_p17,2,0.25,protected,0.019897683210712364,0.0066250521868556865,0.00225387409335727,22920
osi_target_t24h,P__tweedie_p17,3,0.25,protected,0.019871650369172194,0.008702178452477397,0.0025433586211988267,22920
osi_target_t24h,P__tweedie_p17,4,0.5,protected,0.02025499119829052,0.008386576865697562,0.002524962815516871,22920
osi_target_t24h,P__quantile_q50,0,0.1,protected,0.019609432656914675,0.008897302286371781,0.002740713000867561,22920
osi_target_t24h,P__quantile_q50,1,0.5,protected,0.021391719607573842,0.008181524834747942,0.002525065690815469,23040
osi_target_t24h,P__quantile_q50,2,0.1,protected,0.019897683210712364,0.006639349073677543,0.0022967752372493964,22920
osi_target_t24h,P__quantile_q50,3,0.1,protected,0.019871650369172194,0.008705476132598559,0.0025870439346757372,22920
osi_target_t24h,P__quantile_q50,4,0.1,protected,0.02025499119829052,0.008415322569182924,0.0026290921098388945,22920
osi_target_t24h,P__quantile_q90,0,0.1,plain,0.019609432656914675,0.008897914858665954,0.002798275575243217,22920
osi_target_t24h,P__quantile_q90,1,0.1,plain,0.021391719607573842,0.008204503238801739,0.0026330673059091186,23040
osi_target_t24h,P__quantile_q90,2,0.1,protected,0.019897683210712364,0.006642135521093419,0.0023466277473785367,22920
osi_target_t24h,P__quantile_q90,3,0.25,plain,0.019871650369172194,0.008695466885690162,0.0027072803990282244,22920
osi_target_t24h,P__quantile_q90,4,0.1,protected,0.02025499119829052,0.008421258336617962,0.002687591221490293,22920
osi_target_t24h,D__dart_huber,0,0.1,protected,0.019609432656914675,0.008905873516093173,0.00275515525721304,22920
osi_target_t24h,D__dart_huber,1,0.1,protected,0.021391719607573842,0.00820437782331192,0.0025883143973248536,23040
osi_target_t24h,D__dart_huber,2,0.1,protected,0.019897683210712364,0.0066452173300531455,0.0023117406797488072,22920
osi_target_t24h,D__dart_huber,3,0.1,protected,0.019871650369172194,0.008716403496776427,0.002603852216807382,22920
osi_target_t24h,D__dart_huber,4,0.1,protected,0.02025499119829052,0.00842429295610259,0.0026467259463599318,22920
osi_target_t24h,D__tweedie_p13,0,0.1,protected,0.019609432656914675,0.008901772813674033,0.002744398610139523,22920
osi_target_t24h,D__tweedie_p13,1,0.1,protected,0.021391719607573842,0.0081970042781546,0.0025747380005508177,23040
osi_target_t24h,D__tweedie_p13,2,0.1,protected,0.019897683210712364,0.006642040752046523,0.002302979687419409,22920
