horizon,candidate,pearson,spearman,n
osi_target_t48h,PD__dart_huber__tweedie_p15,0.9989784270258759,0.9684213453915841,22944
osi_target_t48h,PD__dart_huber__tweedie_p17,0.9990451754182806,0.9699855772900233,22944
osi_target_t48h,PD__dart_huber__quantile_q50,0.9993659129708318,0.9738004204864161,22944
osi_target_t48h,PD__dart_huber__quantile_q90,0.9990849125528553,0.9801397146281317,22944
osi_target_t48h,PD__tweedie_p13__dart_huber,0.9984926588338036,0.9573244981769601,22944
osi_target_t48h,PD__tweedie_p13__tweedie_p13,0.9978483973141563,0.9525394893320378,22944
osi_target_t48h,PD__tweedie_p13__tweedie_p15,0.9982898388750626,0.9632901303805919,22944
osi_target_t48h,PD__tweedie_p13__tweedie_p17,0.9989939598644231,0.9638782727234397,22944
osi_target_t48h,PD__tweedie_p13__quantile_q50,0.9979929966794902,0.9472171912268822,22944
osi_target_t48h,PD__tweedie_p13__quantile_q90,0.9962057015182774,0.9037694470660894,22944
osi_target_t48h,PD__tweedie_p15__dart_huber,0.9984389599468532,0.9552887061958736,22944
osi_target_t48h,PD__tweedie_p15__tweedie_p13,0.9984103768019162,0.9517976845249453,22944
osi_target_t48h,PD__tweedie_p15__tweedie_p15,0.9990042628510553,0.9633786713268462,22944
osi_target_t48h,PD__tweedie_p15__tweedie_p17,0.9989865645375546,0.9633341138007941,22944
osi_target_t48h,PD__tweedie_p15__quantile_q50,0.9979176382853312,0.9457537181064941,22944
osi_target_t48h,PD__tweedie_p15__quantile_q90,0.9970529533732282,0.9098182111181743,22944
osi_target_t48h,PD__tweedie_p17__dart_huber,0.998534676736491,0.9566094778777576,22944
osi_target_t48h,PD__tweedie_p17__tweedie_p13,0.9981377125851097,0.9601365237389189,22944
osi_target_t48h,PD__tweedie_p17__tweedie_p15,0.9979469590640762,0.9574310788470749,22944
osi_target_t48h,PD__tweedie_p17__tweedie_p17,0.9988185929199999,0.9570118277693741,22944
osi_target_t48h,PD__tweedie_p17__quantile_q50,0.9982411080042032,0.95315951785757,22944
osi_target_t48h,PD__tweedie_p17__quantile_q90,0.996054459349718,0.9268039891538152,22944
osi_target_t48h,PD__quantile_q50__dart_huber,0.9993256709386336,0.9695121980942152,22944
osi_target_t48h,PD__quantile_q50__tweedie_p13,0.998363046979475,0.9494301667415266,22944
osi_target_t48h,PD__quantile_q50__tweedie_p15,0.9982574449291713,0.947163981987445,22944
osi_target_t48h,PD__quantile_q50__tweedie_p17,0.99821715078109,0.9476435235503938,22944
osi_target_t48h,PD__quantile_q50__quantile_q50,0.9984569531655266,0.9506125239100063,22944
osi_target_t48h,PD__quantile_q50__quantile_q90,0.9978761297053405,0.9537060042536243,22944
osi_target_t48h,PD__quantile_q90__dart_huber,0.9928070499997798,0.8245634999466588,22944
osi_target_t48h,PD__quantile_q90__tweedie_p13,0.992656111103075,0.831464354236192,22944
osi_target_t48h,PD__quantile_q90__tweedie_p15,0.9926720436263828,0.8355154600940553,22944
osi_target_t48h,PD__quantile_q90__tweedie_p17,0.9943791669719679,0.8607251325062812,22944
osi_target_t48h,PD__quantile_q90__quantile_q50,0.9922964365526922,0.838442565205334,22944
osi_target_t48h,PD__quantile_q90__quantile_q90,0.9894369029706309,0.769854125562266,22944
