horizon,candidate,rmse,mae,n,baseline_rmse,baseline_mae,rmse_change_pct,mae_change_pct
osi_target_t24h,P__dart_huber,0.008216317538593053,0.002581233842884872,28680,0.008208972775349635,0.002576572092079163,0.0894723791199814,0.18092840561458878
osi_target_t24h,P__tweedie_p13,0.00821869995779718,0.0025449975135831875,28680,0.008208972775349635,0.002576572092079163,0.11849451464565064,-1.2254490605188684
osi_target_t24h,P__tweedie_p15,0.008214814432017149,0.00253462827812322,28680,0.008208972775349635,0.002576572092079163,0.07116184725395325,-1.6278921162301563
osi_target_t24h,P__tweedie_p17,0.008213617074272709,0.002510294463195448,28680,0.008208972775349635,0.002576572092079163,0.0565758840986863,-2.572318045649269
osi_target_t24h,P__quantile_q50,0.008230394913647342,0.0025673097318868357,28680,0.008208972775349635,0.002576572092079163,0.2609600358528974,-0.3594838359385122
osi_target_t24h,P__quantile_q90,0.008250894168481323,0.0026523762904398095,28680,0.008208972775349635,0.002576572092079163,0.510677697184847,2.9420561758656705
osi_target_t24h,D__dart_huber,0.008219260362179261,0.002581576648875158,28680,0.008208972775349635,0.002576572092079163,0.1253212443403262,0.19423313678588183
osi_target_t24h,D__tweedie_p13,0.008214661238207884,0.0025704822551196336,28680,0.008208972775349635,0.002576572092079163,0.06929567211295673,-0.23635422343705192
osi_target_t24h,D__tweedie_p15,0.00821431299810966,0.0025688647107714297,28680,0.008208972775349635,0.002576572092079163,0.0650534836229566,-0.2991331518115481
osi_target_t24h,D__tweedie_p17,0.008212632829147989,0.0025672016674476187,28680,0.008208972775349635,0.002576572092079163,0.04458601457839606,-0.36367795259253377
osi_target_t24h,D__quantile_q50,0.008216532973040334,0.002574859997528333,28680,0.008208972775349635,0.002576572092079163,0.09209675677572804,-0.0664485405276749
osi_target_t24h,D__quantile_q90,0.008221387202021114,0.002606720429815291,28680,0.008208972775349635,0.002576572092079163,0.15122996520047227,1.170094864754967
osi_target_t24h,PD__dart_huber__dart_huber,0.008217141428924298,0.0025776971755154163,28680,0.008208972775349635,0.002576572092079163,0.09950883987812631,0.043665901672684804
osi_target_t24h,PD__dart_huber__tweedie_p13,0.00821255044171028,0.0025662841913147326,28680,0.008208972775349635,0.002576572092079163,0.04358238793760183,-0.3992863539916902
osi_target_t24h,PD__dart_huber__tweedie_p15,0.008212343001261252,0.0025646052589442343,28680,0.008208972775349635,0.002576572092079163,0.04105539150691673,-0.4644478286370046
osi_target_t24h,PD__dart_huber__tweedie_p17,0.008217558845164884,0.002559865613747256,28680,0.008208972775349635,0.002576572092079163,0.10459371775517479,-0.6483994134402704
osi_target_t24h,PD__dart_huber__quantile_q50,0.008213754283475193,0.0025706512671279757,28680,0.008208972775349635,0.002576572092079163,0.05824733808248439,-0.22979465505307273
osi_target_t24h,PD__dart_huber__quantile_q90,0.008215667807243563,0.002602004385277231,28680,0.008208972775349635,0.002576572092079163,0.08155748687621589,0.9870592511752818
osi_target_t24h,PD__tweedie_p13__dart_huber,0.00822435650002692,0.00254719617590959,28680,0.008208972775349635,0.002576572092079163,0.18740133629726596,-1.1401162133161225
osi_target_t24h,PD__tweedie_p13__tweedie_p13,0.00822835796260945,0.0025330142288293735,28680,0.008208972775349635,0.002576572092079163,0.23614632171793382,-1.6905353971539916
osi_target_t24h,PD__tweedie_p13__tweedie_p15,0.008210077660376344,0.002532611450206625,28680,0.008208972775349635,0.002576572092079163,0.013459479729616142,-1.706167741538478
osi_target_t24h,PD__tweedie_p13__tweedie_p17,0.008220999056967474,0.0025037766997285877,28680,0.008208972775349635,0.002576572092079163,0.14650166283840527,-2.825280634466276
