horizon,candidate,fipsCode,candidate_rmse,baseline_rmse,rmse_difference,candidate_mae,baseline_mae
osi_target_t24h,P__dart_huber,18009,0.0023672613480508246,0.002353608262439342,1.3653085611482502e-05,0.0014001086011415993,0.0013860089970777942
osi_target_t24h,P__dart_huber,18013,0.03242216083426524,0.03242683168859347,-4.670854328231444e-06,0.014765613373043416,0.014755866671806674
osi_target_t24h,P__dart_huber,18023,0.0012956025498474318,0.001263181751950949,3.2420797896482844e-05,0.0005944644875816144,0.0005803381212467931
osi_target_t24h,P__dart_huber,18025,0.013478443842183356,0.013503400788462322,-2.4956946278966233e-05,0.0027420744727366135,0.002761273696524238
osi_target_t24h,P__dart_huber,18027,0.0036583292044229097,0.0036374049270948305,2.0924277328079194e-05,0.0014910306003840903,0.001452149455235708
osi_target_t24h,P__dart_huber,18029,0.0016998240673552396,0.001688052088721397,1.177197863384263e-05,0.0006238276565751995,0.000620129319992128
osi_target_t24h,P__dart_huber,18033,0.0035976913457370432,0.0036031102256720775,-5.418879935034215e-06,0.0013273877717761816,0.0013287608404420259
osi_target_t24h,P__dart_huber,18035,0.001995402531833642,0.001990791264310525,4.611267523117225e-06,0.0007405898797216153,0.0007406643583554649
osi_target_t24h,P__dart_huber,18037,0.0026811069764764235,0.0026467893041546282,3.431767232179531e-05,0.0012303498805566573,0.0012131521050963072
osi_target_t24h,P__dart_huber,18039,0.0015149929491936707,0.0015399027137713698,-2.4909764577699155e-05,0.0008353964911847571,0.0008478635559563586
osi_target_t24h,P__dart_huber,18041,0.00591952608982028,0.005928093357614986,-8.567267794705805e-06,0.00232702780666358,0.0023284461574646646
osi_target_t24h,P__dart_huber,18043,0.0023273745432935795,0.0023386357023633493,-1.1261159069769766e-05,0.0010592324688593416,0.001063721610020556
osi_target_t24h,P__dart_huber,18045,0.002550582173640018,0.0024998501838807714,5.073198975924682e-05,0.0010354623696042285,0.0010063995112982753
osi_target_t24h,P__dart_huber,18047,0.0033594771965571547,0.003382206038767147,-2.2728842209992356e-05,0.0014380444044278253,0.0014602691639959743
osi_target_t24h,P__dart_huber,18051,0.0014752527293401606,0.0014684496017504482,6.803127589712337e-06,0.0005021173222928405,0.0005027196405277078
osi_target_t24h,P__dart_huber,18059,0.0011972409488924805,0.001198116377387095,-8.754284946145812e-07,0.00037554267819365844,0.00037734131029683294
osi_target_t24h,P__dart_huber,18061,0.0043603469397833685,0.0043804269229276134,-2.0079983144244938e-05,0.001803882951388323,0.0017991146724487689
osi_target_t24h,P__dart_huber,18065,0.0024827964092787053,0.0024817027934637653,1.0936158149400278e-06,0.0008439502111114624,0.0008433326987751892
osi_target_t24h,P__dart_huber,18067,0.001949594509369312,0.0019573236776787833,-7.729168309471334e-06,0.0005519563312431949,0.0005509409820968978
osi_target_t24h,P__dart_huber,18069,0.0008643275332404287,0.0008526373806754464,1.1690152564982313e-05,0.00037615646701025484,0.00037056123958924974
osi_target_t24h,P__dart_huber,18071,0.00636585208126334,0.006404613750936566,-3.87616696732266e-05,0.00277549222351235,0.0027981669482870556
osi_target_t24h,P__dart_huber,18073,0.004294223683892438,0.004313025687076095,-1.8802003183656518e-05,0.0024865760664636504,0.002485410829964021
osi_target_t24h,P__dart_huber,18077,0.005356502270066385,0.005329801068162962,2.6701201903423302e-05,0.0018188251837426969,0.0018055585063364878
osi_target_t24h,P__dart_huber,18083,0.0033930863834429003,0.0034193381669326826,-2.6251783489782306e-05,0.0017706963749587333,0.0017747783304512164
osi_target_t24h,P__dart_huber,18085,0.0015063068628978593,0.0014220220176209724,8.42848452768869e-05,0.0009650952536218439,0.000910691309546507
osi_target_t24h,P__dart_huber,18087,0.0026604036827788708,0.002805232306482898,-0.00014482862370402728,0.0020177399907157934,0.0021218163779627005
osi_target_t24h,P__dart_huber,18089,0.0016408401990147645,0.0015663761600079387,7.446403900682576e-05,0.0009479906189243967,0.0009034789781856536
osi_target_t24h,P__dart_huber,18091,0.001540704684374021,0.0015272712746366383,1.3433409737382673e-05,0.0007802043531283861,0.0007684557109306483
