horizon,model,rmse,mae,n,rmse_change_pct_vs_v1.8,rmse_change_pct_vs_v1.12,mae_change_pct_vs_v1.8
osi_target_t24h,v1.8,0.008372823768376926,0.0029248130640176667,28680,0.0,1.9959987383477706,0.0
osi_target_t24h,v1.12,0.008208972775349635,0.002576572092079163,28680,-1.9569382750671882,0.0,-11.906435191456055
osi_target_t24h,v1.12+ExtraTrees,0.008266740487726196,0.002657011990314149,28680,-1.2669952645055438,0.7037142643477656,-9.156177432264778
osi_target_t24h,v1.12+RandomForest,0.008209489979435807,0.0025776816866258253,28680,-1.950761098758691,0.006300472669673596,-11.868497910598252
osi_target_t24h,v1.12+ExtraTrees+RandomForest,0.008266740487726196,0.002657011990314149,28680,-1.2669952645055438,0.7037142643477656,-9.156177432264778
osi_target_t48h,v1.8,0.007593428433818521,0.0023066625802577725,22944,0.0,0.5702639353462491,0.0
osi_target_t48h,v1.12,0.007550371388803473,0.0020489713484549915,22944,-0.5670303656683862,0.0,-11.171604984981531
osi_target_t48h,v1.12+ExtraTrees,0.007580909781691255,0.002116229488501051,22944,-0.16486165947797726,0.40446212928104686,-8.25578449950145
osi_target_t48h,v1.12+RandomForest,0.00755948148861919,0.0020825055171541035,22944,-0.4470568926170815,0.12065763850008793,-9.717808968775099
osi_target_t48h,v1.12+ExtraTrees+RandomForest,0.007583408621978709,0.002122446414807197,22944,-0.13195372718847187,0.43755772364029166,-7.986264095461648
