horizon,family,coverage_pct,rmse,mae,n
osi_target_t24h,v1.12_ET,47.91143654114365,0.007677632288513195,0.002167943759445872,28680
osi_target_t24h,v1.12_RF,45.50557880055788,0.007931608101446249,0.0022980310358755277,28680
osi_target_t24h,v1.12_ET_RF,49.8744769874477,0.0076075342784008,0.0020823885958965774,28680
osi_target_t48h,v1.12_ET,51.33804044630404,0.007125451890083061,0.0016994695196103783,22944
osi_target_t48h,v1.12_RF,49.00191771269177,0.0072445603470738485,0.0017972068574392157,22944
osi_target_t48h,v1.12_ET_RF,53.30805439330544,0.007044974250554883,0.0016324025645307468,22944
