model,horizon,severity,rmse,mae,n
C3_aligned_component,osi_target_t48h,zero,0.0015625328222610248,0.000525516282120625,10947
C3_aligned_component,osi_target_t48h,0_to_0.01,0.0038331788681088695,0.002126432507444328,10861
C3_aligned_component,osi_target_t48h,0.01_to_0.05,0.014993336661333982,0.011915614909611046,985
C3_aligned_component,osi_target_t48h,above_0.05,0.08000325288738022,0.06803176521321966,151
v18_rule,osi_target_t01h,zero,0.0017241794061861834,0.000596362606842405,14503
v18_rule,osi_target_t01h,0_to_0.01,0.004871469879195381,0.0026262510684181167,16098
v18_rule,osi_target_t01h,0.01_to_0.05,0.01615810590447994,0.011714612011092935,2628
v18_rule,osi_target_t01h,above_0.05,0.061916791730556926,0.0397323872479754,948
v18_rule,osi_target_t06h,zero,0.0017108578209272507,0.0005902468151212978,14147
v18_rule,osi_target_t06h,0_to_0.01,0.004843751306290776,0.0026216114943225684,15675
v18_rule,osi_target_t06h,0.01_to_0.05,0.01604895491944673,0.011799294185804792,2421
v18_rule,osi_target_t06h,above_0.05,0.05878198663008201,0.04123842516056046,739
v18_rule,osi_target_t24h,zero,0.0019099526656497542,0.0005749990949918763,12791
v18_rule,osi_target_t24h,0_to_0.01,0.004658316373262258,0.0026109863167876105,13815
v18_rule,osi_target_t24h,0.01_to_0.05,0.015765022916121956,0.01205250609580595,1763
v18_rule,osi_target_t24h,above_0.05,0.06425330190603434,0.05158989408219425,311
v18_rule,osi_target_t48h,zero,0.0018206869650640954,0.0005570238678468958,10947
v18_rule,osi_target_t48h,0_to_0.01,0.003984889434968507,0.0021285236960856433,10861
v18_rule,osi_target_t48h,0.01_to_0.05,0.015140673646962094,0.012162957915098789,985
v18_rule,osi_target_t48h,above_0.05,0.07816978420757441,0.06677995915705998,151
