model,horizon,fold,rmse,mae,n
C0_direct_osi,osi_target_t01h,0,0.0068914602924788,0.002798437249228229,6864
C0_direct_osi,osi_target_t01h,1,0.010590048791515361,0.0037813675457644565,6721
C0_direct_osi,osi_target_t01h,2,0.013282252064634785,0.0040659406693599,6864
C0_direct_osi,osi_target_t01h,3,0.01619361981450347,0.003995209796294814,6864
C0_direct_osi,osi_target_t01h,4,0.011203868858249656,0.003358496807966772,6864
C0_direct_osi,osi_target_t06h,0,0.006549642305735746,0.0026627597399873507,6624
C0_direct_osi,osi_target_t06h,1,0.01015859240875467,0.003586040948066081,6486
C0_direct_osi,osi_target_t06h,2,0.013319143054359375,0.004066878128343197,6624
C0_direct_osi,osi_target_t06h,3,0.012941367765997313,0.00389417929940696,6624
C0_direct_osi,osi_target_t06h,4,0.009212106366155532,0.0030982021780243804,6624
C0_direct_osi,osi_target_t24h,0,0.004695846466533863,0.0020626463911162427,5760
C0_direct_osi,osi_target_t24h,1,0.009057231068190574,0.002896749532031277,5640
C0_direct_osi,osi_target_t24h,2,0.012987797905894272,0.003837086746236767,5760
C0_direct_osi,osi_target_t24h,3,0.0064739102190914865,0.0029327614019427173,5760
C0_direct_osi,osi_target_t24h,4,0.007540454726904199,0.0024669357253113856,5760
C0_direct_osi,osi_target_t48h,0,0.0036774118451942373,0.0016149660760127298,4608
C0_direct_osi,osi_target_t48h,1,0.00594366138854726,0.0020201939519751398,4512
C0_direct_osi,osi_target_t48h,2,0.013077202883190234,0.0033073870088538345,4608
C0_direct_osi,osi_target_t48h,3,0.005399498017072436,0.0021660467441663085,4608
C0_direct_osi,osi_target_t48h,4,0.007089587212200471,0.0021443733353471548,4608
C1_component_osi,osi_target_t01h,0,0.006878686349096312,0.0027534482699063992,6864
C1_component_osi,osi_target_t01h,1,0.010475133301922051,0.0037395520911788424,6721
C1_component_osi,osi_target_t01h,2,0.013207141020764496,0.004075026188000249,6864
C1_component_osi,osi_target_t01h,3,0.016006889356241803,0.003865425522315354,6864
C1_component_osi,osi_target_t01h,4,0.0109787302386338,0.003272374988632745,6864
C1_component_osi,osi_target_t06h,0,0.006530534914668293,0.0026782617608748778,6624
C1_component_osi,osi_target_t06h,1,0.010209303335858393,0.0035918139018297547,6486
C1_component_osi,osi_target_t06h,2,0.013324565829920625,0.0040280463714782895,6624
C1_component_osi,osi_target_t06h,3,0.012654955799690976,0.0038302112364708364,6624
C1_component_osi,osi_target_t06h,4,0.00890716228550112,0.0030241859160549476,6624
C1_component_osi,osi_target_t24h,0,0.004722006437624519,0.0021059088433387193,5760
C1_component_osi,osi_target_t24h,1,0.008926834627565224,0.0029095390774955274,5640
C1_component_osi,osi_target_t24h,2,0.012860189555137309,0.0038187202582121555,5760
C1_component_osi,osi_target_t24h,3,0.0061831058424843465,0.002799674455534234,5760
C1_component_osi,osi_target_t24h,4,0.007428758397301128,0.0024404211477509086,5760
C1_component_osi,osi_target_t48h,0,0.0036632306388987446,0.0015956445257807718,4608
C1_component_osi,osi_target_t48h,1,0.005855181393125153,0.0019970723373512436,4512
C1_component_osi,osi_target_t48h,2,0.013066410316828946,0.0032591786642496433,4608
C1_component_osi,osi_target_t48h,3,0.0053724652793763,0.002168728024357481,4608
C1_component_osi,osi_target_t48h,4,0.006925166870368426,0.0021494377477357354,4608
C2_equal_blend,osi_target_t01h,0,0.00684389822693314,0.0027474768339757713,6864
C2_equal_blend,osi_target_t01h,1,0.010514267475081093,0.003745242024912313,6721
C2_equal_blend,osi_target_t01h,2,0.013225581135766834,0.004045351968773173,6864
C2_equal_blend,osi_target_t01h,3,0.01607346133207062,0.0038969147534841765,6864
C2_equal_blend,osi_target_t01h,4,0.011070584665003623,0.00329372372003986,6864
C2_equal_blend,osi_target_t06h,0,0.006508518308773927,0.002635730273559281,6624
C2_equal_blend,osi_target_t06h,1,0.010165375482281592,0.0035745627952774328,6486
C2_equal_blend,osi_target_t06h,2,0.013308650172545927,0.004028868246473436,6624
C2_equal_blend,osi_target_t06h,3,0.01276101132497934,0.0038295382310014007,6624
C2_equal_blend,osi_target_t06h,4,0.009034411256281395,0.003033706150594502,6624
C2_equal_blend,osi_target_t24h,0,0.004678232303782412,0.002061644688849701,5760
C2_equal_blend,osi_target_t24h,1,0.008979027564683831,0.002887171043752256,5640
C2_equal_blend,osi_target_t24h,2,0.012912563682465116,0.0038118141159338265,5760
C2_equal_blend,osi_target_t24h,3,0.006289094638732463,0.002847947245956316,5760
C2_equal_blend,osi_target_t24h,4,0.007468080565560886,0.0024339065161741095,5760
C2_equal_blend,osi_target_t48h,0,0.0036392904166209178,0.0015829419166334278,4608
C2_equal_blend,osi_target_t48h,1,0.0058832227184225806,0.001992845249818843,4512
C2_equal_blend,osi_target_t48h,2,0.01306425472325888,0.0032728128459627356,4608
C2_equal_blend,osi_target_t48h,3,0.005354711862712802,0.002145526600464257,4608
C2_equal_blend,osi_target_t48h,4,0.006993325282212045,0.0021272052029876498,4608
C3_aligned_component,osi_target_t01h,0,0.0066210477909235945,0.002674924165033607,6864
C3_aligned_component,osi_target_t01h,1,0.010542975641947719,0.0036740989781378092,6721
C3_aligned_component,osi_target_t01h,2,0.012954966983834245,0.004019172851147257,6864
C3_aligned_component,osi_target_t01h,3,0.015901577595244742,0.003908416331296008,6864
C3_aligned_component,osi_target_t01h,4,0.010863149830558083,0.0031919389879833462,6864
C3_aligned_component,osi_target_t06h,0,0.006459790086522191,0.00257303134736504,6624
C3_aligned_component,osi_target_t06h,1,0.010090386368988492,0.0034969457196327093,6486
