model,horizon,rmse,mae,n,rmse_change_pct_vs_C0,mae_change_pct_vs_C0,prediction_mean,prediction_max,zero_pct
C0_direct_osi,osi_target_t01h,0.012037457339389941,0.003599131095178727,34177,0.0,0.0,0.005612799925912993,0.29184221981614467,51.91210463176991
C0_direct_osi,osi_target_t06h,0.01073393416160627,0.003461091435797809,32982,0.0,0.0,0.004912567399339545,0.25884066542705936,51.56448972166636
C0_direct_osi,osi_target_t24h,0.00861830195271674,0.0028389953167640646,28680,0.0,0.0,0.0030485292343460932,0.11895024829482964,57.099023709902376
C0_direct_osi,osi_target_t48h,0.007743302763035277,0.002251557437795284,22944,0.0,0.0,0.0020327481023827863,0.06086733925589248,61.33193863319386
C1_component_osi,osi_target_t01h,0.011907090816672686,0.003540335342219387,34177,-1.083007142136727,-1.633609652010204,0.005635465518316194,0.29258302659171403,51.86236357784475
C1_component_osi,osi_target_t06h,0.010621545697340714,0.0034298288998334237,32982,-1.0470388822353072,-0.9032565751092125,0.004902213548736408,0.253058034853511,50.41537808501607
C1_component_osi,osi_target_t24h,0.008492701524253245,0.0028144565793908724,28680,-1.4573686226426852,-0.8643458208012045,0.0030540523491370147,0.12068035433293223,56.14365411436542
C1_component_osi,osi_target_t48h,0.007691202257793633,0.0022350036403240283,22944,-0.6728460301250183,-0.7352154199301686,0.002039247150748182,0.05935841461359391,60.534344490934444
C2_equal_blend,osi_target_t01h,0.011948976400110755,0.0035449071315145674,34177,-0.735046752686308,-1.5065848459034026,0.005615497849296321,0.2916222660194121,51.57562103168798
C2_equal_blend,osi_target_t06h,0.010653558786996201,0.003419836446260306,32982,-0.7487969778831038,-1.1919647401049893,0.004892704215447335,0.2559493501402852,51.21581468679886
C2_equal_blend,osi_target_t24h,0.0085370574557761,0.002808167540871237,28680,-0.9426972666585431,-1.0858692055880415,0.0030415329475004683,0.11981530131388093,56.551603905160384
C2_equal_blend,osi_target_t48h,0.007702283879539482,0.002225234652350598,22944,-0.5297336905333183,-1.1690923359459648,0.002026860265444682,0.059553506661114974,60.92660390516039
C3_aligned_component,osi_target_t01h,0.011783624615677923,0.0034929554982199478,34177,-2.1086905361766606,-2.950034165218618,0.005631294744572261,0.29258302659171403,49.97220352868889
C3_aligned_component,osi_target_t06h,0.010427511705922264,0.003289226526120758,32982,-2.8547077993084313,-4.965627544521512,0.004817764410840103,0.2685435889315628,50.615487235461764
C3_aligned_component,osi_target_t24h,0.008426588509688701,0.0027516296495448235,28680,-2.2244920644443833,-3.077344534644111,0.0030616306140214744,0.13430359993217775,52.684797768479775
C3_aligned_component,osi_target_t48h,0.00773914813050702,0.0022166007425422933,22944,-0.05365452773060664,-1.5525562291326733,0.002065378997303337,0.052350850475973834,58.398709902370996
v18_rule,osi_target_t01h,0.011783624615677923,0.0034929554982199478,34177,-2.1086905361766606,-2.950034165218618,0.005631294744572261,0.29258302659171403,49.97220352868889
v18_rule,osi_target_t06h,0.010427511705922264,0.003289226526120758,32982,-2.8547077993084313,-4.965627544521512,0.004817764410840103,0.2685435889315628,50.615487235461764
v18_rule,osi_target_t24h,0.008492701524253245,0.0028144565793908724,28680,-1.4573686226426852,-0.8643458208012045,0.0030540523491370147,0.12068035433293223,56.14365411436542
v18_rule,osi_target_t48h,0.007691202257793633,0.0022350036403240283,22944,-0.6728460301250183,-0.7352154199301686,0.002039247150748182,0.05935841461359391,60.534344490934444
