model,reference,horizon,metric,difference,change_pct,ci_2_5,ci_97_5,improvement_probability,replicates,unit
C1_component_osi,C0_direct_osi,osi_target_t01h,rmse,-0.00013036652271725298,-1.083007142136716,-0.0002349953324105522,-3.983282627022815e-05,0.9965,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t01h,mae,-5.8795752959339784e-05,-1.6336096520101928,-0.00010769792600869534,-1.140423192783869e-05,0.9915,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t01h,rmse,-8.848093927918584e-05,-0.735046752686308,-0.00014457492321350466,-4.095413972433136e-05,1.0,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t01h,mae,-5.42239636641584e-05,-1.5065848459033582,-7.908250350394696e-05,-2.9842688668000156e-05,1.0,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t01h,rmse,4.188558343806714e-05,0.35177008459041925,-3.247489199901523e-06,9.255700822287183e-05,0.0325,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t01h,mae,4.571789295181386e-06,0.12913435743393542,-1.905074607852277e-05,2.8757807336787927e-05,0.3615,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t01h,rmse,-0.00025383272371201464,-2.1086905361766273,-0.0004209132680888012,-9.2862301978927e-05,0.9975,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t01h,mae,-0.0001061755969587793,-2.950034165218618,-0.00017187740612197862,-3.403265373101068e-05,0.9985,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t01h,rmse,-0.00012346620099476166,-1.036913238470305,-0.000244758053018274,1.2540903215762814e-05,0.963,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t01h,mae,-4.737984399943952e-05,-1.3382868971315465,-9.627563670354855e-05,4.297623185746505e-06,0.962,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t01h,rmse,-0.00025383272371201464,-2.1086905361766273,-0.0004209132680888012,-9.2862301978927e-05,0.9975,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t01h,mae,-0.0001061755969587793,-2.950034165218618,-0.00017187740612197862,-3.403265373101068e-05,0.9985,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t01h,rmse,-0.00012346620099476166,-1.036913238470305,-0.000244758053018274,1.2540903215762814e-05,0.963,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t01h,mae,-4.737984399943952e-05,-1.3382868971315465,-9.627563670354855e-05,4.297623185746505e-06,0.962,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t06h,rmse,-0.00011238846426555628,-1.0470388822353072,-0.0002918894916257346,5.701531060741313e-05,0.8785,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t06h,mae,-3.126253596438637e-05,-0.9032565751092347,-8.447850901171228e-05,1.9035848597894255e-05,0.8715,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t06h,rmse,-8.037537461006924e-05,-0.7487969778831038,-0.00016774955674276888,4.370617776213728e-06,0.9675,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t06h,mae,-4.125498953750414e-05,-1.1919647401050115,-6.727742722875384e-05,-1.5842514339987012e-05,0.9995,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t06h,rmse,3.2013089655487034e-05,0.30139765499010984,-5.425364213169962e-05,0.00012256546839448717,0.2835,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t06h,mae,-9.992453573117767e-06,-0.2913397100830051,-3.599174173165384e-05,1.6591330134748014e-05,0.7875,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t06h,rmse,-0.0003064224556840068,-2.8547077993084313,-0.00047052900599882765,-0.00012451539566109943,0.9995,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t06h,mae,-0.00017186490967705187,-4.965627544521533,-0.0002661925287402886,-9.059576992781976e-05,1.0,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t06h,rmse,-0.0001940339914184505,-1.826796183412649,-0.0003686944593067692,-3.901705108132924e-05,0.9925,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t06h,mae,-0.0001406023737126655,-4.099399060970477,-0.00021561682665317762,-7.27732012897421e-05,1.0,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t06h,rmse,-0.0003064224556840068,-2.8547077993084313,-0.00047052900599882765,-0.00012451539566109943,0.9995,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t06h,mae,-0.00017186490967705187,-4.965627544521533,-0.0002661925287402886,-9.059576992781976e-05,1.0,2000,county_full_trajectory
