model,horizon,target_day,rmse,mae,n
C2_equal_blend,osi_target_t48h,2026-03-17,0.010463758806944404,0.003546002270298772,5736
C2_equal_blend,osi_target_t48h,2026-03-18,0.005434099282502426,0.0007695174399298605,5736
C2_equal_blend,osi_target_t48h,2026-03-19,0.0010145655494876408,0.0002541596218314239,5736
C3_aligned_component,osi_target_t01h,2026-03-14,0.022199889766182455,0.007360742534785811,5497
C3_aligned_component,osi_target_t01h,2026-03-15,0.010745199598628545,0.0048917452775549455,5736
C3_aligned_component,osi_target_t01h,2026-03-16,0.009965965906351551,0.004356553653893918,5736
C3_aligned_component,osi_target_t01h,2026-03-17,0.010486780208444742,0.0034899427720164696,5736
C3_aligned_component,osi_target_t01h,2026-03-18,0.005408036346127904,0.000750514773220841,5736
C3_aligned_component,osi_target_t01h,2026-03-19,0.0010187062559398308,0.0002693917710379443,5736
C3_aligned_component,osi_target_t06h,2026-03-14,0.018979911577261553,0.0068732057032936545,4302
C3_aligned_component,osi_target_t06h,2026-03-15,0.010745199598628545,0.0048917452775549455,5736
C3_aligned_component,osi_target_t06h,2026-03-16,0.009965965906351551,0.004356553653893918,5736
C3_aligned_component,osi_target_t06h,2026-03-17,0.010486780208444742,0.0034899427720164696,5736
C3_aligned_component,osi_target_t06h,2026-03-18,0.005408036346127904,0.000750514773220841,5736
C3_aligned_component,osi_target_t06h,2026-03-19,0.0010187062559398308,0.0002693917710379443,5736
C3_aligned_component,osi_target_t24h,2026-03-15,0.010745199598628545,0.0048917452775549455,5736
C3_aligned_component,osi_target_t24h,2026-03-16,0.009965965906351551,0.004356553653893918,5736
C3_aligned_component,osi_target_t24h,2026-03-17,0.010486780208444742,0.0034899427720164696,5736
C3_aligned_component,osi_target_t24h,2026-03-18,0.005408036346127904,0.000750514773220841,5736
C3_aligned_component,osi_target_t24h,2026-03-19,0.0010187062559398308,0.0002693917710379443,5736
C3_aligned_component,osi_target_t48h,2026-03-16,0.009965965906351551,0.004356553653893918,5736
C3_aligned_component,osi_target_t48h,2026-03-17,0.010486780208444742,0.0034899427720164696,5736
C3_aligned_component,osi_target_t48h,2026-03-18,0.005408036346127904,0.000750514773220841,5736
C3_aligned_component,osi_target_t48h,2026-03-19,0.0010187062559398308,0.0002693917710379443,5736
v18_rule,osi_target_t01h,2026-03-14,0.022199889766182455,0.007360742534785811,5497
v18_rule,osi_target_t01h,2026-03-15,0.010745199598628545,0.0048917452775549455,5736
v18_rule,osi_target_t01h,2026-03-16,0.009965965906351551,0.004356553653893918,5736
v18_rule,osi_target_t01h,2026-03-17,0.010486780208444742,0.0034899427720164696,5736
v18_rule,osi_target_t01h,2026-03-18,0.005408036346127904,0.000750514773220841,5736
v18_rule,osi_target_t01h,2026-03-19,0.0010187062559398308,0.0002693917710379443,5736
v18_rule,osi_target_t06h,2026-03-14,0.018979911577261553,0.0068732057032936545,4302
v18_rule,osi_target_t06h,2026-03-15,0.010745199598628545,0.0048917452775549455,5736
v18_rule,osi_target_t06h,2026-03-16,0.009965965906351551,0.004356553653893918,5736
v18_rule,osi_target_t06h,2026-03-17,0.010486780208444742,0.0034899427720164696,5736
v18_rule,osi_target_t06h,2026-03-18,0.005408036346127904,0.000750514773220841,5736
v18_rule,osi_target_t06h,2026-03-19,0.0010187062559398308,0.0002693917710379443,5736
v18_rule,osi_target_t24h,2026-03-15,0.011002857148274862,0.004983057330573211,5736
v18_rule,osi_target_t24h,2026-03-16,0.0102148540687825,0.004523232215983366,5736
v18_rule,osi_target_t24h,2026-03-17,0.010230557732170983,0.0035166597136710013,5736
v18_rule,osi_target_t24h,2026-03-18,0.005418899511504962,0.0007571999686953691,5736
v18_rule,osi_target_t24h,2026-03-19,0.0010931621111844045,0.00029213366803141656,5736
v18_rule,osi_target_t48h,2026-03-16,0.009851380342539039,0.00431227695207857,5736
v18_rule,osi_target_t48h,2026-03-17,0.01043870476426639,0.0035630681108317643,5736
v18_rule,osi_target_t48h,2026-03-18,0.005435793609578428,0.0007985047457837364,5736
v18_rule,osi_target_t48h,2026-03-19,0.0010267739314685862,0.00026616475260204215,5736
