model,horizon,n,rmse,mae
C0_direct_osi,osi_target_t01h,34177,0.011979379161386963,0.0035894603675201875
C1_component_osi,osi_target_t01h,34177,0.011865427114391812,0.003526919842147216
C2_equal_blend,osi_target_t01h,34177,0.011900940279087323,0.003532878827257618
C3_aligned_component,osi_target_t01h,34177,0.011676613766703986,0.003502269606663691
C0_direct_osi,osi_target_t06h,32982,0.010676993494381172,0.0035510141183561625
C1_component_osi,osi_target_t06h,32982,0.010512561705099621,0.003389107513172991
C2_equal_blend,osi_target_t06h,32982,0.010567195925244516,0.0034340061138569446
C3_aligned_component,osi_target_t06h,32982,0.01032059984086345,0.003300881630204454
C0_direct_osi,osi_target_t24h,28680,0.008463831869463107,0.0029427287130505816
C1_component_osi,osi_target_t24h,28680,0.008372823768376926,0.0029248130640176667
C2_equal_blend,osi_target_t24h,28680,0.00840302098047452,0.0029195064012712303
C3_aligned_component,osi_target_t24h,28680,0.008329503508198619,0.002778639706074067
C0_direct_osi,osi_target_t48h,22944,0.007644415252022217,0.0023030616654518086
C1_component_osi,osi_target_t48h,22944,0.007593428433818521,0.0023066625802577725
C2_equal_blend,osi_target_t48h,22944,0.007607652953164135,0.0022918712439553746
C3_aligned_component,osi_target_t48h,22944,0.007666935844292914,0.0022517540884931945
