horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_total_sse_reduction
osi_target_t01h,v18_rule,39117,Morrow County,4,143,0.0510551383193077,0.020320683181241972,0.37274768227892074,-0.0175387148055379,0.049467221782080226,0.019994027754621065,0.3499218624097643,-0.017212059378916997,-0.0015879165372274726,-3.1101992659316013,0.02282581986915644,2,0.9960991004281617
osi_target_t01h,v18_rule,39037,Darke County,0,143,0.002032242463387343,0.0011153471061475992,0.0005905913484892359,0.00042344611977866085,0.0019769336632137367,0.0010960814155950975,0.0005588821393509187,0.0004427118103311628,-5.53088001736062e-05,-2.721565028289852,3.1709209138317115e-05,4,0.001383762549561091
osi_target_t01h,v18_rule,54023,Grant County,4,143,0.001562956420502051,0.0010909733058772331,0.0003493250864515675,0.0008965677114716388,0.0015012497132907347,0.001054858279043129,0.00032228635033673843,0.0009326827383057433,-6.170670721131633e-05,-3.9480759925151987,2.7038736114829093e-05,1,0.0011799471333377813
osi_target_t01h,v18_rule,39099,Mahoning County,0,143,0.002158932952168816,0.001207326864210555,0.0006665217833503313,0.0005676479723569618,0.002122545520883927,0.001201854645227743,0.0006442435268160922,0.0005731201913397737,-3.6387431284889016e-05,-1.6854359116773354,2.227825653423909e-05,1,0.0009722039085592541
osi_target_t01h,v18_rule,42063,Indiana County,2,143,0.0082081473333188,0.004928829451951917,0.009634436618302001,-0.0007337438924986683,0.008200622837197158,0.0049235241431637026,0.009616780733268219,-0.0007284385837104539,-7.524496121642105e-06,-0.09167106554116566,1.7655885033782473e-05,1,0.0007704876013316107
osi_target_t01h,v18_rule,39131,Pike County,3,143,0.005476503810232094,0.0021017119057572162,0.004288869439638589,-0.0014670961400946108,0.005469324506010895,0.002083345304396301,0.004277632008943338,-0.0014487295387336956,-7.179304221198966e-06,-0.13109283714520803,1.1237430695251044e-05,3,0.0004903917874945122
osi_target_t01h,v18_rule,18111,Newton County,2,143,0.004422207291970968,0.002865006946950168,0.0027964961786420524,0.0024559200032192737,0.004413845765517454,0.0028430148859863165,0.0027859309251740184,0.0024779120641831255,-8.361526453514595e-06,-0.1890803822945153,1.0565253468034028e-05,3,0.0004610585527981363
osi_target_t01h,v18_rule,18073,Jasper County,2,143,0.003574259843561082,0.00216602373232049,0.0018268726803889405,0.0017931025743024775,0.0035646069462091316,0.0021476045801939207,0.0018170184433776216,0.0018115217264290467,-9.65289735195031e-06,-0.2700670285440965,9.854237011318887e-06,3,0.00043003040761065104
osi_target_t01h,v18_rule,18127,Porter County,2,143,0.0029522070935958204,0.0021613925125495955,0.0012463203214572798,0.0019613251662489437,0.0029415573750715845,0.002155274091992115,0.0012373446500898381,0.0019674435868064235,-1.0649718524235931e-05,-0.3607375155807446,8.975671367441717e-06,1,0.0003916905603434046
osi_target_t01h,v18_rule,42113,Sullivan County,2,143,0.004683345605073343,0.0033207066049744352,0.003136522826088052,0.002815117056983557,0.004678418091236994,0.0033118228129539774,0.003129926204607144,0.0028286994323300824,-4.927513836349394e-06,-0.10521354287865714,6.596621480907741e-06,2,0.0002878708743284289
osi_target_t01h,v18_rule,39113,Montgomery County,4,143,0.001306898495537672,0.0006572766337730364,0.0002442416659023242,-0.0005738100186126341,0.0012898320676212392,0.0006477005803001392,0.00023790434706096356,-0.0005642339651397368,-1.70664279164328e-05,-1.3058724893100004,6.3373188413606255e-06,1,0.0002765551306893342
osi_target_t01h,v18_rule,39141,Ross County,3,143,0.0022015084601413417,0.0013881487310703747,0.0006930694485105678,0.0012406407360314603,0.0021928458875346323,0.0013771136194816963,0.0006876259513662894,0.0012516758476201386,-8.662572606709436e-06,-0.3934835029502093,5.443497144278376e-06,1,0.00023754952241281072
osi_target_t01h,v18_rule,39027,Clinton County,0,143,0.001070243443605987,0.0005309756702519751,0.000163795207087169,0.00012538443520138272,0.0010527355990098896,0.000511811606835385,0.00015848007052344766,0.0001570813954437957,-1.7507844596097426e-05,-1.635874968512585,5.315136563721336e-06,3,0.00023194797733989633
osi_target_t01h,v18_rule,39135,Preble County,0,143,0.005503484515575349,0.002743280616908326,0.004331232879284402,-0.0027186042076265235,0.005500177680800669,0.0027383869397054755,0.004326029496414028,-0.0027137105304236736,-3.306834774680599e-06,-0.06008620112080143,5.203382870373925e-06,2,0.0002270711425076326
osi_target_t01h,v18_rule,42055,Franklin County,1,143,0.001122333617486214,0.0005916138451892476,0.00018012748309837584,0.0003594613897747228,0.0011089342074424818,0.0005839580150750237,0.0001758521159303602,0.00036711721988894676,-1.3399410043732135e-05,-1.1938883265159572,4.275367168015646e-06,1,0.00018657333732029788
