horizon,model_a,model_b,residual_correlation
osi_target_t24h,RF,v1.8_rule,0.9563205051039293
osi_target_t24h,RF,v1.12,0.9624063381143175
osi_target_t48h,RF,v1.8_rule,0.9615059253504733
osi_target_t48h,RF,v1.12,0.9626171344162107
