config,horizon,fold,train_rows,valid_rows,fit_seconds,model_bytes,rmse,mae,n
RF,osi_target_t24h,0,22920,5760,51.792229300001054,43132222,0.004827357983078783,0.002198468118693823,5760.0
RF,osi_target_t24h,1,23040,5640,72.2679427999974,42822165,0.009219590544603,0.003119952869741301,5640.0
RF,osi_target_t24h,2,22920,5760,70.85952179999731,42458070,0.013535477070541905,0.0040355336413573015,5760.0
RF,osi_target_t24h,3,22920,5760,69.94186989999434,42517184,0.006219362121178804,0.0029378944761208467,5760.0
RF,osi_target_t24h,4,22920,5760,68.10553140001139,42918482,0.007974433997667582,0.00269237490706111,5760.0
RF,osi_target_t24h,final,28680,9072,87.32303349999711,53039903,,,
RF,osi_target_t48h,0,18336,4608,55.33428090000234,33553718,0.004312729722592378,0.001876292141427942,4608.0
RF,osi_target_t48h,1,18432,4512,61.23032200000307,33079796,0.006066120714521796,0.002093658897505848,4512.0
RF,osi_target_t48h,2,18336,4608,51.417488899998716,32879536,0.013304082561478263,0.003377143615941131,4608.0
RF,osi_target_t48h,3,18336,4608,51.68412530000205,32902429,0.005892147001008993,0.0024093549142025733,4608.0
RF,osi_target_t48h,4,18336,4608,54.396725699989474,33389704,0.006880213935218666,0.002171789316878027,4608.0
RF,osi_target_t48h,final,22944,9072,71.89347989999806,41126496,,,
