case,reference,pair,horizon,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
N_only,B0,N_only_minus_B0,1,0,6864,0.006471419205808233,0.28745928551205235,0.002624181257579351,0.00014353629202771794,0.006479607930654,-8.18872484576686e-06,-0.12637685695499057,0.0007279436577479204
N_only,B0,N_only_minus_B0,1,1,6721,0.009467065734724634,0.6023718672976393,0.0032710196823043064,-0.0005081631054473033,0.009481489999115742,-1.4424264391108693e-05,-0.15213077683416953,0.0018369768493541327
N_only,B0,N_only_minus_B0,1,2,6864,0.012486959546675882,1.0702634254562762,0.003816012669839222,-0.0006175285053205797,0.01248928281901675,-2.3232723408671274e-06,-0.018602127716493833,0.0003982946720919589
N_only,B0,N_only_minus_B0,1,3,6864,0.015257302729196249,1.5978382070188089,0.0035068518871666,0.00029375076019532304,0.015263495703562108,-6.19297436585918e-06,-0.040573761647633155,0.0012973956812021292
N_only,B0,N_only_minus_B0,1,4,6864,0.008137987812483236,0.4545810684463667,0.0028770444880772796,1.8645822728079683e-05,0.008135527488850472,2.4603236327639527e-06,0.030241722323909315,-0.0002748216164454309
R_only,B0,R_only_minus_B0,1,0,6864,0.006481289856979706,0.2883368593947305,0.0026340671046173663,0.00014716386734515752,0.006479607930654,1.6819263257061498e-06,0.025957223704065058,-0.0001496302249302528
R_only,B0,R_only_minus_B0,1,1,6721,0.0094813027740753,0.6041849825158772,0.0032831973366779683,-0.0004961291887689754,0.009481489999115742,-1.8722504044159372e-07,-0.0019746373245088655,2.3861631116228743e-05
R_only,B0,R_only_minus_B0,1,2,6864,0.0124923345264891,1.0711850080706287,0.0038319358037786537,-0.0005987288893017665,0.01248928281901675,3.051707472350243e-06,0.024434609389278883,-0.0005232879422605308
R_only,B0,R_only_minus_B0,1,3,6864,0.01526047717078924,1.5985031701279526,0.0035187753518416283,0.0003090904549966336,0.015263495703562108,-3.0185327728679545e-06,-0.019776156337258932,0.0006324325720583612
R_only,B0,R_only_minus_B0,1,4,6864,0.008139783856430232,0.4547817415586168,0.002877944284735177,1.6999786296145288e-05,0.008135527488850472,4.25636757975939e-06,0.05231827420646429,-0.00047549472869551357
NR_both,B0,NR_both_minus_B0,1,0,6864,0.006473099258331619,0.28760856015237646,0.0026264596322727604,0.00014366082970502606,0.006479607930654,-6.508672322381483e-06,-0.10044855170310285,0.0005786690174238163
NR_both,B0,NR_both_minus_B0,1,1,6721,0.009466780915493838,0.602335622802062,0.0032718324826525747,-0.000504835953935515,0.009481489999115742,-1.4709083621904442e-05,-0.155134726960382,0.0018732213449313972
NR_both,B0,NR_both_minus_B0,1,2,6864,0.01248993205515097,1.070773036423063,0.0038177612366262505,-0.0006175070334540416,0.01248928281901675,6.492361342199521e-07,0.005198346002943666,-0.00011131629469485205
NR_both,B0,NR_both_minus_B0,1,3,6864,0.015254277233817441,1.5972045730291697,0.0035092262019102696,0.0002971825451966061,0.015263495703562108,-9.218469744666849e-06,-0.06039553404869613,0.0019310296708412444
NR_both,B0,NR_both_minus_B0,1,4,6864,0.008140105208570659,0.4548176511044968,0.0028773845153557717,1.6517837571461773e-05,0.008135527488850472,4.5777197201866265e-06,0.05626825951310366,-0.0005114042745755221
NR_both,N_only,NR_both_minus_N_only,1,0,6864,0.006473099258331619,0.28760856015237646,0.0026264596322727604,0.00014366082970502606,0.006471419205808233,1.680052523385378e-06,0.025961114091899162,-0.0001492746403241041
NR_both,N_only,NR_both_minus_N_only,1,1,6721,0.009466780915493838,0.602335622802062,0.0032718324826525747,-0.000504835953935515,0.009467065734724634,-2.848192307957492e-07,-0.0030085270217417026,3.62444955772645e-05
