component,fold,variant,n,observed_positive_fraction,mean_q,logloss,brier
N_t,all,q_model,34177,0.3937150715393393,0.3915381523785561,0.5489951900422873,0.18591188023015673
N_t,all,training_prior,34177,0.3937150715393393,0.39376557423879105,0.6708234359512825,0.2389140531996721
N_t,0,q_model,6864,0.38374125874125875,0.38112807521842895,0.5459156575445253,0.18440132422980546
N_t,0,training_prior,6864,0.38374125874125875,0.3962215794676528,0.6661927437228312,0.23663966348636675
N_t,1,q_model,6721,0.4331200714179438,0.42458423774341797,0.5730230129744484,0.19547342641922136
N_t,1,training_prior,6721,0.4331200714179438,0.3840690559440559,0.6891884422689897,0.24793307727187863
N_t,2,q_model,6864,0.38578088578088576,0.3772645364443283,0.5356163092672624,0.18061290619788228
N_t,2,training_prior,6864,0.38578088578088576,0.395709003038846,0.6670300773039088,0.23705256145928877
N_t,3,q_model,6864,0.38344988344988346,0.3871356563102788,0.5515832847816516,0.1868734048069435
N_t,3,training_prior,6864,0.38344988344988346,0.39629480467176803,0.6660739269691625,0.2365810623333507
N_t,4,q_model,6864,0.3833041958041958,0.38826671628809434,0.5393382652879688,0.18239753837586994
N_t,4,training_prior,6864,0.3833041958041958,0.3963314172738255,0.6660145937898057,0.23655179778231325
R_t,all,q_model,34177,0.49384088714632646,0.4960615910509749,0.48716743518165334,0.1610236222450189
R_t,all,training_prior,34177,0.49384088714632646,0.4938976930090509,0.693802963159525,0.250327758721597
R_t,0,q_model,6864,0.49053030303030304,0.4872244816857297,0.4936828556118484,0.16315182894489907
R_t,0,training_prior,6864,0.49053030303030304,0.4946728664006151,0.6930021474870359,0.24992748567057912
R_t,1,q_model,6721,0.5381639636958786,0.5355441431965121,0.4814393345298699,0.1583047134499275
R_t,1,training_prior,6721,0.5381639636958786,0.4829909673659675,0.6963236606996177,0.25158757139904
R_t,2,q_model,6864,0.4600815850815851,0.48048358997654717,0.47922153354554686,0.15795652371494492
R_t,2,training_prior,6864,0.4600815850815851,0.5023249002306595,0.6935292190025919,0.25019101782518527
R_t,3,q_model,6864,0.4812062937062937,0.47236271862059814,0.5081931706870304,0.16944306324841935
R_t,3,training_prior,6864,0.4812062937062937,0.4970160729323034,0.6929406696598218,0.2498967457229211
R_t,4,q_model,6864,0.5001456876456877,0.505515574945186,0.473180946103726,0.15620533793367256
R_t,4,training_prior,6864,0.5001456876456877,0.49225643466481167,0.6932716334806427,0.25006221908770615
