case,reference,pair,horizon,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
N_only,B0,N_only_minus_B0,1,all,34177,0.010835309055932387,4.012513853731143,0.003218804433456486,-0.00013238600926258263,0.010840689291401098,-5.380235468711511e-06,-0.04963001266883316,0.00398578924395121
N_only,B0,N_only_minus_B0,1,early_73_95,5497,0.019193817414617547,2.0251092403203796,0.0060303218720077194,-0.0003374129083017956,0.01921742834940514,-2.361093478759138e-05,-0.12286209350338417,0.004985369027388664
N_only,B0,N_only_minus_B0,1,late_96_215,28680,0.008324412128654103,1.9874046134107641,0.0026799302577341665,-9.308918694673361e-05,0.00832231845317753,2.093675476572132e-06,0.02515735835333377,-0.0009995797834378983
N_only,B0,N_only_minus_B0,1,test_like,23317,0.011901089189147705,3.302524837297624,0.003268610671562802,-0.00045912474151942864,0.011906475211728657,-5.386022580952318e-06,-0.04523607940364327,0.0029898941287824776
N_only,B0,N_only_minus_B0,1,not_test_like,10860,0.008085574862075793,0.7099890164335192,0.0031118677802405583,0.0005691394990277373,0.008091243655922791,-5.668793846998893e-06,-0.0700608471090769,0.0009958951151683992
N_only,B0,N_only_minus_B0,1,all_except_Forest,34034,0.008974771712361083,2.7413205097537126,0.003089061211386285,-2.4193455565810895e-05,0.008981369097641946,-6.597385280863316e-06,-0.07345634289315228,0.004031789450444023
N_only,B0,N_only_minus_B0,1,test_like_except_Forest,23174,0.009362458368800654,2.0313314933201934,0.0030783734001427615,-0.00030224626849780065,0.009369452013707842,-6.9936449071886925e-06,-0.07464305166360319,0.003035894335275735
R_only,B0,R_only_minus_B0,1,all,34177,0.010841353394838483,4.016991761667805,0.0032289579790065275,-0.0001227651102259653,0.010840689291401098,6.641034373845722e-07,0.006126025933705925,-0.000492118692711152
R_only,B0,R_only_minus_B0,1,early_73_95,5497,0.019214083451807917,2.0293879729030344,0.006061115124097013,-0.0003156299805550102,0.01921742834940514,-3.3448975972211192e-06,-0.017405542179760314,0.0007066364447338991
R_only,B0,R_only_minus_B0,1,late_96_215,28680,0.008324829249602293,1.9876037887647713,0.0026861278595308514,-8.579934341289839e-05,0.00832231845317753,2.5107964247619158e-06,0.030169434621951652,-0.0011987551374450511
R_only,B0,R_only_minus_B0,1,test_like,23317,0.011906941365359023,3.3057735666952066,0.0032775888808283075,-0.0004508680279673989,0.011906475211728657,4.6615363036642266e-07,0.003915127038656152,-0.0002588352687999951
R_only,B0,R_only_minus_B0,1,not_test_like,10860,0.008092570968349401,0.7112181949725991,0.0031245448355646816,0.000581689377156816,0.008091243655922791,1.3273124266095088e-06,0.01640430671789872,-0.00023328342391149004
R_only,B0,R_only_minus_B0,1,all_except_Forest,34034,0.008983900994404192,2.7469003768473526,0.003099488376084372,-1.4387259602908468e-05,0.008981369097641946,2.531896762246119e-06,0.0281905434986518,-0.0015480776431959775
R_only,B0,R_only_minus_B0,1,test_like_except_Forest,23174,0.009372479222967843,2.035682181874754,0.0030877462016666553,-0.00029372584056478856,0.009369452013707842,3.027209260000885e-06,0.03230935230333909,-0.0013147942192848205
NR_both,B0,NR_both_minus_B0,1,all,34177,0.010835613640629215,4.012739443511168,0.0032203181707974623,-0.00013144054076173517,0.010840689291401098,-5.075650771882781e-06,-0.04682036940131251,0.0037601994639260283
NR_both,B0,NR_both_minus_B0,1,early_73_95,5497,0.019190444390059763,2.0243975379162054,0.006030264862641172,-0.00034039717352909066,0.01921742834940514,-2.698395934537523e-05,-0.14041399741298033,0.00569707143156295
NR_both,B0,NR_both_minus_B0,1,late_96_215,28680,0.0083263748610175,1.9883419055949623,0.002681745054860751,-9.139051948132526e-05,0.00832231845317753,4.05640783996894e-06,0.048741319654976856,-0.0019368719676360335
NR_both,B0,NR_both_minus_B0,1,test_like,23317,0.011901085508451648,3.302522794528585,0.0032699093341189917,-0.0004580162873978451,0.011906475211728657,-5.389703277009286e-06,-0.04526699280152924,0.0029919368978217342
NR_both,B0,NR_both_minus_B0,1,not_test_like,10860,0.008086870933192202,0.7102166489825827,0.003113843294630971,0.0005697350286962922,0.008091243655922791,-4.372722730589668e-06,-0.05404265297818123,0.0007682625661048492
NR_both,B0,NR_both_minus_B0,1,all_except_Forest,34034,0.008976870483862205,2.7426027881824973,0.003090638376865726,-2.3329112886401307e-05,0.008981369097641946,-4.498613779740923e-06,-0.050088285325256,0.0027495110216593233
