case,reference,pair,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
N_only,B0,N_only_minus_B0,1,18009,Blackford County,IN,0,143,0.005899043314966895,0.004976215820555353,0.003199492035193597,0.001158081120656215,0.005878362949702138,2.068036526475716e-05,0.35180483821273256,-3.4829232069745475e-05
N_only,B0,N_only_minus_B0,1,18013,Brown County,IN,1,143,0.02874540649201352,0.11816067039792633,0.01297242879413538,-0.008830164992437377,0.028703057474194202,4.234901781931949e-05,0.147541835420828,-0.00034790270146026203
N_only,B0,N_only_minus_B0,1,18023,Clinton County,IN,3,143,0.0018125385150402156,0.00046979730919609916,0.0007534641721288877,0.0007073103259750415,0.0018204336337540904,-7.895118713874836e-06,-0.4336943993719533,4.101632735047252e-06
N_only,B0,N_only_minus_B0,1,18025,Crawford County,IN,2,143,0.011884857530211587,0.020198726907420066,0.0021384049927649774,-0.001490514623977095,0.01184989873863019,3.4958791581397516e-05,0.2950134203884236,-0.00011865259086218591
N_only,B0,N_only_minus_B0,1,18027,Daviess County,IN,2,143,0.0042810984365430505,0.0026208759467421026,0.001726666336554991,0.001722470532359187,0.004307063902533763,-2.5965465990712353e-05,-0.6028576909536287,3.188837611073662e-05
N_only,B0,N_only_minus_B0,1,18029,Dearborn County,IN,1,143,0.0013598267481094428,0.000264425416236968,0.00042819466468432935,-4.908902081702752e-05,0.0013474293754659344,1.2397372643508427e-05,0.9200758770174122,-4.799489409769919e-06
N_only,B0,N_only_minus_B0,1,18033,DeKalb County,IN,1,143,0.0033185986861449953,0.0015748729052747104,0.0013045962172250497,-0.000994381349018237,0.0033225441643735306,-3.945478228535321e-06,-0.11874870681453098,3.7469552876918336e-06
N_only,B0,N_only_minus_B0,1,18035,Delaware County,IN,1,143,0.001910123986479765,0.000521746031052725,0.0008810381677731142,-0.0004729717240240612,0.0019128299496315709,-2.705963151805905e-06,-0.14146386365013752,1.4793024649500898e-06
N_only,B0,N_only_minus_B0,1,18037,Dubois County,IN,3,143,0.002291527987774664,0.000750907374181908,0.0009071504672734202,0.0005561015162244691,0.0023683682249262005,-7.684023715153658e-05,-3.244437935909694,5.12036568022236e-05
N_only,B0,N_only_minus_B0,1,18039,Elkhart County,IN,4,143,0.0015752587913089168,0.00035484595712223223,0.0011203542173758919,0.001065423982118174,0.0015757974308356377,-5.38639526720874e-07,-0.03418202848796126,2.4271153079984424e-07
