case,reference,pair,horizon,n,old_error_cross_reduction,change_squared_reduction,N_R_change_interaction,latent_sse_reduction,postprocess_remainder,OSI_sse_reduction
N_only,B0,N_only_minus_B0,1,34177,0.0044403812905729366,-0.00038645314416271425,-0.0,0.0040539281464102225,-6.813890245925872e-05,0.003985789243950964
R_only,B0,R_only_minus_B0,1,34177,-0.00020093007099868283,-3.917042702225903e-05,-0.0,-0.00024010049802094185,-0.000252018194690674,-0.0004921186927116159
NR_both,B0,NR_both_minus_B0,1,34177,0.004239451219574253,-0.0004116939123670115,1.3929658817961796e-05,0.003827757307207241,-6.755784328109983e-05,0.0037601994639261415
N_only,B0,N_only_minus_B0,6,32982,0.001816945442638785,-0.0001663091235951292,-0.0,0.0016506363190436557,-7.227817900851537e-05,0.0015783581400351404
R_only,B0,R_only_minus_B0,6,32982,-0.00082769919162189,-2.0096763772101275e-05,-0.0,-0.0008477959553939913,-0.00025022397236566514,-0.0010980199277596564
NR_both,B0,NR_both_minus_B0,6,32982,0.0009892462510168948,-0.00017340469639121162,1.3001190976018853e-05,0.0008158415546256831,-7.196064426401115e-05,0.000743880910361672
