component,group,n,true_mean,q_mean,raw_m_mean,clipped_m_mean,product_mean,conditional_m_rmse,raw_m_below_zero,raw_m_above_one
N_t,all,34177,0.0005961351439272024,0.3915381523785561,0.001092478547445287,0.0011456628678678672,0.0005714604363156754,0.004451040812439663,5535,0
N_t,zero,20721,0.0,0.305183796784625,0.0008591517240924876,0.0009244189738939301,0.0003498046304359294,0.0017608847299156831,3903,0
N_t,small_positive,13030,0.0006740302641596316,0.5201317775906092,0.0013452958374449515,0.0013803129424678907,0.0008311917413279106,0.0022599180247670336,1613,0
N_t,tail_gt_001,426,0.02721008561502347,0.6586124851222026,0.004708806758707558,0.00472994515659003,0.003408622523932558,0.03581084738334897,19,0
N_t,positive,13456,0.0015141283304102259,0.5245159022493829,0.0014517803538285625,0.0014863580764762165,0.0009127899513003822,0.00674872137876946,1632,0
R_t,all,34177,0.0009025169805717296,0.4960615910509749,0.0014000102005215142,0.0014251357896312813,0.0009008639143945658,0.004218519736015275,3568,0
R_t,zero,17299,0.0,0.3203038416883093,0.0009907862107722315,0.001029273030730233,0.0004182098143235293,0.001859302795215115,2531,0
R_t,small_positive,16219,0.0009297921695542265,0.6715470801518685,0.0016342532622723644,0.0016460807579747765,0.0012301944131676385,0.002295773696752131,1034,0
R_t,tail_gt_001,659,0.023922645898330805,0.7908023474961333,0.006377214419240498,0.006378889089579828,0.005465388827184242,0.026504058884217464,3,0
R_t,positive,16878,0.0018275460863253939,0.676203391396084,0.0018194417563144306,0.00183087283585887,0.001395557200158807,0.005700217198089053,1037,0
