case,reference,pair,horizon,target_day,target_date,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
R_only,B0,R_only_minus_B0,1,7,2026-03-18,5736,0.005378315071409978,0.1659211019701924,0.0007268360562462319,-0.000124609125579863,0.005377927149484894,3.879219250832802e-07,0.007213223874180663,-2.3933931436098677e-05
R_only,B0,R_only_minus_B0,1,8,2026-03-19,5736,0.0010114332335279842,0.005867911858235636,0.0002594701410651245,-4.8830077728840466e-05,0.0010108577397005534,5.754938274308251e-07,0.05693123817811507,-6.675648417467546e-06
NR_both,B0,NR_both_minus_B0,1,3,2026-03-14,5497,0.019190444390059763,2.0243975379162054,0.006030264862641172,-0.00034039717352909066,0.01921742834940514,-2.698395934537523e-05,-0.14041399741298033,0.00569707143156295
NR_both,B0,NR_both_minus_B0,1,4,2026-03-15,5736,0.01038761060312148,0.6189284763853813,0.004644555073743822,8.391119464681851e-05,0.010384723674960768,2.886928160712038e-06,0.027799759060243012,-0.0003439778062340748
NR_both,B0,NR_both_minus_B0,1,5,2026-03-16,5736,0.00990971657928411,0.5632894406624511,0.004333459827011553,0.00014534017955309102,0.009898544992165671,1.1171587118437992e-05,0.11286090154947193,-0.0012693178328316845
NR_both,B0,NR_both_minus_B0,1,6,2026-03-17,5736,0.010516994612809754,0.6344427597341468,0.0034520641696689004,-0.000505098788211391,0.010513672508605078,3.322104204676185e-06,0.03159794260243487,-0.00040075176416198843
NR_both,B0,NR_both_minus_B0,1,7,2026-03-18,5736,0.005376744453772601,0.16582420896385652,0.0007208338534066335,-0.00013025283698127574,0.005377927149484894,-1.1826957122930762e-06,-0.021991664807252675,7.295907489976439e-05
NR_both,B0,NR_both_minus_B0,1,8,2026-03-19,5736,0.0010104940870964722,0.005857019849126566,0.0002578123504728479,-5.0852346413869405e-05,0.0010108577397005534,-3.6365260408120423e-07,-0.035974656947168615,4.216360691602916e-06
NR_both,N_only,NR_both_minus_N_only,1,3,2026-03-14,5497,0.019190444390059763,2.0243975379162054,0.006030264862641172,-0.00034039717352909066,0.019193817414617547,-3.373024557783849e-06,-0.01757349507355288,0.0007117024041742859
NR_both,N_only,NR_both_minus_N_only,1,4,2026-03-15,5736,0.01038761060312148,0.6189284763853813,0.004644555073743822,8.391119464681851e-05,0.010384313457289608,3.2971458318719477e-06,0.03175121634602096,-0.0003928475284259436
NR_both,N_only,NR_both_minus_N_only,1,5,2026-03-16,5736,0.00990971657928411,0.5632894406624511,0.004333459827011553,0.00014534017955309102,0.009907905921806447,1.8106574776622503e-06,0.01827487555849938,-0.00020582446566441703
NR_both,N_only,NR_both_minus_N_only,1,6,2026-03-17,5736,0.010516994612809754,0.6344427597341468,0.0034520641696689004,-0.000505098788211391,0.01051439229956957,2.602313240184645e-06,0.02475001089974338,-0.00031393275198099424
NR_both,N_only,NR_both_minus_N_only,1,7,2026-03-18,5736,0.005376744453772601,0.16582420896385652,0.0007208338534066335,-0.00013025283698127574,0.00537645974041444,2.847133581613051e-07,0.005295554545337033,-1.7561227911161437e-05
NR_both,N_only,NR_both_minus_N_only,1,8,2026-03-19,5736,0.0010104940870964722,0.005857019849126566,0.0002578123504728479,-5.0852346413869405e-05,0.0010098791681479318,6.149189485404362e-07,0.06089034885907729,-7.126210216031742e-06
NR_both,R_only,NR_both_minus_R_only,1,3,2026-03-14,5497,0.019190444390059763,2.0243975379162054,0.006030264862641172,-0.00034039717352909066,0.019214083451807917,-2.363906174815411e-05,-0.12302986924900283,0.004990434986829051
NR_both,R_only,NR_both_minus_R_only,1,4,2026-03-15,5736,0.01038761060312148,0.6189284763853813,0.004644555073743822,8.391119464681851e-05,0.0103880638047914,-4.5320166991956456e-07,-0.004362715501526893,5.4007711443482265e-05
NR_both,R_only,NR_both_minus_R_only,1,5,2026-03-16,5736,0.00990971657928411,0.5632894406624511,0.004333459827011553,0.00014534017955309102,0.009902611094921151,7.105484362958034e-06,0.07175364451708077,-0.0008074921941936264
NR_both,R_only,NR_both_minus_R_only,1,6,2026-03-17,5736,0.010516994612809754,0.6344427597341468,0.0034520641696689004,-0.000505098788211391,0.010516228595473572,7.660173361821038e-07,0.007284144969155193,-9.24173628858993e-05
NR_both,R_only,NR_both_minus_R_only,1,7,2026-03-18,5736,0.005376744453772601,0.16582420896385652,0.0007208338534066335,-0.00013025283698127574,0.005378315071409978,-1.5706176373763564e-06,-0.029202782219384105,9.689300633586306e-05
NR_both,R_only,NR_both_minus_R_only,1,8,2026-03-19,5736,0.0010104940870964722,0.005857019849126566,0.0002578123504728479,-5.0852346413869405e-05,0.0010114332335279842,-9.391464315120293e-07,-0.09285303274405576,1.0892009109070462e-05
N_only,B0,N_only_minus_B0,6,3,2026-03-14,4302,0.017042512022273,1.2495039233581335,0.005860284275548224,-0.00026029304229806044,0.017060083755936113,-1.7571733663113848e-05,-0.10299910548211555,0.0025779379234729394
N_only,B0,N_only_minus_B0,6,4,2026-03-15,5736,0.010384313457289608,0.6185356288569553,0.004641722924251927,8.085447575465115e-05,0.010384723674960768,-4.102176711599098e-07,-0.003950203048241896,4.88697221918688e-05
N_only,B0,N_only_minus_B0,6,5,2026-03-16,5736,0.009907905921806447,0.5630836161967867,0.004331585826871983,0.00014304392219017118,0.009898544992165671,9.360929640775742e-06,0.09456874367075319,-0.0010634933671672675
N_only,B0,N_only_minus_B0,6,6,2026-03-17,5736,0.01051439229956957,0.6341288269821658,0.0034499991751391137,-0.0005063774227247737,0.010513672508605078,7.197909644915401e-07,0.006846237258217869,-8.681901218099419e-05
N_only,B0,N_only_minus_B0,6,7,2026-03-18,5736,0.00537645974041444,0.16580664773594536,0.0007195660734011958,-0.00013093316931978613,0.005377927149484894,-1.4674090704543813e-06,-0.027285774419516517,9.052030281092582e-05
N_only,B0,N_only_minus_B0,6,8,2026-03-19,5736,0.0010098791681479318,0.005849893638910534,0.0002567772890066118,-5.203374063393059e-05,0.0010108577397005534,-9.785715526216404e-07,-0.09680606025843641,1.1342570907634658e-05
R_only,B0,R_only_minus_B0,6,3,2026-03-14,4302,0.0170593974646739,1.2519811260719211,0.005875869784127274,-0.00024342511086567162,0.017060083755936113,-6.862912622120076e-07,-0.004022789524538162,0.00010073520968534311
R_only,B0,R_only_minus_B0,6,4,2026-03-15,5736,0.0103880638047914,0.6189824840968248,0.0046533370480716235,9.645401097729257e-05,0.010384723674960768,3.3401298306316024e-06,0.032163877780244654,-0.0003979855176775571
R_only,B0,R_only_minus_B0,6,5,2026-03-16,5736,0.009902611094921151,0.5624819484682575,0.0043350852739169506,0.00015121533853018368,0.009898544992165671,4.066102755479958e-06,0.041077782226550674,-0.00046182563863805814
R_only,B0,R_only_minus_B0,6,6,2026-03-17,5736,0.010516228595473572,0.6343503423712609,0.003455910778354326,-0.0005032268632632645,0.010513672508605078,2.5560868684940813e-06,0.024312026710004986,-0.00030833440127608913
R_only,B0,R_only_minus_B0,6,7,2026-03-18,5736,0.005378315071409978,0.1659211019701924,0.0007268360562462319,-0.000124609125579863,0.005377927149484894,3.879219250832802e-07,0.007213223874180663,-2.3933931436098677e-05
R_only,B0,R_only_minus_B0,6,8,2026-03-19,5736,0.0010114332335279842,0.005867911858235636,0.0002594701410651245,-4.8830077728840466e-05,0.0010108577397005534,5.754938274308251e-07,0.05693123817811507,-6.675648417467546e-06
NR_both,B0,NR_both_minus_B0,6,3,2026-03-14,4302,0.017041810839542565,1.2494011084036085,0.005860770215619165,-0.0002592243487084882,0.017060083755936113,-1.8272916393547584e-05,-0.10710918337191178,0.0026807528779979606
NR_both,B0,NR_both_minus_B0,6,4,2026-03-15,5736,0.01038761060312148,0.6189284763853813,0.004644555073743822,8.391119464681851e-05,0.010384723674960768,2.886928160712038e-06,0.027799759060243012,-0.0003439778062340748
NR_both,B0,NR_both_minus_B0,6,5,2026-03-16,5736,0.00990971657928411,0.5632894406624511,0.004333459827011553,0.00014534017955309102,0.009898544992165671,1.1171587118437992e-05,0.11286090154947193,-0.0012693178328316845
NR_both,B0,NR_both_minus_B0,6,6,2026-03-17,5736,0.010516994612809754,0.6344427597341468,0.0034520641696689004,-0.000505098788211391,0.010513672508605078,3.322104204676185e-06,0.03159794260243487,-0.00040075176416198843
NR_both,B0,NR_both_minus_B0,6,7,2026-03-18,5736,0.005376744453772601,0.16582420896385652,0.0007208338534066335,-0.00013025283698127574,0.005377927149484894,-1.1826957122930762e-06,-0.021991664807252675,7.295907489976439e-05
NR_both,B0,NR_both_minus_B0,6,8,2026-03-19,5736,0.0010104940870964722,0.005857019849126566,0.0002578123504728479,-5.0852346413869405e-05,0.0010108577397005534,-3.6365260408120423e-07,-0.035974656947168615,4.216360691602916e-06
NR_both,N_only,NR_both_minus_N_only,6,3,2026-03-14,4302,0.017041810839542565,1.2494011084036085,0.005860770215619165,-0.0002592243487084882,0.017042512022273,-7.011827304337359e-07,-0.004114315598058305,0.00010281495452502121
NR_both,N_only,NR_both_minus_N_only,6,4,2026-03-15,5736,0.01038761060312148,0.6189284763853813,0.004644555073743822,8.391119464681851e-05,0.010384313457289608,3.2971458318719477e-06,0.03175121634602096,-0.0003928475284259436
NR_both,N_only,NR_both_minus_N_only,6,5,2026-03-16,5736,0.00990971657928411,0.5632894406624511,0.004333459827011553,0.00014534017955309102,0.009907905921806447,1.8106574776622503e-06,0.01827487555849938,-0.00020582446566441703
NR_both,N_only,NR_both_minus_N_only,6,6,2026-03-17,5736,0.010516994612809754,0.6344427597341468,0.0034520641696689004,-0.000505098788211391,0.01051439229956957,2.602313240184645e-06,0.02475001089974338,-0.00031393275198099424
NR_both,N_only,NR_both_minus_N_only,6,7,2026-03-18,5736,0.005376744453772601,0.16582420896385652,0.0007208338534066335,-0.00013025283698127574,0.00537645974041444,2.847133581613051e-07,0.005295554545337033,-1.7561227911161437e-05
NR_both,N_only,NR_both_minus_N_only,6,8,2026-03-19,5736,0.0010104940870964722,0.005857019849126566,0.0002578123504728479,-5.0852346413869405e-05,0.0010098791681479318,6.149189485404362e-07,0.06089034885907729,-7.126210216031742e-06
NR_both,R_only,NR_both_minus_R_only,6,3,2026-03-14,4302,0.017041810839542565,1.2494011084036085,0.005860770215619165,-0.0002592243487084882,0.0170593974646739,-1.7586625131335576e-05,-0.10309054096285797,0.0025800176683126175
NR_both,R_only,NR_both_minus_R_only,6,4,2026-03-15,5736,0.01038761060312148,0.6189284763853813,0.004644555073743822,8.391119464681851e-05,0.0103880638047914,-4.5320166991956456e-07,-0.004362715501526893,5.4007711443482265e-05
NR_both,R_only,NR_both_minus_R_only,6,5,2026-03-16,5736,0.00990971657928411,0.5632894406624511,0.004333459827011553,0.00014534017955309102,0.009902611094921151,7.105484362958034e-06,0.07175364451708077,-0.0008074921941936264
NR_both,R_only,NR_both_minus_R_only,6,6,2026-03-17,5736,0.010516994612809754,0.6344427597341468,0.0034520641696689004,-0.000505098788211391,0.010516228595473572,7.660173361821038e-07,0.007284144969155193,-9.24173628858993e-05
NR_both,R_only,NR_both_minus_R_only,6,7,2026-03-18,5736,0.005376744453772601,0.16582420896385652,0.0007208338534066335,-0.00013025283698127574,0.005378315071409978,-1.5706176373763564e-06,-0.029202782219384105,9.689300633586306e-05
NR_both,R_only,NR_both_minus_R_only,6,8,2026-03-19,5736,0.0010104940870964722,0.005857019849126566,0.0002578123504728479,-5.0852346413869405e-05,0.0010114332335279842,-9.391464315120293e-07,-0.09285303274405576,1.0892009109070462e-05
N_only,B0,N_only_minus_B0,24,4,2026-03-15,5736,0.010777754326160132,0.6662936929752039,0.004935250890730845,0.00010788051003225794,0.010777754326160132,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,24,5,2026-03-16,5736,0.010209189414173014,0.5978492181642359,0.004493515115720023,4.346505204396298e-05,0.010209189414173014,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,24,6,2026-03-17,5736,0.010246183725657016,0.6021898354713735,0.0034503431751603158,-0.00046342549376339237,0.010246183725657016,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,24,7,2026-03-18,5736,0.005402451268720121,0.16741364762169741,0.0007354149579483808,-0.00012685646493870565,0.005402451268720121,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,24,8,2026-03-19,5736,0.0010796341022084115,0.006685937782120217,0.0002841754176788,-2.393318574424036e-05,0.0010796341022084115,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,24,4,2026-03-15,5736,0.010777754326160132,0.6662936929752039,0.004935250890730845,0.00010788051003225794,0.010777754326160132,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,24,5,2026-03-16,5736,0.010209189414173014,0.5978492181642359,0.004493515115720023,4.346505204396298e-05,0.010209189414173014,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,24,6,2026-03-17,5736,0.010246183725657016,0.6021898354713735,0.0034503431751603158,-0.00046342549376339237,0.010246183725657016,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,24,7,2026-03-18,5736,0.005402451268720121,0.16741364762169741,0.0007354149579483808,-0.00012685646493870565,0.005402451268720121,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,24,8,2026-03-19,5736,0.0010796341022084115,0.006685937782120217,0.0002841754176788,-2.393318574424036e-05,0.0010796341022084115,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,24,4,2026-03-15,5736,0.010777754326160132,0.6662936929752039,0.004935250890730845,0.00010788051003225794,0.010777754326160132,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,24,5,2026-03-16,5736,0.010209189414173014,0.5978492181642359,0.004493515115720023,4.346505204396298e-05,0.010209189414173014,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,24,6,2026-03-17,5736,0.010246183725657016,0.6021898354713735,0.0034503431751603158,-0.00046342549376339237,0.010246183725657016,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,24,7,2026-03-18,5736,0.005402451268720121,0.16741364762169741,0.0007354149579483808,-0.00012685646493870565,0.005402451268720121,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,24,8,2026-03-19,5736,0.0010796341022084115,0.006685937782120217,0.0002841754176788,-2.393318574424036e-05,0.0010796341022084115,0.0,0.0,0.0
NR_both,N_only,NR_both_minus_N_only,24,4,2026-03-15,5736,0.010777754326160132,0.6662936929752039,0.004935250890730845,0.00010788051003225794,0.010777754326160132,0.0,0.0,0.0
NR_both,N_only,NR_both_minus_N_only,24,5,2026-03-16,5736,0.010209189414173014,0.5978492181642359,0.004493515115720023,4.346505204396298e-05,0.010209189414173014,0.0,0.0,0.0
NR_both,N_only,NR_both_minus_N_only,24,6,2026-03-17,5736,0.010246183725657016,0.6021898354713735,0.0034503431751603158,-0.00046342549376339237,0.010246183725657016,0.0,0.0,0.0
NR_both,N_only,NR_both_minus_N_only,24,7,2026-03-18,5736,0.005402451268720121,0.16741364762169741,0.0007354149579483808,-0.00012685646493870565,0.005402451268720121,0.0,0.0,0.0
NR_both,N_only,NR_both_minus_N_only,24,8,2026-03-19,5736,0.0010796341022084115,0.006685937782120217,0.0002841754176788,-2.393318574424036e-05,0.0010796341022084115,0.0,0.0,0.0
NR_both,R_only,NR_both_minus_R_only,24,4,2026-03-15,5736,0.010777754326160132,0.6662936929752039,0.004935250890730845,0.00010788051003225794,0.010777754326160132,0.0,0.0,0.0
NR_both,R_only,NR_both_minus_R_only,24,5,2026-03-16,5736,0.010209189414173014,0.5978492181642359,0.004493515115720023,4.346505204396298e-05,0.010209189414173014,0.0,0.0,0.0
NR_both,R_only,NR_both_minus_R_only,24,6,2026-03-17,5736,0.010246183725657016,0.6021898354713735,0.0034503431751603158,-0.00046342549376339237,0.010246183725657016,0.0,0.0,0.0
NR_both,R_only,NR_both_minus_R_only,24,7,2026-03-18,5736,0.005402451268720121,0.16741364762169741,0.0007354149579483808,-0.00012685646493870565,0.005402451268720121,0.0,0.0,0.0
NR_both,R_only,NR_both_minus_R_only,24,8,2026-03-19,5736,0.0010796341022084115,0.006685937782120217,0.0002841754176788,-2.393318574424036e-05,0.0010796341022084115,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,48,5,2026-03-16,5736,0.009851380342539039,0.5566770485316992,0.00431227695207857,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,48,6,2026-03-17,5736,0.01043870476426639,0.6250321718440501,0.0035630681108317643,-0.00047227150328336037,0.01043870476426639,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,48,7,2026-03-18,5736,0.005435793609578428,0.1694864800237956,0.0007985047457837364,-5.746291552457216e-05,0.005435793609578428,0.0,0.0,0.0
N_only,B0,N_only_minus_B0,48,8,2026-03-19,5736,0.0010267739314685862,0.0060472623555860704,0.00026616475260204215,-4.5154027933093984e-05,0.0010267739314685862,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,48,5,2026-03-16,5736,0.009851380342539039,0.5566770485316992,0.00431227695207857,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,48,6,2026-03-17,5736,0.01043870476426639,0.6250321718440501,0.0035630681108317643,-0.00047227150328336037,0.01043870476426639,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,48,7,2026-03-18,5736,0.005435793609578428,0.1694864800237956,0.0007985047457837364,-5.746291552457216e-05,0.005435793609578428,0.0,0.0,0.0
R_only,B0,R_only_minus_B0,48,8,2026-03-19,5736,0.0010267739314685862,0.0060472623555860704,0.00026616475260204215,-4.5154027933093984e-05,0.0010267739314685862,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,48,5,2026-03-16,5736,0.009851380342539039,0.5566770485316992,0.00431227695207857,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,48,6,2026-03-17,5736,0.01043870476426639,0.6250321718440501,0.0035630681108317643,-0.00047227150328336037,0.01043870476426639,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,48,7,2026-03-18,5736,0.005435793609578428,0.1694864800237956,0.0007985047457837364,-5.746291552457216e-05,0.005435793609578428,0.0,0.0,0.0
NR_both,B0,NR_both_minus_B0,48,8,2026-03-19,5736,0.0010267739314685862,0.0060472623555860704,0.00026616475260204215,-4.5154027933093984e-05,0.0010267739314685862,0.0,0.0,0.0
NR_both,N_only,NR_both_minus_N_only,48,5,2026-03-16,5736,0.009851380342539039,0.5566770485316992,0.00431227695207857,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
NR_both,N_only,NR_both_minus_N_only,48,6,2026-03-17,5736,0.01043870476426639,0.6250321718440501,0.0035630681108317643,-0.00047227150328336037,0.01043870476426639,0.0,0.0,0.0
NR_both,N_only,NR_both_minus_N_only,48,7,2026-03-18,5736,0.005435793609578428,0.1694864800237956,0.0007985047457837364,-5.746291552457216e-05,0.005435793609578428,0.0,0.0,0.0
NR_both,N_only,NR_both_minus_N_only,48,8,2026-03-19,5736,0.0010267739314685862,0.0060472623555860704,0.00026616475260204215,-4.5154027933093984e-05,0.0010267739314685862,0.0,0.0,0.0
NR_both,R_only,NR_both_minus_R_only,48,5,2026-03-16,5736,0.009851380342539039,0.5566770485316992,0.00431227695207857,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
NR_both,R_only,NR_both_minus_R_only,48,6,2026-03-17,5736,0.01043870476426639,0.6250321718440501,0.0035630681108317643,-0.00047227150328336037,0.01043870476426639,0.0,0.0,0.0
NR_both,R_only,NR_both_minus_R_only,48,7,2026-03-18,5736,0.005435793609578428,0.1694864800237956,0.0007985047457837364,-5.746291552457216e-05,0.005435793609578428,0.0,0.0,0.0
NR_both,R_only,NR_both_minus_R_only,48,8,2026-03-19,5736,0.0010267739314685862,0.0060472623555860704,0.00026616475260204215,-4.5154027933093984e-05,0.0010267739314685862,0.0,0.0,0.0
