case,reference,pair,horizon,target_day,target_date,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
N_only,B0,N_only_minus_B0,1,3,2026-03-14,5497,0.019193817414617547,2.0251092403203796,0.0060303218720077194,-0.0003374129083017956,0.01921742834940514,-2.361093478759138e-05,-0.12286209350338417,0.004985369027388664
N_only,B0,N_only_minus_B0,1,4,2026-03-15,5736,0.010384313457289608,0.6185356288569553,0.004641722924251927,8.085447575465115e-05,0.010384723674960768,-4.102176711599098e-07,-0.003950203048241896,4.88697221918688e-05
N_only,B0,N_only_minus_B0,1,5,2026-03-16,5736,0.009907905921806447,0.5630836161967867,0.004331585826871983,0.00014304392219017118,0.009898544992165671,9.360929640775742e-06,0.09456874367075319,-0.0010634933671672675
N_only,B0,N_only_minus_B0,1,6,2026-03-17,5736,0.01051439229956957,0.6341288269821658,0.0034499991751391137,-0.0005063774227247737,0.010513672508605078,7.197909644915401e-07,0.006846237258217869,-8.681901218099419e-05
N_only,B0,N_only_minus_B0,1,7,2026-03-18,5736,0.00537645974041444,0.16580664773594536,0.0007195660734011958,-0.00013093316931978613,0.005377927149484894,-1.4674090704543813e-06,-0.027285774419516517,9.052030281092582e-05
N_only,B0,N_only_minus_B0,1,8,2026-03-19,5736,0.0010098791681479318,0.005849893638910534,0.0002567772890066118,-5.203374063393059e-05,0.0010108577397005534,-9.785715526216404e-07,-0.09680606025843641,1.1342570907634658e-05
R_only,B0,R_only_minus_B0,1,3,2026-03-14,5497,0.019214083451807917,2.0293879729030344,0.006061115124097013,-0.0003156299805550102,0.01921742834940514,-3.3448975972211192e-06,-0.017405542179760314,0.0007066364447338991
R_only,B0,R_only_minus_B0,1,4,2026-03-15,5736,0.0103880638047914,0.6189824840968248,0.0046533370480716235,9.645401097729257e-05,0.010384723674960768,3.3401298306316024e-06,0.032163877780244654,-0.0003979855176775571
R_only,B0,R_only_minus_B0,1,5,2026-03-16,5736,0.009902611094921151,0.5624819484682575,0.0043350852739169506,0.00015121533853018368,0.009898544992165671,4.066102755479958e-06,0.041077782226550674,-0.00046182563863805814
R_only,B0,R_only_minus_B0,1,6,2026-03-17,5736,0.010516228595473572,0.6343503423712609,0.003455910778354326,-0.0005032268632632645,0.010513672508605078,2.5560868684940813e-06,0.024312026710004986,-0.00030833440127608913
