case,reference,pair,horizon,component,space,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,baseline_group_sse,baseline_group_sse_share
NR_both,B0,NR_both_minus_B0,1,R_t,source,small_positive,16219,0.001957863114177387,0.06217112450797655,0.001087003413067475,0.0003004022436134119,0.002002248769146633,-4.4385654969246024e-05,-2.2167902237324566,0.0028508486580580486,0.0650219731660346,0.11333904671771096
NR_both,B0,NR_both_minus_B0,1,R_t,source,tail_gt_001,659,0.027344627759954974,0.4927531917707997,0.018534171730895735,-0.018457257071146562,0.027211624488338297,0.00013300327161667666,0.48877372857205614,-0.004781809463834608,0.4879713823069651,0.8505772526307355
NR_both,B0,NR_both_minus_B0,1,R_t,source,positive,16878,0.005733982808703058,0.5549243162787763,0.001768226539116108,-0.00043198888616658706,0.005723997893300604,9.9849154024537e-06,0.17443953664169065,-0.0019309608057765937,0.5529933554729997,0.9639162993484464
NR_both,B0,NR_both_minus_B0,1,R_t,aligned,all,34177,0.004081716303857855,0.5694027637094637,0.0010928972408311797,2.200694967387674e-05,0.004074095498397705,7.620805460149815e-06,0.18705515035537523,-0.0021242323062513613,0.5672785314032124,1.0
NR_both,B0,NR_both_minus_B0,1,R_t,aligned,zero,17299,0.0009981239225907484,0.01723415236050456,0.0004536697159003197,0.0004536697159003197,0.0010170348021318763,-1.8910879541127884e-05,-1.859413217865058,0.0006592376250371436,0.017893389985541703,0.03154251217877197
NR_both,B0,NR_both_minus_B0,1,R_t,aligned,small_positive,16219,0.001935756806085691,0.06077509741320846,0.0010702857357567422,0.00030759415822941683,0.001947833918773495,-1.2077112687803844e-05,-0.6200278458755148,0.0007607126663359623,0.06153581007954442,0.1084754783991742
NR_both,B0,NR_both_minus_B0,1,R_t,aligned,tail_gt_001,659,0.027306875018413317,0.4913935139357507,0.01842936606417148,-0.018338043321211618,0.027208221201841274,9.865381657204325e-05,0.3625882627173338,-0.0035441825976244568,0.48784933133812625,0.8599820094220538
NR_both,B0,NR_both_minus_B0,1,R_t,aligned,positive,16878,0.005719727864484349,0.5521686113489591,0.0017480694741395667,-0.00042042308901265224,0.005705293138485206,1.4434725999142549e-05,0.25300586050123197,-0.002783469931288418,0.5493851414176707,0.9684574878212281
NR_both,N_only,NR_both_minus_N_only,1,N_t,source,all,34177,0.004300255340213471,0.6320077823855854,0.0008461984068704749,-2.4674707611527104e-05,0.004300255340213471,0.0,0.0,0.0,0.6320077823855854,1.0
NR_both,N_only,NR_both_minus_N_only,1,N_t,source,zero,20721,0.0008359696432635153,0.014480772310416891,0.0003498046304359294,0.0003498046304359294,0.0008359696432635153,0.0,0.0,0.0,0.014480772310416891,0.022912332275019723
NR_both,N_only,NR_both_minus_N_only,1,N_t,source,small_positive,13030,0.001707970550371841,0.03801063911421549,0.0008840231621364054,0.00015716147716827896,0.001707970550371841,0.0,0.0,0.0,0.03801063911421549,0.06014267572899182
NR_both,N_only,NR_both_minus_N_only,1,N_t,source,tail_gt_001,426,0.036883154257512436,0.5795163709609531,0.023834270896037468,-0.023801463091090914,0.036883154257512436,0.0,0.0,0.0,0.5795163709609531,0.9169449919959886
NR_both,N_only,NR_both_minus_N_only,1,N_t,source,positive,13456,0.0067743867947106205,0.6175270100751686,0.001610599078801228,-0.0006013383791098435,0.0067743867947106205,0.0,0.0,0.0,0.6175270100751686,0.9770876677249805
NR_both,N_only,NR_both_minus_N_only,1,N_t,aligned,all,34177,0.0042825220301692495,0.626806007026271,0.0008661645514572579,1.8182135500239928e-05,0.0042825220301692495,0.0,0.0,0.0,0.626806007026271,1.0
NR_both,N_only,NR_both_minus_N_only,1,N_t,aligned,zero,20721,0.0008408680533953681,0.014650971263420595,0.00039039514215149834,0.00039039514215149834,0.0008408680533953681,0.0,0.0,0.0,0.014650971263420595,0.023374012213010806
NR_both,N_only,NR_both_minus_N_only,1,N_t,aligned,small_positive,13030,0.0016841385950047715,0.036957286177615935,0.0008781905282833275,0.00019942911674967768,0.0016841385950047715,0.0,0.0,0.0,0.036957286177615935,0.058961282698854166
NR_both,N_only,NR_both_minus_N_only,1,N_t,aligned,tail_gt_001,426,0.03674546855219387,0.5751977495852345,0.023640153875825697,-0.02363034809102769,0.03674546855219387,0.0,0.0,0.0,0.5751977495852345,0.9176647050881351
NR_both,N_only,NR_both_minus_N_only,1,N_t,aligned,positive,13456,0.006744856651017885,0.6121550357628505,0.0015988055985904806,-0.000554991594495355,0.006744856651017885,0.0,0.0,0.0,0.6121550357628505,0.9766259877869893
NR_both,N_only,NR_both_minus_N_only,1,R_t,source,all,34177,0.00409146613961012,0.5721262326789576,0.0010849032713574744,-1.6530661771636583e-06,0.00409706944522019,-5.6033056100700945e-06,-0.13676374503749367,0.0015681387584715045,0.5736943714374291,1.0
NR_both,N_only,NR_both_minus_N_only,1,R_t,source,zero,17299,0.0009971900053780641,0.017201916400181302,0.0004182098143235293,0.0004182098143235293,0.0010939194162530494,-9.672941087498534e-05,-8.842462199483393,0.0034990995642480774,0.02070101596442938,0.03608370065155358
NR_both,N_only,NR_both_minus_N_only,1,R_t,source,small_positive,16219,0.001957863114177387,0.06217112450797655,0.001087003413067475,0.0003004022436134119,0.002002248769146633,-4.4385654969246024e-05,-2.2167902237324566,0.0028508486580580486,0.0650219731660346,0.11333904671771096
NR_both,N_only,NR_both_minus_N_only,1,R_t,source,tail_gt_001,659,0.027344627759954974,0.4927531917707997,0.018534171730895735,-0.018457257071146562,0.027211624488338297,0.00013300327161667666,0.48877372857205614,-0.004781809463834608,0.4879713823069651,0.8505772526307355
NR_both,N_only,NR_both_minus_N_only,1,R_t,source,positive,16878,0.005733982808703058,0.5549243162787763,0.001768226539116108,-0.00043198888616658706,0.005723997893300604,9.9849154024537e-06,0.17443953664169065,-0.0019309608057765937,0.5529933554729997,0.9639162993484464
NR_both,N_only,NR_both_minus_N_only,1,R_t,aligned,all,34177,0.004081716303857855,0.5694027637094637,0.0010928972408311797,2.200694967387674e-05,0.004074095498397705,7.620805460149815e-06,0.18705515035537523,-0.0021242323062513613,0.5672785314032124,1.0
NR_both,N_only,NR_both_minus_N_only,1,R_t,aligned,zero,17299,0.0009981239225907484,0.01723415236050456,0.0004536697159003197,0.0004536697159003197,0.0010170348021318763,-1.8910879541127884e-05,-1.859413217865058,0.0006592376250371436,0.017893389985541703,0.03154251217877197
NR_both,N_only,NR_both_minus_N_only,1,R_t,aligned,small_positive,16219,0.001935756806085691,0.06077509741320846,0.0010702857357567422,0.00030759415822941683,0.001947833918773495,-1.2077112687803844e-05,-0.6200278458755148,0.0007607126663359623,0.06153581007954442,0.1084754783991742
NR_both,N_only,NR_both_minus_N_only,1,R_t,aligned,tail_gt_001,659,0.027306875018413317,0.4913935139357507,0.01842936606417148,-0.018338043321211618,0.027208221201841274,9.865381657204325e-05,0.3625882627173338,-0.0035441825976244568,0.48784933133812625,0.8599820094220538
NR_both,N_only,NR_both_minus_N_only,1,R_t,aligned,positive,16878,0.005719727864484349,0.5521686113489591,0.0017480694741395667,-0.00042042308901265224,0.005705293138485206,1.4434725999142549e-05,0.25300586050123197,-0.002783469931288418,0.5493851414176707,0.9684574878212281
NR_both,R_only,NR_both_minus_R_only,1,N_t,source,all,34177,0.004300255340213471,0.6320077823855854,0.0008461984068704749,-2.4674707611527104e-05,0.00429948761942347,7.67720790001078e-07,0.01785609956248546,-0.00022564343925668418,0.6317821389463287,1.0
NR_both,R_only,NR_both_minus_R_only,1,N_t,source,zero,20721,0.0008359696432635153,0.014480772310416891,0.0003498046304359294,0.0003498046304359294,0.0009670371267858831,-0.00013106748352236788,-13.553511017513209,0.004896694721332867,0.019377467031749758,0.030671121953632686
NR_both,R_only,NR_both_minus_R_only,1,N_t,source,small_positive,13030,0.001707970550371841,0.03801063911421549,0.0008840231621364054,0.00015716147716827896,0.0018696886487354846,-0.00016171809836364355,-8.649466769401283,0.007538796316815012,0.0455494354310305,0.07209674446795342
NR_both,R_only,NR_both_minus_R_only,1,N_t,source,tail_gt_001,426,0.036883154257512436,0.5795163709609531,0.023834270896037468,-0.023801463091090914,0.036478022082231984,0.00040513217528045237,1.1106199079740975,-0.012661134477404579,0.5668552364835485,0.897232133578414
NR_both,R_only,NR_both_minus_R_only,1,N_t,source,positive,13456,0.0067743867947106205,0.6175270100751686,0.001610599078801228,-0.0006013383791098435,0.006746231783407624,2.8155011302996927e-05,0.4173442627963597,-0.005122338160589601,0.612404671914579,0.9693288780463674
NR_both,R_only,NR_both_minus_R_only,1,N_t,aligned,all,34177,0.0042825220301692495,0.626806007026271,0.0008661645514572579,1.8182135500239928e-05,0.00428668099364763,-4.158963478380177e-06,-0.09702059669342011,0.0012180341855333454,0.6280240412118043,1.0
NR_both,R_only,NR_both_minus_R_only,1,N_t,aligned,zero,20721,0.0008408680533953681,0.014650971263420595,0.00039039514215149834,0.00039039514215149834,0.0009012984877851892,-6.0430434389821086e-05,-6.704819236779169,0.002181504411361253,0.016832475674781848,0.0268022791648274
NR_both,R_only,NR_both_minus_R_only,1,N_t,aligned,small_positive,13030,0.0016841385950047715,0.036957286177615935,0.0008781905282833275,0.00019942911674967768,0.001762232149045845,-7.809355404107344e-05,-4.431513412313858,0.003506885599497571,0.040464171777113506,0.0644309279928772
NR_both,R_only,NR_both_minus_R_only,1,N_t,aligned,tail_gt_001,426,0.03674546855219387,0.5751977495852345,0.023640153875825697,-0.02363034809102769,0.03660239973148035,0.00014306882071352112,0.390872789115182,-0.004470355825325623,0.5707273937599089,0.9087667928422952
NR_both,R_only,NR_both_minus_R_only,1,N_t,aligned,positive,13456,0.006744856651017885,0.6121550357628505,0.0015988055985904806,-0.000554991594495355,0.006739546699144178,5.3099518737068085e-06,0.07878796765932172,-0.0009634702258279892,0.6111915655370225,0.9731977208351726
NR_both,R_only,NR_both_minus_R_only,1,R_t,source,all,34177,0.00409146613961012,0.5721262326789576,0.0010849032713574744,-1.6530661771636583e-06,0.00409146613961012,0.0,0.0,0.0,0.5721262326789576,1.0
NR_both,R_only,NR_both_minus_R_only,1,R_t,source,zero,17299,0.0009971900053780641,0.017201916400181302,0.0004182098143235293,0.0004182098143235293,0.0009971900053780641,0.0,0.0,0.0,0.017201916400181302,0.0300666451171694
NR_both,R_only,NR_both_minus_R_only,1,R_t,source,small_positive,16219,0.001957863114177387,0.06217112450797655,0.001087003413067475,0.0003004022436134119,0.001957863114177387,0.0,0.0,0.0,0.06217112450797655,0.10866679581683017
NR_both,R_only,NR_both_minus_R_only,1,R_t,source,tail_gt_001,659,0.027344627759954974,0.4927531917707997,0.018534171730895735,-0.018457257071146562,0.027344627759954974,0.0,0.0,0.0,0.4927531917707997,0.8612665590660004
NR_both,R_only,NR_both_minus_R_only,1,R_t,source,positive,16878,0.005733982808703058,0.5549243162787763,0.001768226539116108,-0.00043198888616658706,0.005733982808703058,0.0,0.0,0.0,0.5549243162787763,0.9699333548828306
NR_both,R_only,NR_both_minus_R_only,1,R_t,aligned,all,34177,0.004081716303857855,0.5694027637094637,0.0010928972408311797,2.200694967387674e-05,0.004081716303857855,0.0,0.0,0.0,0.5694027637094637,1.0
NR_both,R_only,NR_both_minus_R_only,1,R_t,aligned,zero,17299,0.0009981239225907484,0.01723415236050456,0.0004536697159003197,0.0004536697159003197,0.0009981239225907484,0.0,0.0,0.0,0.01723415236050456,0.030267068337058934
NR_both,R_only,NR_both_minus_R_only,1,R_t,aligned,small_positive,16219,0.001935756806085691,0.06077509741320846,0.0010702857357567422,0.00030759415822941683,0.001935756806085691,0.0,0.0,0.0,0.06077509741320846,0.10673481283666335
NR_both,R_only,NR_both_minus_R_only,1,R_t,aligned,tail_gt_001,659,0.027306875018413317,0.4913935139357507,0.01842936606417148,-0.018338043321211618,0.027306875018413317,0.0,0.0,0.0,0.4913935139357507,0.8629981188262776
NR_both,R_only,NR_both_minus_R_only,1,R_t,aligned,positive,16878,0.005719727864484349,0.5521686113489591,0.0017480694741395667,-0.00042042308901265224,0.005719727864484349,0.0,0.0,0.0,0.5521686113489591,0.969732931662941
N_only,B0,N_only_minus_B0,6,N_t,source,all,32982,0.003764674357115683,0.46744639958483236,0.0008692645215085704,6.758078480495541e-05,0.003764674357115683,0.0,0.0,0.0,0.46744639958483236,1.0
N_only,B0,N_only_minus_B0,6,N_t,source,zero,19976,0.0009587810341503486,0.018363159163213523,0.00041062115704908994,0.00041062115704908994,0.0009587810341503486,0.0,0.0,0.0,0.018363159163213523,0.03928398887984369
N_only,B0,N_only_minus_B0,6,N_t,source,small_positive,12608,0.0017888429756138227,0.04034508548520796,0.0009237866176765105,0.0002241014022643355,0.0017888429756138227,0.0,0.0,0.0,0.04034508548520796,0.08630954377023951
N_only,B0,N_only_minus_B0,6,N_t,source,tail_gt_001,398,0.032046533178878366,0.40873815493641086,0.02216184055155177,-0.022108264493779707,0.032046533178878366,0.0,0.0,0.0,0.40873815493641086,0.8744064673499168
N_only,B0,N_only_minus_B0,6,N_t,source,positive,13006,0.005876132079813036,0.44908324042161873,0.0015736978483148587,-0.00045929715429613886,0.005876132079813036,0.0,0.0,0.0,0.44908324042161873,0.9607160111201561
N_only,B0,N_only_minus_B0,6,N_t,aligned,all,32982,0.003713871978503745,0.4549156161882968,0.0008266410243317067,3.293693170912604e-05,0.0037119168268373607,1.9551516663844117e-06,0.05267229190719647,-0.0004788505969999246,0.45443676559129687,1.0
N_only,B0,N_only_minus_B0,6,N_t,aligned,zero,19976,0.0008038381672980892,0.012907608244922094,0.00038113574785655685,0.00038113574785655685,0.0008318570261473629,-2.8018858849273697e-05,-3.368230112696091,0.0009155063274057761,0.01382311457232787,0.030418125510469487
N_only,B0,N_only_minus_B0,6,N_t,aligned,small_positive,12608,0.0016363454019682397,0.033759512069433104,0.0008582330966166044,0.0001823195273879665,0.001682809526564403,-4.6464124596163215e-05,-2.761104204765441,0.0019444262877569285,0.03570393835719003,0.07856745109681727
N_only,B0,N_only_minus_B0,6,N_t,aligned,tail_gt_001,398,0.03202733191561574,0.4082484958739415,0.02218619015875281,-0.022175694519747904,0.03189609830512028,0.00013123361049546117,0.41144095193108576,-0.003338783212162577,0.40490971266177894,0.8910144233927132
N_only,B0,N_only_minus_B0,6,N_t,aligned,positive,13006,0.005829659564935136,0.4420080079433746,0.0015108954763436698,-0.0005018638949371201,0.005820457189864402,9.202375070733841e-06,0.1581039902974979,-0.0013943569244055931,0.440613651018969,0.9695818744895305
N_only,B0,N_only_minus_B0,6,R_t,source,all,32982,0.004078992384064513,0.5487604154658112,0.0010904266014636432,3.9783947058286925e-05,0.004078992384064513,0.0,0.0,0.0,0.5487604154658112,1.0
N_only,B0,N_only_minus_B0,6,R_t,source,zero,16746,0.0010592140156236499,0.01878791230514385,0.000457068682536385,0.000457068682536385,0.0010592140156236499,0.0,0.0,0.0,0.01878791230514385,0.03423700357321851
N_only,B0,N_only_minus_B0,6,R_t,source,small_positive,15634,0.002025469737632449,0.06413891740618605,0.0010966044434944618,0.00030337908461994364,0.002025469737632449,0.0,0.0,0.0,0.06413891740618605,0.11687963562703808
