case,reference,pair,horizon,component,space,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,baseline_group_sse,baseline_group_sse_share
N_only,B0,N_only_minus_B0,1,N_t,source,all,34177,0.004300255340213471,0.6320077823855854,0.0008461984068704749,-2.4674707611527104e-05,0.00429948761942347,7.67720790001078e-07,0.01785609956248546,-0.00022564343925668418,0.6317821389463287,1.0
N_only,B0,N_only_minus_B0,1,N_t,source,zero,20721,0.0008359696432635153,0.014480772310416891,0.0003498046304359294,0.0003498046304359294,0.0009670371267858831,-0.00013106748352236788,-13.553511017513209,0.004896694721332867,0.019377467031749758,0.030671121953632686
N_only,B0,N_only_minus_B0,1,N_t,source,small_positive,13030,0.001707970550371841,0.03801063911421549,0.0008840231621364054,0.00015716147716827896,0.0018696886487354846,-0.00016171809836364355,-8.649466769401283,0.007538796316815012,0.0455494354310305,0.07209674446795342
N_only,B0,N_only_minus_B0,1,N_t,source,tail_gt_001,426,0.036883154257512436,0.5795163709609531,0.023834270896037468,-0.023801463091090914,0.036478022082231984,0.00040513217528045237,1.1106199079740975,-0.012661134477404579,0.5668552364835485,0.897232133578414
N_only,B0,N_only_minus_B0,1,N_t,source,positive,13456,0.0067743867947106205,0.6175270100751686,0.001610599078801228,-0.0006013383791098435,0.006746231783407624,2.8155011302996927e-05,0.4173442627963597,-0.005122338160589601,0.612404671914579,0.9693288780463674
N_only,B0,N_only_minus_B0,1,N_t,aligned,all,34177,0.0042825220301692495,0.626806007026271,0.0008661645514572579,1.8182135500239928e-05,0.00428668099364763,-4.158963478380177e-06,-0.09702059669342011,0.0012180341855333454,0.6280240412118043,1.0
N_only,B0,N_only_minus_B0,1,N_t,aligned,zero,20721,0.0008408680533953681,0.014650971263420595,0.00039039514215149834,0.00039039514215149834,0.0009012984877851892,-6.0430434389821086e-05,-6.704819236779169,0.002181504411361253,0.016832475674781848,0.0268022791648274
N_only,B0,N_only_minus_B0,1,N_t,aligned,small_positive,13030,0.0016841385950047715,0.036957286177615935,0.0008781905282833275,0.00019942911674967768,0.001762232149045845,-7.809355404107344e-05,-4.431513412313858,0.003506885599497571,0.040464171777113506,0.0644309279928772
N_only,B0,N_only_minus_B0,1,N_t,aligned,tail_gt_001,426,0.03674546855219387,0.5751977495852345,0.023640153875825697,-0.02363034809102769,0.03660239973148035,0.00014306882071352112,0.390872789115182,-0.004470355825325623,0.5707273937599089,0.9087667928422952
N_only,B0,N_only_minus_B0,1,N_t,aligned,positive,13456,0.006744856651017885,0.6121550357628505,0.0015988055985904806,-0.000554991594495355,0.006739546699144178,5.3099518737068085e-06,0.07878796765932172,-0.0009634702258279892,0.6111915655370225,0.9731977208351726
N_only,B0,N_only_minus_B0,1,R_t,source,all,34177,0.00409706944522019,0.5736943714374291,0.0011136765897492753,3.3018930859498865e-05,0.00409706944522019,0.0,0.0,0.0,0.5736943714374291,1.0
N_only,B0,N_only_minus_B0,1,R_t,source,zero,17299,0.0010939194162530494,0.02070101596442938,0.0004626570609349703,0.0004626570609349703,0.0010939194162530494,0.0,0.0,0.0,0.02070101596442938,0.03608370065155358
N_only,B0,N_only_minus_B0,1,R_t,source,small_positive,16219,0.002002248769146633,0.0650219731660346,0.0011072133746885598,0.00031733435711001225,0.002002248769146633,0.0,0.0,0.0,0.0650219731660346,0.11333904671771096
N_only,B0,N_only_minus_B0,1,R_t,source,tail_gt_001,659,0.027211624488338297,0.4879713823069651,0.018362255821962336,-0.01824258336129931,0.027211624488338297,0.0,0.0,0.0,0.4879713823069651,0.8505772526307355
N_only,B0,N_only_minus_B0,1,R_t,source,positive,16878,0.005723997893300604,0.5529933554729997,0.0017809349633100444,-0.0004073359697315415,0.005723997893300604,0.0,0.0,0.0,0.5529933554729997,0.9639162993484464
N_only,B0,N_only_minus_B0,1,R_t,aligned,all,34177,0.004074095498397705,0.5672785314032124,0.0010986307079135084,2.8225473129938034e-05,0.004074095498397705,0.0,0.0,0.0,0.5672785314032124,1.0
N_only,B0,N_only_minus_B0,1,R_t,aligned,zero,17299,0.0010170348021318763,0.017893389985541703,0.0004637360206962516,0.0004637360206962516,0.0010170348021318763,0.0,0.0,0.0,0.017893389985541703,0.03154251217877197
N_only,B0,N_only_minus_B0,1,R_t,aligned,small_positive,16219,0.001947833918773495,0.06153581007954442,0.0010750427700639508,0.00030622803065414694,0.001947833918773495,0.0,0.0,0.0,0.06153581007954442,0.1084754783991742
N_only,B0,N_only_minus_B0,1,R_t,aligned,tail_gt_001,659,0.027208221201841274,0.48784933133812625,0.018345392404655984,-0.01824616063132348,0.027208221201841274,0.0,0.0,0.0,0.48784933133812625,0.8599820094220538
N_only,B0,N_only_minus_B0,1,R_t,aligned,positive,16878,0.005705293138485206,0.5493851414176707,0.0017493620264448107,-0.00041814832485262263,0.005705293138485206,0.0,0.0,0.0,0.5493851414176707,0.9684574878212281
R_only,B0,R_only_minus_B0,1,N_t,source,all,34177,0.00429948761942347,0.6317821389463287,0.0008940244744804161,3.6252860896916266e-05,0.00429948761942347,0.0,0.0,0.0,0.6317821389463287,1.0
R_only,B0,R_only_minus_B0,1,N_t,source,zero,20721,0.0009670371267858831,0.019377467031749758,0.00040163144788156967,0.00040163144788156967,0.0009670371267858831,0.0,0.0,0.0,0.019377467031749758,0.030671121953632686
R_only,B0,R_only_minus_B0,1,N_t,source,small_positive,13030,0.0018696886487354846,0.0455494354310305,0.0009408514258137566,0.00021994126705273732,0.0018696886487354846,0.0,0.0,0.0,0.0455494354310305,0.07209674446795342
R_only,B0,R_only_minus_B0,1,N_t,source,tail_gt_001,426,0.036478022082231984,0.5668552364835485,0.023412148249788572,-0.023354520925768223,0.036478022082231984,0.0,0.0,0.0,0.5668552364835485,0.897232133578414
R_only,B0,R_only_minus_B0,1,N_t,source,positive,13456,0.006746231783407624,0.612404671914579,0.001652264360342091,-0.0005263964926189133,0.006746231783407624,0.0,0.0,0.0,0.612404671914579,0.9693288780463674
R_only,B0,R_only_minus_B0,1,N_t,aligned,all,34177,0.00428668099364763,0.6280240412118043,0.0008869276924308727,4.1980378711305704e-05,0.00428668099364763,0.0,0.0,0.0,0.6280240412118043,1.0
R_only,B0,R_only_minus_B0,1,N_t,aligned,zero,20721,0.0009012984877851892,0.016832475674781848,0.0004114788610697481,0.0004114788610697481,0.0009012984877851892,0.0,0.0,0.0,0.016832475674781848,0.0268022791648274
R_only,B0,R_only_minus_B0,1,N_t,aligned,small_positive,13030,0.001762232149045845,0.040464171777113506,0.0009016877178147598,0.0002254170220803979,0.001762232149045845,0.0,0.0,0.0,0.040464171777113506,0.0644309279928772
R_only,B0,R_only_minus_B0,1,N_t,aligned,tail_gt_001,426,0.03660239973148035,0.5707273937599089,0.02356169788933654,-0.023541487968820517,0.03660239973148035,0.0,0.0,0.0,0.5707273937599089,0.9087667928422952
R_only,B0,R_only_minus_B0,1,N_t,aligned,positive,13456,0.006739546699144178,0.6111915655370225,0.0016190750790713202,-0.0005270132340227375,0.006739546699144178,0.0,0.0,0.0,0.6111915655370225,0.9731977208351726
R_only,B0,R_only_minus_B0,1,R_t,source,all,34177,0.00409146613961012,0.5721262326789576,0.0010849032713574744,-1.6530661771636583e-06,0.00409706944522019,-5.6033056100700945e-06,-0.13676374503749367,0.0015681387584715045,0.5736943714374291,1.0
R_only,B0,R_only_minus_B0,1,R_t,source,zero,17299,0.0009971900053780641,0.017201916400181302,0.0004182098143235293,0.0004182098143235293,0.0010939194162530494,-9.672941087498534e-05,-8.842462199483393,0.0034990995642480774,0.02070101596442938,0.03608370065155358
R_only,B0,R_only_minus_B0,1,R_t,source,small_positive,16219,0.001957863114177387,0.06217112450797655,0.001087003413067475,0.0003004022436134119,0.002002248769146633,-4.4385654969246024e-05,-2.2167902237324566,0.0028508486580580486,0.0650219731660346,0.11333904671771096
R_only,B0,R_only_minus_B0,1,R_t,source,tail_gt_001,659,0.027344627759954974,0.4927531917707997,0.018534171730895735,-0.018457257071146562,0.027211624488338297,0.00013300327161667666,0.48877372857205614,-0.004781809463834608,0.4879713823069651,0.8505772526307355
R_only,B0,R_only_minus_B0,1,R_t,source,positive,16878,0.005733982808703058,0.5549243162787763,0.001768226539116108,-0.00043198888616658706,0.005723997893300604,9.9849154024537e-06,0.17443953664169065,-0.0019309608057765937,0.5529933554729997,0.9639162993484464
R_only,B0,R_only_minus_B0,1,R_t,aligned,all,34177,0.004081716303857855,0.5694027637094637,0.0010928972408311797,2.200694967387674e-05,0.004074095498397705,7.620805460149815e-06,0.18705515035537523,-0.0021242323062513613,0.5672785314032124,1.0
R_only,B0,R_only_minus_B0,1,R_t,aligned,zero,17299,0.0009981239225907484,0.01723415236050456,0.0004536697159003197,0.0004536697159003197,0.0010170348021318763,-1.8910879541127884e-05,-1.859413217865058,0.0006592376250371436,0.017893389985541703,0.03154251217877197
R_only,B0,R_only_minus_B0,1,R_t,aligned,small_positive,16219,0.001935756806085691,0.06077509741320846,0.0010702857357567422,0.00030759415822941683,0.001947833918773495,-1.2077112687803844e-05,-0.6200278458755148,0.0007607126663359623,0.06153581007954442,0.1084754783991742
R_only,B0,R_only_minus_B0,1,R_t,aligned,tail_gt_001,659,0.027306875018413317,0.4913935139357507,0.01842936606417148,-0.018338043321211618,0.027208221201841274,9.865381657204325e-05,0.3625882627173338,-0.0035441825976244568,0.48784933133812625,0.8599820094220538
R_only,B0,R_only_minus_B0,1,R_t,aligned,positive,16878,0.005719727864484349,0.5521686113489591,0.0017480694741395667,-0.00042042308901265224,0.005705293138485206,1.4434725999142549e-05,0.25300586050123197,-0.002783469931288418,0.5493851414176707,0.9684574878212281
NR_both,B0,NR_both_minus_B0,1,N_t,source,all,34177,0.004300255340213471,0.6320077823855854,0.0008461984068704749,-2.4674707611527104e-05,0.00429948761942347,7.67720790001078e-07,0.01785609956248546,-0.00022564343925668418,0.6317821389463287,1.0
NR_both,B0,NR_both_minus_B0,1,N_t,source,zero,20721,0.0008359696432635153,0.014480772310416891,0.0003498046304359294,0.0003498046304359294,0.0009670371267858831,-0.00013106748352236788,-13.553511017513209,0.004896694721332867,0.019377467031749758,0.030671121953632686
NR_both,B0,NR_both_minus_B0,1,N_t,source,small_positive,13030,0.001707970550371841,0.03801063911421549,0.0008840231621364054,0.00015716147716827896,0.0018696886487354846,-0.00016171809836364355,-8.649466769401283,0.007538796316815012,0.0455494354310305,0.07209674446795342
NR_both,B0,NR_both_minus_B0,1,N_t,source,tail_gt_001,426,0.036883154257512436,0.5795163709609531,0.023834270896037468,-0.023801463091090914,0.036478022082231984,0.00040513217528045237,1.1106199079740975,-0.012661134477404579,0.5668552364835485,0.897232133578414
NR_both,B0,NR_both_minus_B0,1,N_t,source,positive,13456,0.0067743867947106205,0.6175270100751686,0.001610599078801228,-0.0006013383791098435,0.006746231783407624,2.8155011302996927e-05,0.4173442627963597,-0.005122338160589601,0.612404671914579,0.9693288780463674
NR_both,B0,NR_both_minus_B0,1,N_t,aligned,all,34177,0.0042825220301692495,0.626806007026271,0.0008661645514572579,1.8182135500239928e-05,0.00428668099364763,-4.158963478380177e-06,-0.09702059669342011,0.0012180341855333454,0.6280240412118043,1.0
NR_both,B0,NR_both_minus_B0,1,N_t,aligned,zero,20721,0.0008408680533953681,0.014650971263420595,0.00039039514215149834,0.00039039514215149834,0.0009012984877851892,-6.0430434389821086e-05,-6.704819236779169,0.002181504411361253,0.016832475674781848,0.0268022791648274
NR_both,B0,NR_both_minus_B0,1,N_t,aligned,small_positive,13030,0.0016841385950047715,0.036957286177615935,0.0008781905282833275,0.00019942911674967768,0.001762232149045845,-7.809355404107344e-05,-4.431513412313858,0.003506885599497571,0.040464171777113506,0.0644309279928772
NR_both,B0,NR_both_minus_B0,1,N_t,aligned,tail_gt_001,426,0.03674546855219387,0.5751977495852345,0.023640153875825697,-0.02363034809102769,0.03660239973148035,0.00014306882071352112,0.390872789115182,-0.004470355825325623,0.5707273937599089,0.9087667928422952
NR_both,B0,NR_both_minus_B0,1,N_t,aligned,positive,13456,0.006744856651017885,0.6121550357628505,0.0015988055985904806,-0.000554991594495355,0.006739546699144178,5.3099518737068085e-06,0.07878796765932172,-0.0009634702258279892,0.6111915655370225,0.9731977208351726
NR_both,B0,NR_both_minus_B0,1,R_t,source,all,34177,0.00409146613961012,0.5721262326789576,0.0010849032713574744,-1.6530661771636583e-06,0.00409706944522019,-5.6033056100700945e-06,-0.13676374503749367,0.0015681387584715045,0.5736943714374291,1.0
NR_both,B0,NR_both_minus_B0,1,R_t,source,zero,17299,0.0009971900053780641,0.017201916400181302,0.0004182098143235293,0.0004182098143235293,0.0010939194162530494,-9.672941087498534e-05,-8.842462199483393,0.0034990995642480774,0.02070101596442938,0.03608370065155358
