comparison,horizon,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
G_minus_B,osi_target_t01h,34177,0.017916634952049714,0.005337988882091109,10.971015500187207,-7.598713290387676e-05,0.01747116689085798,0.005279284346511754,10.432244641996707,-6.158302860147692e-05,-0.0004454680611917332,-2.486337765902691,0.5387708581904995,748
G_minus_A,osi_target_t01h,34177,0.018025750397208582,0.005347997349015246,11.10505322990052,-8.599560044246262e-05,0.01747116689085798,0.005279284346511754,10.432244641996707,-6.158302860147692e-05,-0.0005545835063506012,-3.076618138662801,0.6728085879038126,784
G_minus_C,osi_target_t01h,34177,0.018025003219205,0.005408645024203529,11.104132626946186,1.2851593393923809e-05,0.01747116689085798,0.005279284346511754,10.432244641996707,-6.158302860147692e-05,-0.0005538363283470182,-3.072600440686335,0.6718879849494783,30469
G_minus_B,osi_target_t06h,32982,0.01760725470280226,0.005390201631973443,10.224928522061576,3.4362233117243405e-05,0.01760725470280226,0.005390201631973443,10.224928522061576,3.4362233117243405e-05,0.0,0.0,0.0,0
G_minus_A,osi_target_t06h,32982,0.01760725470280226,0.005390201631973443,10.224928522061576,3.4362233117243405e-05,0.01760725470280226,0.005390201631973443,10.224928522061576,3.4362233117243405e-05,0.0,0.0,0.0,0
G_minus_C,osi_target_t06h,32982,0.01760725470280226,0.005390201631973443,10.224928522061576,3.4362233117243405e-05,0.01760725470280226,0.005390201631973443,10.224928522061576,3.4362233117243405e-05,0.0,0.0,0.0,0
G_minus_B,osi_target_t24h,28680,0.012238702883352682,0.004377302733260706,4.295858128297136,-3.575208048870743e-05,0.012238702883352682,0.004377302733260706,4.295858128297136,-3.575208048870743e-05,0.0,0.0,0.0,0
G_minus_A,osi_target_t24h,28680,0.012238702883352682,0.004377302733260706,4.295858128297136,-3.575208048870743e-05,0.012238702883352682,0.004377302733260706,4.295858128297136,-3.575208048870743e-05,0.0,0.0,0.0,0
G_minus_C,osi_target_t24h,28680,0.012238702883352682,0.004377302733260706,4.295858128297136,-3.575208048870743e-05,0.012238702883352682,0.004377302733260706,4.295858128297136,-3.575208048870743e-05,0.0,0.0,0.0,0
G_minus_B,osi_target_t48h,22944,0.011099725330034749,0.0034880500095017335,2.8267903367164213,-0.0002326251084043849,0.011099725330034749,0.0034880500095017335,2.8267903367164213,-0.0002326251084043849,0.0,0.0,0.0,0
G_minus_A,osi_target_t48h,22944,0.011099725330034749,0.0034880500095017335,2.8267903367164213,-0.0002326251084043849,0.011099725330034749,0.0034880500095017335,2.8267903367164213,-0.0002326251084043849,0.0,0.0,0.0,0
G_minus_C,osi_target_t48h,22944,0.011099725330034749,0.0034880500095017335,2.8267903367164213,-0.0002326251084043849,0.011099725330034749,0.0034880500095017335,2.8267903367164213,-0.0002326251084043849,0.0,0.0,0.0,0
