space,horizon,comparison,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
raw_D1,osi_target_t01h,G_minus_B,all_counties,34177,0.017916634952049714,0.005337988882091109,10.971015500187207,-7.598713290387676e-05,0.01747116689085798,0.005279284346511754,10.432244641996707,-6.158302860147692e-05,-0.0004454680611917332,-2.486337765902691,0.5387708581904995,748,239,2000,20260910,-0.0011247458512926953,-1.9292863592560237e-05,0.988,0.0
raw_D1,osi_target_t01h,G_minus_B,exclude_Morrow_diagnostic_only,34034,0.017225935175597597,0.005231549272006859,10.099005567563193,3.651624216592747e-05,0.017061877386356547,0.005195539536373734,9.907558098638408,2.79271017298304e-05,-0.0001640577892410497,-0.9523882887557567,0.19144746892478537,744,238,2000,20260910,-0.00038727049325792197,4.7762331825939255e-06,0.9655,0.0
raw_D1,osi_target_t01h,G_minus_A,all_counties,34177,0.018025750397208582,0.005347997349015246,11.10505322990052,-8.599560044246262e-05,0.01747116689085798,0.005279284346511754,10.432244641996707,-6.158302860147692e-05,-0.0005545835063506012,-3.076618138662801,0.6728085879038126,784,239,2000,20260910,-0.0014539705785117979,-2.188189430147112e-05,0.9885,0.0
raw_D1,osi_target_t01h,G_minus_A,exclude_Morrow_diagnostic_only,34034,0.0172276927033216,0.005235967129972091,10.101066435382656,3.209838358366591e-05,0.017061877386356547,0.005195539536373734,9.907558098638408,2.79271017298304e-05,-0.0001658153169650546,-0.9624928875883954,0.19350833674424806,780,238,2000,20260910,-0.000388477577562154,3.1664787164363714e-06,0.9665,0.0
raw_D1,osi_target_t01h,G_minus_C,all_counties,34177,0.018025003219205,0.005408645024203529,11.104132626946186,1.2851593393923809e-05,0.01747116689085798,0.005279284346511754,10.432244641996707,-6.158302860147692e-05,-0.0005538363283470182,-3.072600440686335,0.6718879849494783,30469,239,2000,20260910,-0.0008952636083179892,-0.00019502357223730402,0.998,0.0
raw_D1,osi_target_t01h,G_minus_C,exclude_Morrow_diagnostic_only,34034,0.017540812432772238,0.005306239919445591,10.47158455068496,0.00011619328464401145,0.017061877386356547,0.005195539536373734,9.907558098638408,2.79271017298304e-05,-0.0004789350464156905,-2.730404012079146,0.5640264520465532,30330,238,2000,20260910,-0.0008078964305660002,-0.000142694954820626,0.999,0.0
aligned_D1,osi_target_t01h,G_minus_B,all_counties,34177,0.018192839353944237,0.005375058704282549,11.311883082251594,-4.337564286351249e-05,0.017754302810350647,0.005316354168703194,10.773112224061094,-2.8971538561112588e-05,-0.00043853654359359007,-2.410489836477969,0.5387708581904995,748,239,2000,20260910,-0.0011012386096693248,-1.9312372279333148e-05,0.988,0.0
aligned_D1,osi_target_t01h,G_minus_B,exclude_Morrow_diagnostic_only,34034,0.0174745364065269,0.0052618825260661905,10.392602589552343,7.759267845644096e-05,0.01731283454250656,0.0052258727904330666,10.201155120627554,6.900353802034391e-05,-0.0001617018640203416,-0.9253571039512298,0.19144746892478892,744,238,2000,20260910,-0.0003786567561067745,4.747175123299915e-06,0.9655,0.0
aligned_D1,osi_target_t01h,G_minus_A,all_counties,34177,0.018300308006584973,0.005385067171206686,11.445920811964907,-5.338411040209822e-05,0.017754302810350647,0.005316354168703194,10.773112224061094,-2.8971538561112588e-05,-0.0005460051962343261,-2.9835847355020317,0.6728085879038126,784,239,2000,20260910,-0.0014222436727301462,-2.180725372608651e-05,0.9885,0.0
aligned_D1,osi_target_t01h,G_minus_A,exclude_Morrow_diagnostic_only,34034,0.01747626893330564,0.005266300384031422,10.394663457371804,7.317481987417963e-05,0.01731283454250656,0.0052258727904330666,10.201155120627554,6.900353802034391e-05,-0.0001634343907990811,-0.935178964244554,0.19350833674424983,780,238,2000,20260910,-0.0003803978930531243,3.173935960866981e-06,0.9665,0.0
aligned_D1,osi_target_t01h,G_minus_C,all_counties,34177,0.018047282923263144,0.005375706364729839,11.131599993519867,-1.551800989001786e-05,0.017754302810350647,0.005316354168703194,10.773112224061094,-2.8971538561112588e-05,-0.00029298011291249704,-1.6234028920488752,0.3584877694587725,30469,239,2000,20260910,-0.0004789645877390566,-9.931320462774349e-05,0.998,0.0
aligned_D1,osi_target_t01h,G_minus_C,exclude_Morrow_diagnostic_only,34034,0.017555351179050483,0.00527553974224889,10.488950542743503,8.966936158644733e-05,0.01731283454250656,0.0052258727904330666,10.201155120627554,6.900353802034391e-05,-0.00024251663654392339,-1.3814399613567896,0.28779542211594844,30330,238,2000,20260910,-0.0004115004803926523,-7.136874727833117e-05,0.9985,0.0
aligned_D6,osi_target_t06h,G_minus_B,all_counties,32982,0.01696587658112476,0.005156954704047238,9.493570812049615,-6.303379112733968e-05,0.01696587658112476,0.005156954704047238,9.493570812049615,-6.303379112733968e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
aligned_D6,osi_target_t06h,G_minus_B,exclude_Morrow_diagnostic_only,32844,0.016689963301589023,0.005089025288537454,9.148856314775507,1.1159423145925247e-05,0.016689963301589023,0.005089025288537454,9.148856314775507,1.1159423145925247e-05,0.0,0.0,0.0,0,238,2000,20260910,0.0,0.0,0.0,1.0
aligned_D6,osi_target_t06h,G_minus_A,all_counties,32982,0.01696587658112476,0.005156954704047238,9.493570812049615,-6.303379112733968e-05,0.01696587658112476,0.005156954704047238,9.493570812049615,-6.303379112733968e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
aligned_D6,osi_target_t06h,G_minus_A,exclude_Morrow_diagnostic_only,32844,0.016689963301589023,0.005089025288537454,9.148856314775507,1.1159423145925247e-05,0.016689963301589023,0.005089025288537454,9.148856314775507,1.1159423145925247e-05,0.0,0.0,0.0,0,238,2000,20260910,0.0,0.0,0.0,1.0
aligned_D6,osi_target_t06h,G_minus_C,all_counties,32982,0.01723174290134019,0.005216398552676573,9.793442999448782,-3.574632316653301e-05,0.01696587658112476,0.005156954704047238,9.493570812049615,-6.303379112733968e-05,-0.0002658663202154306,-1.5428869948770685,0.299872187399167,30100,239,2000,20260910,-0.00044273871009845256,-9.384206296593692e-05,0.999,0.0
aligned_D6,osi_target_t06h,G_minus_C,exclude_Morrow_diagnostic_only,32844,0.016926077844475976,0.005139847191359661,9.409546900162823,4.4553715310014046e-05,0.016689963301589023,0.005089025288537454,9.148856314775507,1.1159423145925247e-05,-0.00023611454288695322,-1.3949749319155602,0.2606905853873158,29962,238,2000,20260910,-0.000402025110922289,-7.291445731078105e-05,0.9995,0.0
