case,horizon,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,34177,0.010853078422434704,0.0032389658650502882,4.025685290369706,-0.0001206261886411442,0.010853078422434704,0.0,0.0,0.0
B0,osi_target_t06h,32982,0.009923105829220319,0.003112572987423417,3.2476725423035444,-0.00010472637115503994,0.009923105829220319,0.0,0.0,0.0
B0,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
B0,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NB_P06,osi_target_t01h,34177,0.010839305194285513,0.0032122365598017885,4.0154740862911975,-0.00013042578517183533,0.010853078422434704,-1.3773228149190422e-05,-0.12690618839277246,0.010211204078508729
NB_P06,osi_target_t06h,32982,0.00990749362850867,0.003084875229086204,3.2374613382250357,-0.00011488102553104586,0.009923105829220319,-1.5612200711648608e-05,-0.1573317969226551,0.010211204078508729
NB_P06,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
NB_P06,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NB_P24,osi_target_t01h,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,-0.0001234873431378002,0.010853078422434704,-1.2389131033605644e-05,-0.11415315131231285,0.00918564739461214
NB_P24,osi_target_t06h,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,-0.00010769119066969052,0.009923105829220319,-1.4043086719851827e-05,-0.1415190663239696,0.009185647394611696
NB_P24,osi_target_t24h,28680,0.008434736596420678,0.002779739911447673,2.040432332014631,-9.257391647402344e-05,0.008492701524253245,-5.796492783256661e-05,-0.6825263747587518,0.028140750869300568
NB_P24,osi_target_t48h,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NB_P48,osi_target_t01h,34177,0.010851196041440948,0.0032347784239058538,4.024288964641418,-0.00012594322370009666,0.010853078422434704,-1.8823809937555669e-06,-0.017344212586400953,0.0013963257282885166
NB_P48,osi_target_t06h,32982,0.009920972397133715,0.0031082338273969385,3.2462762165752554,-0.00011023605241178037,0.009923105829220319,-2.1334320866039924e-06,-0.021499640569400125,0.0013963257282889607
NB_P48,osi_target_t24h,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
NB_P48,osi_target_t48h,22944,0.0076777195364385415,0.0022128540239072536,1.3524886243171395,-0.00018471383054033776,0.007691202257793633,-1.3482721355091536e-05,-0.17530056944516925,0.0047543384379915565
