horizon,component,rmse,mae,rmse_std,mae_std,best_rounds,final_rounds,valid_rows
osi_target_t01h,P_t,0.01921777726681279,0.0053196706198258385,0.005027133719274496,0.000836985491221904,"[930, 497, 2523, 1025, 4263]",1848,34177
osi_target_t01h,N_t,0.004299627499781149,0.00074403214298459,0.0015569530345216278,0.00013114580802624394,"[365, 1393, 1023, 515, 1436]",946,34177
osi_target_t01h,D_t,0.01753175232867922,0.005312338532186325,0.0045022056846409355,0.0008649802335047719,"[847, 2128, 2149, 2119, 3396]",2128,34177
osi_target_t01h,R_t,0.004052298272170542,0.0009764253873032132,0.0010866252991105832,0.00013194712394445994,"[147, 1756, 815, 961, 2127]",1161,34177
osi_target_t06h,P_t,0.01663526327619972,0.005015941139536631,0.0036019548316862855,0.0007797332887202529,"[1942, 915, 3484, 1758, 3212]",2262,32982
osi_target_t06h,N_t,0.0037172969791309227,0.0007050318409037933,0.001348351583102821,0.00012132400273592034,"[521, 272, 1171, 230, 1189]",677,32982
osi_target_t06h,D_t,0.01646393099175222,0.005049747629635189,0.004133644004462097,0.0008009741058450929,"[1200, 573, 1914, 1837, 3414]",1788,32982
osi_target_t06h,R_t,0.004018839746789268,0.0009343951954127765,0.0011027259620717696,0.00012043332287566631,"[273, 685, 334, 756, 1166]",643,32982
osi_target_t24h,P_t,0.013795691612982634,0.004138135744459364,0.004393909996196545,0.0007839942152491396,"[1376, 774, 4635, 555, 3505]",2169,28680
osi_target_t24h,N_t,0.0037579050370206597,0.0007217137098437104,0.0015481127533521568,0.00014488415157035774,"[319, 607, 1367, 239, 1301]",767,28680
osi_target_t24h,D_t,0.011898879302872414,0.004016411487836068,0.003515200193101126,0.000756712043963598,"[1183, 657, 1873, 283, 2462]",1292,28680
osi_target_t24h,R_t,0.0034477702832563153,0.000778410575512047,0.001342985716779033,0.00015018890394372144,"[139, 443, 534, 110, 299]",305,28680
osi_target_t48h,P_t,0.012551531898508692,0.0031913718640512925,0.0055977000299775705,0.0009109769074628879,"[855, 118, 1759, 210, 777]",744,22944
osi_target_t48h,N_t,0.0034478050152386957,0.0005508365307131176,0.0017297967975998837,0.00014238921121803558,"[1286, 110, 1342, 84, 627]",690,22944
osi_target_t48h,D_t,0.011065420645937426,0.0032566177491241293,0.0047422122370025625,0.0009253611600423071,"[391, 154, 1857, 147, 333]",576,22944
osi_target_t48h,R_t,0.0032801714957601783,0.0006503532576141709,0.0014226005752628504,0.00014134177517749968,"[220, 274, 1001, 48, 673]",443,22944
