horizon,rmse,mae,rmse_std,mae_std,valid_rows,direct_rmse,direct_mae,rmse_change_pct_vs_direct,mae_change_pct_vs_direct
osi_target_t01h,0.012039457081452813,0.0034105128772544784,0.003179344295291669,0.0005653204529201991,34177,0.012043940713067153,0.003498229225986764,-0.037227280681273456,-2.507450000150946
osi_target_t06h,0.01065798817947317,0.003220964949098953,0.0024308087885945803,0.00051911648706767,32982,0.010660518030069762,0.0032607381223893686,-0.023731028731033277,-1.2197598150344935
osi_target_t24h,0.008580166926726196,0.0026422016036934046,0.0027395446591901794,0.0005223455549302179,28680,0.008712558791012303,0.002713104225942726,-1.5195520335848922,-2.6133394202607407
osi_target_t48h,0.007858128798568587,0.002069537979591426,0.0035331392990333534,0.0006179588890439838,22944,0.007926178033315738,0.002122147989637791,-0.8585378029754454,-2.4790924244328716
