horizon,component,rank,feature,importance,importance_fraction
osi_target_t01h,P_t,1,hours_since_obs,0.08739066123962402,0.08739065892512736
osi_target_t01h,P_t,2,last_P_t,0.06246332451701164,0.06246332286270266
osi_target_t01h,P_t,3,last_outage_pct,0.057489003986120224,0.05748900246355356
osi_target_t01h,P_t,4,gust_x_hso,0.045468367636203766,0.04546836643199746
osi_target_t01h,P_t,5,last_osi,0.03801016882061958,0.03801016781393984
osi_target_t01h,P_t,6,min_t2m_next_48h,0.03618387132883072,0.03618387037051952
osi_target_t01h,P_t,7,gust_gt30_since_onset,0.02460859902203083,0.02460859837028476
osi_target_t01h,P_t,8,sdwe_t,0.02237764559686184,0.02237764500420142
osi_target_t01h,P_t,9,gust_gt30_frac_next_48h,0.019190533086657524,0.01919053257840614
osi_target_t01h,P_t,10,gust_mean_next_48h,0.018974026665091515,0.018974026162574188
osi_target_t01h,P_t,11,cumul_gust_since_onset,0.018049951642751694,0.01804995116470802
osi_target_t01h,P_t,12,gust_peak4h_mean_next_48h,0.017921598628163338,0.017921598153519028
osi_target_t01h,P_t,13,cumul_tp_since_onset,0.01765294000506401,0.017652939537534985
osi_target_t01h,P_t,14,last_D_t,0.0168447382748127,0.01684473782868848
osi_target_t01h,P_t,15,gust_gt30_next_48h,0.015546520240604877,0.015546519828863296
osi_target_t01h,P_t,16,gust_mean_next_24h,0.014522267505526543,0.014522267120911767
osi_target_t01h,P_t,17,soil_gust_x_phase,0.014184952713549137,0.01418495233786797
osi_target_t01h,P_t,18,days_since_onset,0.013676024042069912,0.013676023679867458
osi_target_t01h,P_t,19,gust_x_phase,0.012576097622513771,0.012576097289442301
osi_target_t01h,P_t,20,gust_max_next_48h,0.01246842835098505,0.012468428020765147
osi_target_t01h,P_t,21,N_t_max_72h,0.011623051948845387,0.01162305164101484
osi_target_t01h,P_t,22,osi_std_72h,0.011441212147474289,0.011441211844459677
osi_target_t01h,P_t,23,outage_pct_max_72h,0.011238270439207554,0.011238270141567749
osi_target_t01h,P_t,24,t2m_at_t24h,0.01093960739672184,0.010939607106991971
osi_target_t01h,P_t,25,wind_speed_max_next_48h,0.009611980058252811,0.00961197980368447
osi_target_t01h,P_t,26,osi_mean_72h,0.008707745932042599,0.008707745701422432
osi_target_t01h,P_t,27,gust_gt40_next_48h,0.00821799784898758,0.00821799763133814
osi_target_t01h,P_t,28,pct_wetland,0.008171365596354008,0.008171365379939599
osi_target_t01h,P_t,29,storm_onset_max_osi,0.007713812869042158,0.007713812664745797
osi_target_t01h,P_t,30,tp_rate_next_48h,0.0074542430229485035,0.007454242825526716
osi_target_t01h,P_t,31,gust_last_obs,0.007267993874847889,0.007267993682358814
osi_target_t01h,P_t,32,log_customers,0.0071170395240187645,0.007117039335527638
osi_target_t01h,P_t,33,total_tp_next_48h,0.0068958778865635395,0.006895877703929765
osi_target_t01h,P_t,34,dewpoint_c_t,0.006873168982565403,0.006873168800533062
osi_target_t01h,P_t,35,t2m_at_t48h,0.006756157148629427,0.006756156969696084
osi_target_t01h,P_t,36,gust_at_t48h,0.006488128565251827,0.006488128393417084
osi_target_t01h,P_t,37,gust_max_last6h_obs,0.0064574722200632095,0.006457472049040383
osi_target_t01h,P_t,38,osi_max_72h,0.006389066111296415,0.006389065942085289
osi_target_t01h,P_t,39,storm_onset_mean_osi,0.006359018851071596,0.006359018682656256
osi_target_t01h,P_t,40,outage_pct_mean_72h,0.00596518162637949,0.005965181468394727
osi_target_t01h,P_t,41,tree_canopy_pct,0.00595370726659894,0.005953707108918069
osi_target_t01h,P_t,42,pct_forest,0.005874319933354855,0.005874319777776516
osi_target_t01h,P_t,43,frac_zero_72h,0.005788654554635286,0.005788654401325751
osi_target_t01h,P_t,44,N_t_mean_72h,0.005590516142547131,0.005590515994485189
osi_target_t01h,P_t,45,wind_speed_at_t24h,0.005344244185835123,0.005344244044295568
osi_target_t01h,P_t,46,mslma_t,0.004893537610769272,0.004893537481166449
osi_target_t01h,P_t,47,pop_density,0.004797415807843208,0.004797415680786121
osi_target_t01h,P_t,48,gust_gt40_obs,0.004750459920614958,0.004750459794801473
osi_target_t01h,P_t,49,last_N_t,0.0047030095010995865,0.0047030093765428015
osi_target_t01h,P_t,50,soil_moist_x_gust,0.004595131613314152,0.004595131491614457
osi_target_t01h,P_t,51,min_t2m_next_24h,0.004541217815130949,0.004541217694859134
osi_target_t01h,P_t,52,t2m_at_t6h,0.004152941983193159,0.0041529418732046295
osi_target_t01h,P_t,53,gust_max_obs,0.004126511048525572,0.004126510939237052
osi_target_t01h,P_t,54,d2m_t,0.0041151805780828,0.004115180469094362
osi_target_t01h,P_t,55,tree_canopy_std,0.004098350182175636,0.004098350073632942
osi_target_t01h,P_t,56,total_tp_next_24h,0.004019268322736025,0.004019268216287774
osi_target_t01h,P_t,57,pct_forest_classified,0.004011454991996288,0.004011454885754969
osi_target_t01h,P_t,58,wind_cos_t,0.003974365070462227,0.003974364965203214
osi_target_t01h,P_t,59,wind_speed_at_t48h,0.003840169869363308,0.0038401697676583866
osi_target_t01h,P_t,60,cumul_gust_obs,0.003632171079516411,0.0036321709833202305
osi_target_t01h,P_t,61,min_t2m_next_6h,0.003588438732549548,0.0035884386375115962
osi_target_t01h,P_t,62,pct_developed,0.0035876769106835127,0.0035876768156657374
osi_target_t01h,P_t,63,wind_speed_max_next_24h,0.0034940813202410936,0.0034940812277021492
osi_target_t01h,P_t,64,tp_rate_next_6h,0.003471122356131673,0.003471122264200785
osi_target_t01h,P_t,65,tp_rate_next_24h,0.0034210283774882555,0.0034210282868840807
osi_target_t01h,P_t,66,pre_event_mean_osi,0.0033173635601997375,0.003317363472341072
osi_target_t01h,P_t,67,forest_x_customers,0.0031762984581291676,0.0031762983740065386
osi_target_t01h,P_t,68,osi_trend_last6h,0.003148426301777363,0.0031484262183929137
osi_target_t01h,P_t,69,gust_gt30_frac_next_24h,0.003113050013780594,0.0031130499313330676
osi_target_t01h,P_t,70,sp_t,0.0031039563473314047,0.003103956265124719
osi_target_t01h,P_t,71,temp_change_6h,0.0030574605334550142,0.0030574604524797465
osi_target_t01h,P_t,72,wind_sin_t,0.0030328864231705666,0.0030328863428461315
osi_target_t01h,P_t,73,R_t_mean_72h,0.0030117256101220846,0.003011725530358083
osi_target_t01h,P_t,74,pct_unmapped,0.002992406254634261,0.0029924061753819225
osi_target_t01h,P_t,75,gust_gt30_obs,0.0029315336141735315,0.0029315335365333733
osi_target_t01h,P_t,76,pct_agriculture,0.002920848550274968,0.0029208484729177984
osi_target_t01h,P_t,77,last_R_t,0.0029020742513239384,0.0029020741744639963
osi_target_t01h,P_t,78,gust_max_next_1h,0.00287536415271461,0.0028753640765620714
osi_target_t01h,P_t,79,gust_gt30_next_24h,0.002872964832931757,0.002872964756842763
osi_target_t01h,P_t,80,n_utilities,0.0028696367517113686,0.002869636675710517
osi_target_t01h,P_t,81,gust_t,0.0028591181617230177,0.0028591180860007455
