pair,horizon,fipsCode,countyName,stateAbbr,improved_splits,worsened_splits,split42_sse_reduction,split20260917_sse_reduction,split20260918_sse_reduction
I1_minus_B0,1,18009,Blackford County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18013,Brown County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18023,Clinton County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18025,Crawford County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18027,Daviess County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18029,Dearborn County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18033,DeKalb County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18035,Delaware County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18037,Dubois County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18039,Elkhart County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18041,Fayette County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18043,Floyd County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18045,Fountain County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18047,Franklin County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18051,Gibson County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18059,Hancock County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18061,Harrison County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18065,Henry County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18067,Howard County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18069,Huntington County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18071,Jackson County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18073,Jasper County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18077,Jefferson County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18083,Knox County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18085,Kosciusko County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18087,LaGrange County,IN,0,0,0.0,0.0,0.0
I1_minus_B0,1,18089,Lake County,IN,0,0,0.0,0.0,0.0
