cv_seed,candidate,horizon,n,rmse,mae,sse,sae,bias
42,B0,1,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,110.29911686660273,-0.0001234873431378002
42,B0,6,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,102.25986276797818,-0.00010769119066969052
42,B0,24,28680,0.008434736596420678,0.002779739911447673,2.040432332014631,79.72294066031925,-9.257391647402344e-05
42,B0,48,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,51.279923523594505,-0.0001565905410230873
42,I1,1,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,110.29911686660273,-0.0001234873431378002
42,I1,6,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,102.25986276797818,-0.00010769119066969052
42,I1,24,28680,0.008434736596420678,0.002779739911447673,2.040432332014631,79.72294066031925,-9.257391647402344e-05
42,I1,48,22944,0.007661528701953814,0.0021067935790155074,1.3467903619349797,48.3382718769318,-0.00033646039506835933
42,I2,1,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,110.29911686660273,-0.0001234873431378002
42,I2,6,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,102.25986276797818,-0.00010769119066969052
42,I2,24,28680,0.008445482059497094,0.0026563183812745817,2.0456344757917986,76.183211174955,-0.00024572936787352275
42,I2,48,22944,0.007661528701953814,0.0021067935790155074,1.3467903619349797,48.3382718769318,-0.00033646039506835933
42,I3,1,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,110.29911686660273,-0.0001234873431378002
42,I3,6,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,102.25986276797818,-0.00010769119066969052
42,I3,24,28680,0.008414292685097682,0.0026834502114672387,2.0305532174792056,76.9613520648804,-0.0002167538921394124
42,I3,48,22944,0.007661528701953814,0.0021067935790155074,1.3467903619349797,48.3382718769318,-0.00033646039506835933
20260917,B0,1,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,111.46565898362593,-0.00016424828599728307
20260917,B0,6,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,103.26658351110038,-0.00015800704270487189
20260917,B0,24,28680,0.00856674431733002,0.002890042669314749,2.104799623133157,82.88642375594699,-0.00012182407134348413
20260917,B0,48,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,51.622532398985996,-0.0002851312363928788
20260917,I1,1,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,111.46565898362593,-0.00016424828599728307
20260917,I1,6,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,103.26658351110038,-0.00015800704270487189
20260917,I1,24,28680,0.00856674431733002,0.002890042669314749,2.104799623133157,82.88642375594699,-0.00012182407134348413
20260917,I1,48,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914
20260917,I2,1,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,111.46565898362593,-0.00016424828599728307
20260917,I2,6,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,103.26658351110038,-0.00015800704270487189
20260917,I2,24,28680,0.008609503545453312,0.0027417302070555025,2.125863451260286,78.63282233835182,-0.00026801273034823966
20260917,I2,48,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914
20260917,I3,1,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,111.46565898362593,-0.00016424828599728307
20260917,I3,6,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,103.26658351110038,-0.00015800704270487189
20260917,I3,24,28680,0.0085603480829565,0.0027800298848209754,2.1016577607634934,79.73125709666557,-0.00024319321240957225
20260917,I3,48,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914
20260918,B0,1,34177,0.01055449106533266,0.003229156298840456,3.8072248948900858,110.36287482547026,-5.968048855843743e-05
20260918,B0,6,32982,0.00954921332229313,0.0030963344331429855,3.0075453029124564,102.12330227392195,-4.027044658716905e-05
20260918,B0,24,28680,0.008030970870658143,0.0027950065193870217,1.8497594228353134,80.16078697601978,-1.3201457042298306e-05
