cv_seed,pair,candidate,reference,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,I3_minus_I1,I3,I1,1,18009,Blackford County,IN,0,143,0.005878362949702138,0.003199210558479587,0.004941386588485607,0.4574871098625809,0.0011798482902280409,0.005878362949702138,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18013,Brown County,IN,1,143,0.028703057474194202,0.012990683079253818,0.11781276769646606,1.857667680333296,-0.008771802513836933,0.028703057474194202,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18023,Clinton County,IN,3,143,0.0018204336337540904,0.0007470264579164174,0.0004738989419311464,0.10682478348204769,0.0007008726117625712,0.0018204336337540904,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18025,Crawford County,IN,2,143,0.01184989873863019,0.0021582445809910557,0.02008007431655788,0.308628975081721,-0.0014421780063523784,0.01184989873863019,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18027,Daviess County,IN,2,143,0.004307063902533763,0.0017358675821350512,0.0026527643228528392,0.24822906424531233,0.001731671777939247,0.004307063902533763,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18029,Dearborn County,IN,1,143,0.0013474293754659344,0.0004293369835911871,0.0002596259268271981,0.06139518865353976,-3.9907119927806946e-05,0.0013474293754659344,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18033,DeKalb County,IN,1,143,0.0033225441643735306,0.00131103281799827,0.0015786198605624022,0.1874776929737526,-0.0009952585191921556,0.0033225441643735306,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18035,Delaware County,IN,1,143,0.0019128299496315709,0.0008808364236589137,0.0005232253335176751,0.12595960858322466,-0.00047023023021793036,0.0019128299496315709,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18037,Dubois County,IN,3,143,0.0023683682249262005,0.0009427404649773259,0.0008021110309841316,0.1348118864917576,0.0005916915139283749,0.0023683682249262005,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18039,Elkhart County,IN,4,143,0.0015757974308356377,0.0011198125700249185,0.00035508866865303207,0.16013319751356336,0.0010644977219576503,0.0015757974308356377,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18041,Fayette County,IN,2,143,0.005308285608189181,0.001972106390290705,0.0040294391420294985,0.28201121381157085,-0.0018338205207804107,0.005308285608189181,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18043,Floyd County,IN,4,143,0.002726468804350704,0.0011481459166726735,0.0010630093961769506,0.1641848660841923,0.0008143128593897192,0.002726468804350704,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18045,Fountain County,IN,3,143,0.0030790553189015556,0.0012226234877403227,0.0013557231769304023,0.17483515874686614,0.0012194641687331457,0.0030790553189015556,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18047,Franklin County,IN,4,143,0.0030512762275782105,0.0012618636704433408,0.0013313709862287,0.18044650487339775,0.00042812850753070513,0.0030512762275782105,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18051,Gibson County,IN,1,143,0.0013170408996169749,0.00042996307485179236,0.00024804733257073635,0.061484719703806305,4.398459805605796e-05,0.0013170408996169749,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,18059,Hancock County,IN,3,143,0.0011407852775998945,0.0003337559048150342,0.00018609892009117962,0.047727094388549884,0.00011226659809405983,0.0011407852775998945,0.0,0.0,0.0
