cv_seed,pair,horizon,direction,rank,fipsCode,countyName,stateAbbr,sse_reduction
42,I1_minus_B0,48,worsened,1,39091,Logan County,OH,-0.003418199256087078
42,I1_minus_B0,48,worsened,2,54015,Clay County,WV,-0.0027318582033518113
42,I1_minus_B0,48,worsened,3,54101,Webster County,WV,-0.002446761966791975
42,I1_minus_B0,48,worsened,4,42101,Philadelphia County,PA,-0.0012979477337469966
42,I1_minus_B0,48,worsened,5,54071,Pendleton County,WV,-0.001250326573057757
42,I1_minus_B0,48,worsened,6,54013,Calhoun County,WV,-0.0011113209572518323
42,I1_minus_B0,48,worsened,7,54095,Tyler County,WV,-0.0011062972244644913
42,I1_minus_B0,48,worsened,8,18131,Pulaski County,IN,-0.0011025473431183763
42,I1_minus_B0,48,worsened,9,42049,Erie County,PA,-0.0010804776122196793
42,I1_minus_B0,48,worsened,10,54059,Mingo County,WV,-0.0008327407859139019
42,I1_minus_B0,48,improved,1,39157,Tuscarawas County,OH,0.0066068731703513225
42,I1_minus_B0,48,improved,2,54033,Harrison County,WV,0.0021687655324044647
42,I1_minus_B0,48,improved,3,42023,Cameron County,PA,0.0019893960550900454
42,I1_minus_B0,48,improved,4,54099,Wayne County,WV,0.0014385560945675353
42,I1_minus_B0,48,improved,5,18171,Warren County,IN,0.001416800600956359
42,I1_minus_B0,48,improved,6,18159,Tipton County,IN,0.0013558001723106275
42,I1_minus_B0,48,improved,7,39139,Richland County,OH,0.0012856545766615065
42,I1_minus_B0,48,improved,8,39119,Muskingum County,OH,0.0011600600312822538
42,I1_minus_B0,48,improved,9,18161,Union County,IN,0.001121781597871875
42,I1_minus_B0,48,improved,10,42057,Fulton County,PA,0.0007257388135333342
42,I2_minus_I1,24,worsened,1,18013,Brown County,IN,-0.011367306497004737
42,I2_minus_I1,24,worsened,2,39149,Shelby County,OH,-0.0085259844293975
42,I2_minus_I1,24,worsened,3,39119,Muskingum County,OH,-0.008260010611001511
42,I2_minus_I1,24,worsened,4,39107,Mercer County,OH,-0.005816437883589671
42,I2_minus_I1,24,worsened,5,39091,Logan County,OH,-0.005683992850837025
42,I2_minus_I1,24,worsened,6,54103,Wetzel County,WV,-0.005068198694040739
42,I2_minus_I1,24,worsened,7,54109,Wyoming County,WV,-0.004944464317631493
42,I2_minus_I1,24,worsened,8,42047,Elk County,PA,-0.004727338146826229
42,I2_minus_I1,24,worsened,9,39127,Perry County,OH,-0.0035043201598027717
42,I2_minus_I1,24,worsened,10,42039,Crawford County,PA,-0.0034572466620239484
42,I2_minus_I1,24,improved,1,54015,Clay County,WV,0.025433814423004797
42,I2_minus_I1,24,improved,2,39157,Tuscarawas County,OH,0.008508321543575031
42,I2_minus_I1,24,improved,3,39159,Union County,OH,0.0038392919559164305
42,I2_minus_I1,24,improved,4,18027,Daviess County,IN,0.0031939517706749076
42,I2_minus_I1,24,improved,5,54013,Calhoun County,WV,0.0029410466742310626
42,I2_minus_I1,24,improved,6,18171,Warren County,IN,0.002194325226628637
42,I2_minus_I1,24,improved,7,42031,Clarion County,PA,0.002180341086435271
42,I2_minus_I1,24,improved,8,39117,Morrow County,OH,0.002026180018098296
42,I2_minus_I1,24,improved,9,54045,Logan County,WV,0.0018997152170108968
42,I2_minus_I1,24,improved,10,39033,Crawford County,OH,0.0017098295915762322
42,I3_minus_B0,24,worsened,1,18013,Brown County,IN,-0.005445944933342092
42,I3_minus_B0,24,worsened,2,39119,Muskingum County,OH,-0.004016484841082288
42,I3_minus_B0,24,worsened,3,39149,Shelby County,OH,-0.003775328129502653
42,I3_minus_B0,24,worsened,4,39107,Mercer County,OH,-0.0025908314864934185
42,I3_minus_B0,24,worsened,5,39091,Logan County,OH,-0.002464571660748427
42,I3_minus_B0,24,worsened,6,54103,Wetzel County,WV,-0.00229841752056518
42,I3_minus_B0,24,worsened,7,54109,Wyoming County,WV,-0.0022639222377244667
42,I3_minus_B0,24,worsened,8,42047,Elk County,PA,-0.002157628349598137
42,I3_minus_B0,24,worsened,9,42039,Crawford County,PA,-0.0016139011279747099
42,I3_minus_B0,24,worsened,10,39127,Perry County,OH,-0.001607029361090211
42,I3_minus_B0,24,improved,1,54015,Clay County,WV,0.012913907219251841
42,I3_minus_B0,24,improved,2,39157,Tuscarawas County,OH,0.004587006039032088
42,I3_minus_B0,24,improved,3,39159,Union County,OH,0.0024336294695768584
42,I3_minus_B0,24,improved,4,18027,Daviess County,IN,0.0018771924000678167
42,I3_minus_B0,24,improved,5,54013,Calhoun County,WV,0.0015200130020714409
42,I3_minus_B0,24,improved,6,42031,Clarion County,PA,0.0012588181817892105
42,I3_minus_B0,24,improved,7,18171,Warren County,IN,0.0012508113786701622
42,I3_minus_B0,24,improved,8,39125,Paulding County,OH,0.0011290694995819348
42,I3_minus_B0,24,improved,9,39117,Morrow County,OH,0.0011230760774751675
42,I3_minus_B0,24,improved,10,39055,Geauga County,OH,0.0011184593001566253
42,I3_minus_B0,48,worsened,1,39091,Logan County,OH,-0.003418199256087078
42,I3_minus_B0,48,worsened,2,54015,Clay County,WV,-0.0027318582033518113
42,I3_minus_B0,48,worsened,3,54101,Webster County,WV,-0.002446761966791975
42,I3_minus_B0,48,worsened,4,42101,Philadelphia County,PA,-0.0012979477337469966
42,I3_minus_B0,48,worsened,5,54071,Pendleton County,WV,-0.001250326573057757
42,I3_minus_B0,48,worsened,6,54013,Calhoun County,WV,-0.0011113209572518323
42,I3_minus_B0,48,worsened,7,54095,Tyler County,WV,-0.0011062972244644913
42,I3_minus_B0,48,worsened,8,18131,Pulaski County,IN,-0.0011025473431183763
42,I3_minus_B0,48,worsened,9,42049,Erie County,PA,-0.0010804776122196793
42,I3_minus_B0,48,worsened,10,54059,Mingo County,WV,-0.0008327407859139019
42,I3_minus_B0,48,improved,1,39157,Tuscarawas County,OH,0.0066068731703513225
42,I3_minus_B0,48,improved,2,54033,Harrison County,WV,0.0021687655324044647
42,I3_minus_B0,48,improved,3,42023,Cameron County,PA,0.0019893960550900454
42,I3_minus_B0,48,improved,4,54099,Wayne County,WV,0.0014385560945675353
42,I3_minus_B0,48,improved,5,18171,Warren County,IN,0.001416800600956359
42,I3_minus_B0,48,improved,6,18159,Tipton County,IN,0.0013558001723106275
42,I3_minus_B0,48,improved,7,39139,Richland County,OH,0.0012856545766615065
42,I3_minus_B0,48,improved,8,39119,Muskingum County,OH,0.0011600600312822538
42,I3_minus_B0,48,improved,9,18161,Union County,IN,0.001121781597871875
42,I3_minus_B0,48,improved,10,42057,Fulton County,PA,0.0007257388135333342
42,I3_minus_I1,24,worsened,1,18013,Brown County,IN,-0.005445944933342092
42,I3_minus_I1,24,worsened,2,39119,Muskingum County,OH,-0.004016484841082288
42,I3_minus_I1,24,worsened,3,39149,Shelby County,OH,-0.003775328129502653
42,I3_minus_I1,24,worsened,4,39107,Mercer County,OH,-0.0025908314864934185
42,I3_minus_I1,24,worsened,5,39091,Logan County,OH,-0.002464571660748427
42,I3_minus_I1,24,worsened,6,54103,Wetzel County,WV,-0.00229841752056518
42,I3_minus_I1,24,worsened,7,54109,Wyoming County,WV,-0.0022639222377244667
42,I3_minus_I1,24,worsened,8,42047,Elk County,PA,-0.002157628349598137
42,I3_minus_I1,24,worsened,9,42039,Crawford County,PA,-0.0016139011279747099
42,I3_minus_I1,24,worsened,10,39127,Perry County,OH,-0.001607029361090211
42,I3_minus_I1,24,improved,1,54015,Clay County,WV,0.012913907219251841
42,I3_minus_I1,24,improved,2,39157,Tuscarawas County,OH,0.004587006039032088
42,I3_minus_I1,24,improved,3,39159,Union County,OH,0.0024336294695768584
42,I3_minus_I1,24,improved,4,18027,Daviess County,IN,0.0018771924000678167
42,I3_minus_I1,24,improved,5,54013,Calhoun County,WV,0.0015200130020714409
42,I3_minus_I1,24,improved,6,42031,Clarion County,PA,0.0012588181817892105
42,I3_minus_I1,24,improved,7,18171,Warren County,IN,0.0012508113786701622
42,I3_minus_I1,24,improved,8,39125,Paulding County,OH,0.0011290694995819348
42,I3_minus_I1,24,improved,9,39117,Morrow County,OH,0.0011230760774751675
42,I3_minus_I1,24,improved,10,39055,Geauga County,OH,0.0011184593001566253
42,I3_minus_I2,24,worsened,1,54015,Clay County,WV,-0.012519907203752956
42,I3_minus_I2,24,worsened,2,39157,Tuscarawas County,OH,-0.003921315504542944
42,I3_minus_I2,24,worsened,3,54013,Calhoun County,WV,-0.0014210336721596217
42,I3_minus_I2,24,worsened,4,39159,Union County,OH,-0.0014056624863395721
42,I3_minus_I2,24,worsened,5,18027,Daviess County,IN,-0.0013167593706070908
42,I3_minus_I2,24,worsened,6,18171,Warren County,IN,-0.0009435138479584747
42,I3_minus_I2,24,worsened,7,42031,Clarion County,PA,-0.0009215229046460605
42,I3_minus_I2,24,worsened,8,39117,Morrow County,OH,-0.0009031039406231286
42,I3_minus_I2,24,worsened,9,54045,Logan County,WV,-0.0008904235132187969
42,I3_minus_I2,24,worsened,10,39059,Guernsey County,OH,-0.000665988837407306
42,I3_minus_I2,24,improved,1,18013,Brown County,IN,0.005921361563662644
42,I3_minus_I2,24,improved,2,39149,Shelby County,OH,0.0047506562998948475
42,I3_minus_I2,24,improved,3,39119,Muskingum County,OH,0.004243525769919224
42,I3_minus_I2,24,improved,4,39107,Mercer County,OH,0.0032256063970962524
42,I3_minus_I2,24,improved,5,39091,Logan County,OH,0.0032194211900885977
42,I3_minus_I2,24,improved,6,54103,Wetzel County,WV,0.0027697811734755592
42,I3_minus_I2,24,improved,7,54109,Wyoming County,WV,0.0026805420799070265
42,I3_minus_I2,24,improved,8,42047,Elk County,PA,0.0025697097972280925
42,I3_minus_I2,24,improved,9,39127,Perry County,OH,0.0018972907987125608
42,I3_minus_I2,24,improved,10,42039,Crawford County,PA,0.0018433455340492386
20260917,I1_minus_B0,48,worsened,1,54071,Pendleton County,WV,-0.001489906835228632
20260917,I1_minus_B0,48,worsened,2,54059,Mingo County,WV,-0.0013142014169876398
20260917,I1_minus_B0,48,worsened,3,39127,Perry County,OH,-0.0010524625854063073
20260917,I1_minus_B0,48,worsened,4,42029,Chester County,PA,-0.0009411985629538301
20260917,I1_minus_B0,48,worsened,5,54073,Pleasants County,WV,-0.0008213740980978672
20260917,I1_minus_B0,48,worsened,6,39101,Marion County,OH,-0.0007410132082789869
20260917,I1_minus_B0,48,worsened,7,54031,Hardy County,WV,-0.0006743321449024535
20260917,I1_minus_B0,48,worsened,8,39149,Shelby County,OH,-0.0006369654839254082
20260917,I1_minus_B0,48,worsened,9,54045,Logan County,WV,-0.0005925371303550754
20260917,I1_minus_B0,48,worsened,10,42049,Erie County,PA,-0.0005240415442328934
20260917,I1_minus_B0,48,improved,1,42035,Clinton County,PA,0.003069075199444055
20260917,I1_minus_B0,48,improved,2,54033,Harrison County,WV,0.002263590861606126
20260917,I1_minus_B0,48,improved,3,39157,Tuscarawas County,OH,0.0013071206381442893
20260917,I1_minus_B0,48,improved,4,54095,Tyler County,WV,0.001264941124964461
20260917,I1_minus_B0,48,improved,5,18111,Newton County,IN,0.00111289546863915
20260917,I1_minus_B0,48,improved,6,54099,Wayne County,WV,0.0009831138520551347
20260917,I1_minus_B0,48,improved,7,42053,Forest County,PA,0.0009301981341042981
20260917,I1_minus_B0,48,improved,8,54043,Lincoln County,WV,0.0009236183219687591
20260917,I1_minus_B0,48,improved,9,54087,Roane County,WV,0.0008791093982890574
20260917,I1_minus_B0,48,improved,10,54041,Lewis County,WV,0.0008419053984994561
20260917,I2_minus_I1,24,worsened,1,54015,Clay County,WV,-0.01691521692936493
20260917,I2_minus_I1,24,worsened,2,39149,Shelby County,OH,-0.014811715045547933
