cv_seed,pair,candidate,reference,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,I3_minus_I1,I3,I1,1,18013,Brown County,IN,1,143,0.028703057474194202,0.012990683079253818,0.11781276769646606,1.857667680333296,-0.008771802513836933,0.028703057474194202,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,39115,Morgan County,OH,2,143,0.031686547474853145,0.006742764404077385,0.14357733259528546,0.9642153097830661,-0.005166523458584733,0.031686547474853145,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,39117,Morrow County,OH,4,143,0.015593940218989697,0.0097650513217551,0.0347734489321397,1.3964023390109794,-0.0003134050404733544,0.015593940218989697,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,39149,Shelby County,OH,3,143,0.014097345003710625,0.009561714357015414,0.028419124469971226,1.3673251530532042,0.008610323802271457,0.014097345003710625,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,39157,Tuscarawas County,OH,2,143,0.02153899462032531,0.015113515476450259,0.06634174536337958,2.161232713132387,-0.015034569870079891,0.02153899462032531,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,42053,Forest County,PA,3,143,0.09428224787377755,0.03405630563409297,1.2711473437709375,4.870051705675294,-0.025936946972516566,0.09428224787377755,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,42131,Wyoming County,PA,3,143,0.015883524257581324,0.003502739583995484,0.036076947026287935,0.5008917605113542,-0.0033120243309361563,0.015883524257581324,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,54013,Calhoun County,WV,2,143,0.04354624820417804,0.021779804678102786,0.2711674297703627,3.1145120689686983,-0.02037358988252443,0.04354624820417804,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,54015,Clay County,WV,2,143,0.050379075649942304,0.026418079020637305,0.36294133065799317,3.7777852999511348,-0.02416058841515433,0.050379075649942304,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,54101,Webster County,WV,1,143,0.006185257573343235,0.0044705138450019015,0.0054708098085497784,0.6392834798352719,0.0038568856045283506,0.006185257573343235,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,54105,Wirt County,WV,2,143,0.005840748589098878,0.002934977026915853,0.004878351203591657,0.41970171484896696,0.002104465412117442,0.005840748589098878,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,6,18013,Brown County,IN,1,138,0.029200675924885806,0.013277479927568246,0.11766976747688837,1.832292230004418,-0.009273501520344639,0.029200675924885806,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,6,39115,Morgan County,OH,2,138,0.03224672449298572,0.006857380081983351,0.14349947119266046,0.9463184513137025,-0.005483403717731741,0.03224672449298572,0.0,0.0,0.0
