cv_seed,pair,candidate,reference,horizon,start,end,common_target,accounting_only,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,I3_minus_I1,I3,I1,1,96,119,False,False,5736,0.010384723674960768,0.004650264548649049,0.6185844985791472,26.673917451050947,9.356444132904068e-05,0.010384723674960768,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,120,143,False,False,5736,0.009898544992165671,0.004332637171325666,0.5620201228296194,24.852006814724017,0.0001496204617834641,0.009898544992165671,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,144,215,False,False,17208,0.006843031575095877,0.001479357716393376,0.8058004122185595,25.456787583697214,-0.00022651178730435928,0.006843031575095877,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,120,215,True,False,22944,0.0077211144981667885,0.0021926775801264483,1.3678205350481787,50.30879439842123,-0.0001324787250324035,0.0077211144981667885,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,1,73,95,False,True,5497,0.01921742834940514,0.006060834094438885,2.0300946093477683,33.31640501713055,-0.00031244691554311633,0.01921742834940514,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,6,96,119,False,False,5736,0.010384723674960768,0.004650264548649049,0.6185844985791472,26.673917451050947,9.356444132904068e-05,0.010384723674960768,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,6,120,143,False,False,5736,0.009898544992165671,0.004332637171325666,0.5620201228296194,24.852006814724017,0.0001496204617834641,0.009898544992165671,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,6,144,215,False,False,17208,0.006843031575095877,0.001479357716393376,0.8058004122185595,25.456787583697214,-0.00022651178730435928,0.006843031575095877,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,6,120,215,True,False,22944,0.0077211144981667885,0.0021926775801264483,1.3678205350481787,50.30879439842123,-0.0001324787250324035,0.0077211144981667885,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,6,78,95,False,True,4302,0.017060083755936113,0.005875674318574152,1.2520818612816065,25.277150918506003,-0.00024383185006686368,0.017060083755936113,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,24,96,119,False,False,5736,0.010883493778225091,0.004825121698978748,0.6794317056033302,27.676898065342098,-3.5431936951365316e-05,0.010777754326160132,0.00010573945206495891,0.9810898343479924,-0.013138012628126305
42,I3_minus_I1,I3,I1,24,120,143,False,False,5736,0.010102047429911564,0.004359794843515826,0.5853666140161847,25.00778322240678,-0.00012360539039620814,0.010209189414173014,-0.00010714198426144995,-1.049466122283016,0.012482604148051135
42,I3_minus_I1,I3,I1,24,144,215,False,False,17208,0.006670827231450747,0.0014107781716138732,0.7657548978596902,24.276670777131528,-0.0003082440444498296,0.006716555924119287,-4.57286926685398e-05,-0.680835433891458,0.010534523015500952
42,I3_minus_I1,I3,I1,24,120,215,True,False,22944,0.007673838187826502,0.002148032339589361,1.351121511875875,49.28445399953831,-0.00026208438093642416,0.007738926264991934,-6.508807716543163e-05,-0.8410479042792574,0.023017127163551976
42,I3_minus_I1,I3,I1,24,96,95,False,True,0,,,0.0,0.0,,,,,0.0
42,I3_minus_I1,I3,I1,48,96,119,False,False,0,,,0.0,0.0,,,,,0.0
42,I3_minus_I1,I3,I1,48,120,143,False,False,5736,0.00980989141986116,0.004153161096585472,0.5519980500240549,23.822532050014267,-0.0002950271135135066,0.00980989141986116,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,48,144,215,False,False,17208,0.006796129254558134,0.0014246710731588522,0.7947923119109247,24.515739826917528,-0.00035027148891997686,0.006796129254558134,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,48,120,215,True,False,22944,0.007661528701953814,0.0021067935790155074,1.3467903619349797,48.3382718769318,-0.00033646039506835933,0.007661528701953814,0.0,0.0,0.0
42,I3_minus_I1,I3,I1,48,120,95,False,True,0,,,0.0,0.0,,,,,0.0
42,I3_minus_I2,I3,I2,1,96,119,False,False,5736,0.010384723674960768,0.004650264548649049,0.6185844985791472,26.673917451050947,9.356444132904068e-05,0.010384723674960768,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,1,120,143,False,False,5736,0.009898544992165671,0.004332637171325666,0.5620201228296194,24.852006814724017,0.0001496204617834641,0.009898544992165671,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,1,144,215,False,False,17208,0.006843031575095877,0.001479357716393376,0.8058004122185595,25.456787583697214,-0.00022651178730435928,0.006843031575095877,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,1,120,215,True,False,22944,0.0077211144981667885,0.0021926775801264483,1.3678205350481787,50.30879439842123,-0.0001324787250324035,0.0077211144981667885,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,1,73,95,False,True,5497,0.01921742834940514,0.006060834094438885,2.0300946093477683,33.31640501713055,-0.00031244691554311633,0.01921742834940514,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,96,119,False,False,5736,0.010384723674960768,0.004650264548649049,0.6185844985791472,26.673917451050947,9.356444132904068e-05,0.010384723674960768,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,120,143,False,False,5736,0.009898544992165671,0.004332637171325666,0.5620201228296194,24.852006814724017,0.0001496204617834641,0.009898544992165671,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,144,215,False,False,17208,0.006843031575095877,0.001479357716393376,0.8058004122185595,25.456787583697214,-0.00022651178730435928,0.006843031575095877,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,120,215,True,False,22944,0.0077211144981667885,0.0021926775801264483,1.3678205350481787,50.30879439842123,-0.0001324787250324035,0.0077211144981667885,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,78,95,False,True,4302,0.017060083755936113,0.005875674318574152,1.2520818612816065,25.277150918506003,-0.00024383185006686368,0.017060083755936113,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,24,96,119,False,False,5736,0.010883493778225091,0.004825121698978748,0.6794317056033302,27.676898065342098,-3.5431936951365316e-05,0.011089911754563114,-0.000206417976338023,-1.8613130645795173,0.026016809061517265
42,I3_minus_I2,I3,I2,24,120,143,False,False,5736,0.010102047429911564,0.004359794843515826,0.5853666140161847,25.00778322240678,-0.00012360539039620814,0.010058554637858408,4.349279205315658e-05,0.43239604117135677,-0.00502955924982218
42,I3_minus_I2,I3,I2,24,144,215,False,False,17208,0.006670827231450747,0.0014107781716138732,0.7657548978596902,24.276670777131528,-0.0003082440444498296,0.006645052594716773,2.5774636733974683e-05,0.38787709151417715,-0.005905991499101537
42,I3_minus_I2,I3,I2,24,120,215,True,False,22944,0.007673838187826502,0.002148032339589361,1.351121511875875,49.28445399953831,-0.00026208438093642416,0.0076427202840748925,3.1117903751609784e-05,0.4071574334134631,-0.010935550748923717
42,I3_minus_I2,I3,I2,24,96,95,False,True,0,,,0.0,0.0,,,,,0.0
42,I3_minus_I2,I3,I2,48,96,119,False,False,0,,,0.0,0.0,,,,,0.0
42,I3_minus_I2,I3,I2,48,120,143,False,False,5736,0.00980989141986116,0.004153161096585472,0.5519980500240549,23.822532050014267,-0.0002950271135135066,0.00980989141986116,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,48,144,215,False,False,17208,0.006796129254558134,0.0014246710731588522,0.7947923119109247,24.515739826917528,-0.00035027148891997686,0.006796129254558134,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,48,120,215,True,False,22944,0.007661528701953814,0.0021067935790155074,1.3467903619349797,48.3382718769318,-0.00033646039506835933,0.007661528701953814,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,48,120,95,False,True,0,,,0.0,0.0,,,,,0.0
42,I2_minus_I1,I2,I1,1,96,119,False,False,5736,0.010384723674960768,0.004650264548649049,0.6185844985791472,26.673917451050947,9.356444132904068e-05,0.010384723674960768,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,120,143,False,False,5736,0.009898544992165671,0.004332637171325666,0.5620201228296194,24.852006814724017,0.0001496204617834641,0.009898544992165671,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,144,215,False,False,17208,0.006843031575095877,0.001479357716393376,0.8058004122185595,25.456787583697214,-0.00022651178730435928,0.006843031575095877,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,120,215,True,False,22944,0.0077211144981667885,0.0021926775801264483,1.3678205350481787,50.30879439842123,-0.0001324787250324035,0.0077211144981667885,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,73,95,False,True,5497,0.01921742834940514,0.006060834094438885,2.0300946093477683,33.31640501713055,-0.00031244691554311633,0.01921742834940514,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,6,96,119,False,False,5736,0.010384723674960768,0.004650264548649049,0.6185844985791472,26.673917451050947,9.356444132904068e-05,0.010384723674960768,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,6,120,143,False,False,5736,0.009898544992165671,0.004332637171325666,0.5620201228296194,24.852006814724017,0.0001496204617834641,0.009898544992165671,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,6,144,215,False,False,17208,0.006843031575095877,0.001479357716393376,0.8058004122185595,25.456787583697214,-0.00022651178730435928,0.006843031575095877,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,6,120,215,True,False,22944,0.0077211144981667885,0.0021926775801264483,1.3678205350481787,50.30879439842123,-0.0001324787250324035,0.0077211144981667885,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,6,78,95,False,True,4302,0.017060083755936113,0.005875674318574152,1.2520818612816065,25.277150918506003,-0.00024383185006686368,0.017060083755936113,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,24,96,119,False,False,5736,0.011089911754563114,0.004814927682248341,0.7054485146648475,27.618425185376488,-8.868477251429676e-05,0.010777754326160132,0.0003121574284029819,2.8963123388821677,-0.03915482168964357
42,I2_minus_I1,I2,I1,24,120,143,False,False,5736,0.010058554637858408,0.004297109415959048,0.5803370547663625,24.6482196099411,-0.0001716872427271264,0.010209189414173014,-0.00015063477631460653,-1.4754822366747966,0.017512163397873315
42,I2_minus_I1,I2,I1,24,144,215,False,False,17208,0.006645052594716773,0.00138985160272184,0.7598489063605887,23.916566379637423,-0.0003227582747087304,0.006716555924119287,-7.150332940251448e-05,-1.0645832508554665,0.01644051451460249
42,I2_minus_I1,I2,I1,24,120,215,True,False,22944,0.0076427202840748925,0.0021166660560311417,1.3401859611269513,48.56478598957852,-0.0002849905167133294,0.007738926264991934,-9.620598091704142e-05,-1.2431437853625993,0.03395267791247569
42,I2_minus_I1,I2,I1,24,96,95,False,True,0,,,0.0,0.0,,,,,0.0
42,I2_minus_I1,I2,I1,48,96,119,False,False,0,,,0.0,0.0,,,,,0.0
42,I2_minus_I1,I2,I1,48,120,143,False,False,5736,0.00980989141986116,0.004153161096585472,0.5519980500240549,23.822532050014267,-0.0002950271135135066,0.00980989141986116,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,48,144,215,False,False,17208,0.006796129254558134,0.0014246710731588522,0.7947923119109247,24.515739826917528,-0.00035027148891997686,0.006796129254558134,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,48,120,215,True,False,22944,0.007661528701953814,0.0021067935790155074,1.3467903619349797,48.3382718769318,-0.00033646039506835933,0.007661528701953814,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,48,120,95,False,True,0,,,0.0,0.0,,,,,0.0
42,I1_minus_B0,I1,B0,1,96,119,False,False,5736,0.010384723674960768,0.004650264548649049,0.6185844985791472,26.673917451050947,9.356444132904068e-05,0.010384723674960768,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,1,120,143,False,False,5736,0.009898544992165671,0.004332637171325666,0.5620201228296194,24.852006814724017,0.0001496204617834641,0.009898544992165671,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,1,144,215,False,False,17208,0.006843031575095877,0.001479357716393376,0.8058004122185595,25.456787583697214,-0.00022651178730435928,0.006843031575095877,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,1,120,215,True,False,22944,0.0077211144981667885,0.0021926775801264483,1.3678205350481787,50.30879439842123,-0.0001324787250324035,0.0077211144981667885,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,1,73,95,False,True,5497,0.01921742834940514,0.006060834094438885,2.0300946093477683,33.31640501713055,-0.00031244691554311633,0.01921742834940514,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,6,96,119,False,False,5736,0.010384723674960768,0.004650264548649049,0.6185844985791472,26.673917451050947,9.356444132904068e-05,0.010384723674960768,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,6,120,143,False,False,5736,0.009898544992165671,0.004332637171325666,0.5620201228296194,24.852006814724017,0.0001496204617834641,0.009898544992165671,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,6,144,215,False,False,17208,0.006843031575095877,0.001479357716393376,0.8058004122185595,25.456787583697214,-0.00022651178730435928,0.006843031575095877,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,6,120,215,True,False,22944,0.0077211144981667885,0.0021926775801264483,1.3678205350481787,50.30879439842123,-0.0001324787250324035,0.0077211144981667885,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,6,78,95,False,True,4302,0.017060083755936113,0.005875674318574152,1.2520818612816065,25.277150918506003,-0.00024383185006686368,0.017060083755936113,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,24,96,119,False,False,5736,0.010777754326160132,0.004935250890730845,0.6662936929752039,28.30859910923213,0.00010788051003225794,0.010777754326160132,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,24,120,143,False,False,5736,0.010209189414173014,0.004493515115720023,0.5978492181642359,25.77480270377005,4.346505204396298e-05,0.010209189414173014,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,24,144,215,False,False,17208,0.006716555924119287,0.001489977850262499,0.7762894208751911,25.639538847317084,-0.0002047383814821128,0.006716555924119287,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,24,120,215,True,False,22944,0.007738926264991934,0.00224086216662688,1.374138639039427,51.414341551087134,-0.00014268752310059383,0.007738926264991934,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,24,96,95,False,True,0,,,0.0,0.0,,,,,0.0
42,I1_minus_B0,I1,B0,48,96,119,False,False,0,,,0.0,0.0,,,,,0.0
42,I1_minus_B0,I1,B0,48,120,143,False,False,5736,0.00980989141986116,0.004153161096585472,0.5519980500240549,23.822532050014267,-0.0002950271135135066,0.009851380342539039,-4.148892267787779e-05,-0.42114831866479907,0.004678998507644305
42,I1_minus_B0,I1,B0,48,144,215,False,False,17208,0.006796129254558134,0.0014246710731588522,0.7947923119109247,24.515739826917528,-0.00035027148891997686,0.006820769116646474,-2.463986208833986e-05,-0.3612475611907917,0.00577360231250712
42,I1_minus_B0,I1,B0,48,120,215,True,False,22944,0.007661528701953814,0.0021067935790155074,1.3467903619349797,48.3382718769318,-0.00033646039506835933,0.007691202257793633,-2.967355583981951e-05,-0.38581166955726776,0.010452600820151314
42,I1_minus_B0,I1,B0,48,120,95,False,True,0,,,0.0,0.0,,,,,0.0
42,I3_minus_B0,I3,B0,1,96,119,False,False,5736,0.010384723674960768,0.004650264548649049,0.6185844985791472,26.673917451050947,9.356444132904068e-05,0.010384723674960768,0.0,0.0,0.0
42,I3_minus_B0,I3,B0,1,120,143,False,False,5736,0.009898544992165671,0.004332637171325666,0.5620201228296194,24.852006814724017,0.0001496204617834641,0.009898544992165671,0.0,0.0,0.0
42,I3_minus_B0,I3,B0,1,144,215,False,False,17208,0.006843031575095877,0.001479357716393376,0.8058004122185595,25.456787583697214,-0.00022651178730435928,0.006843031575095877,0.0,0.0,0.0
42,I3_minus_B0,I3,B0,1,120,215,True,False,22944,0.0077211144981667885,0.0021926775801264483,1.3678205350481787,50.30879439842123,-0.0001324787250324035,0.0077211144981667885,0.0,0.0,0.0
42,I3_minus_B0,I3,B0,1,73,95,False,True,5497,0.01921742834940514,0.006060834094438885,2.0300946093477683,33.31640501713055,-0.00031244691554311633,0.01921742834940514,0.0,0.0,0.0
42,I3_minus_B0,I3,B0,6,96,119,False,False,5736,0.010384723674960768,0.004650264548649049,0.6185844985791472,26.673917451050947,9.356444132904068e-05,0.010384723674960768,0.0,0.0,0.0
42,I3_minus_B0,I3,B0,6,120,143,False,False,5736,0.009898544992165671,0.004332637171325666,0.5620201228296194,24.852006814724017,0.0001496204617834641,0.009898544992165671,0.0,0.0,0.0
