horizon,specialist,residual_correlation_with_v1.12,mean_absolute_prediction_disagreement
osi_target_t01h,base_pd_weighted_l2,0.9709450181134589,0.0013853091823522868
osi_target_t01h,profile_pd_weighted_l2,0.9586297712286992,0.0016025520182763697
osi_target_t06h,base_pd_weighted_l2,0.9721676349076083,0.0013155282618288972
osi_target_t06h,profile_pd_weighted_l2,0.9583208118701975,0.0014662271716971086
osi_target_t24h,base_pd_weighted_l2,0.9657446373756099,0.0014689630795954387
osi_target_t24h,profile_pd_weighted_l2,0.9636987662529445,0.001642761593505347
osi_target_t48h,base_pd_weighted_l2,0.9742970337210539,0.0013176726367285722
osi_target_t48h,profile_pd_weighted_l2,0.9689790265845044,0.0012249428425309698
