split_seed,domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18009,1,Blackford County,143,0.0059461257980235206,0.003486191612752256,0.005055966916846682,0.0018711301163226418,0.005920020362130476,0.003289980921675431,0.005011669675589641,0.0012663610728825593,-2.6105435893044975e-05,-0.43903268749749813,4.429724125704082e-05,74,0.0005333359651675325
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18013,1,Brown County,143,0.028843485690798084,0.012966334330537637,0.11896837335172415,-0.008915706506868104,0.02892942207308759,0.013086795663050937,0.1196783389920472,-0.00883089960290037,8.593638228950734e-05,0.29794035024319765,-0.0007099656403230514,94,-0.008547941119409899
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18023,1,Clinton County,143,0.001859751687062818,0.0007535821914909488,0.0004945907162672187,0.0007043875387518195,0.0018709714518135687,0.0007642680706385558,0.0005005763868106963,0.0007195128258833109,1.1219764750750602e-05,0.6032936993040527,-5.985670543477641e-06,35,-7.206709234907726e-05
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18025,1,Crawford County,143,0.011993908425578542,0.002184827404572575,0.020571099022926444,-0.0013826185781196773,0.011956636536472507,0.002201879568039453,0.02044344548893922,-0.0014064293729118553,-3.72718891060355e-05,-0.31075682574454033,0.00012765353398722437,48,0.0015369404239209006
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18027,1,Daviess County,143,0.003030777119222342,0.0012431797833830003,0.0013135422223354402,0.0012135893281933292,0.0037118441857143286,0.001501023229992251,0.0019702235780400413,0.0014802459090823867,0.0006810670664919864,22.471697511915334,-0.0006566813557046011,40,-0.00790640172420601
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18029,1,Dearborn County,143,0.0013694611856816502,0.0004524058123252966,0.0002681856232896685,-1.3293727145553124e-05,0.0013874356988604448,0.000438835473667201,0.000275271828041549,-4.3383343414849544e-05,1.7974513178794626e-05,1.3125244706988726,-7.086204751880496e-06,25,-8.53174541680569e-05
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18033,1,DeKalb County,143,0.0033140517092979083,0.0013054383895069687,0.0015705602386617556,-0.0009933446375546872,0.0032689874273658212,0.001292438163591561,0.0015281378684394407,-0.0009660952533432927,-4.506428193208709e-05,-1.359794169947759,4.2422370222314904e-05,46,0.0005107626372469983
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18035,1,Delaware County,143,0.0019687881612673597,0.0009423011874407864,0.0005542861358243511,-0.0005968106291206536,0.0020362858677457924,0.0009654424017327921,0.0005929437993309166,-0.0007320514888120178,6.749770647843274e-05,3.4283884780667684,-3.8657663506565547e-05,62,-0.0004654358080170237
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18037,1,Dubois County,143,0.002825015879913677,0.0011706674337306057,0.0011412422052123159,0.000819618482681655,0.002670934428125345,0.0011209974184737054,0.0010201463728663727,0.0007699484674247546,-0.00015408145178833193,-5.454180023690347,0.00012109583234594314,31,0.0014579861135646651
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18039,1,Elkhart County,143,0.0018511904435158605,0.0013964427687825614,0.0004900475663175161,0.0013479601118326038,0.001812347946695431,0.0013517068509404262,0.0004696985264244337,0.0013035799005402379,-3.88424968204295e-05,-2.098244238267466,2.0349039893082345e-05,99,0.00024500114507434897
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18041,1,Fayette County,143,0.00510870379641257,0.0019631840543495767,0.003732136190565669,-0.0015530838407491559,0.005191514340833857,0.00199334157074368,0.003854110424604954,-0.0016310979360344468,8.281054442128757e-05,1.620969774748704,-0.00012197423403928487,54,-0.0014685620140412832
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18043,1,Floyd County,143,0.002227232281710472,0.0009250915504986767,0.0007093606000471326,0.0005292807508862153,0.002342864681478868,0.0009682367929838995,0.0007849291329481144,0.0005976418260228865,0.0001156323997683964,5.191753043359837,-7.556853290098184e-05,32,-0.0009098403261091019
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18045,1,Fountain County,143,0.0025780653263334273,0.0010276362634033841,0.0009504381782385033,0.0010124021902076748,0.002673688977713285,0.001054984581692016,0.001022251623185008,0.0010461818960392833,9.562365137985758e-05,3.709124450925194,-7.181344494650466e-05,37,-0.0008646293061525998
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18047,1,Franklin County,143,0.003064798209679895,0.0012831842794577492,0.0013431972934461638,0.0004900137011554436,0.0030368418454637894,0.001298324954490496,0.0013188044003934678,0.0005025661420977901,-2.7956364216105613e-05,-0.9121763425666285,2.4392893052696063e-05,46,0.0002936888797204779
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18051,1,Gibson County,143,0.0013204160892377882,0.0004067712172014878,0.00024932030676667606,2.1349658294371913e-05,0.001304968760066729,0.0004166456517948553,0.00024352091545926373,3.835668534886598e-05,-1.5447329171059147e-05,-1.169883440300712,5.799391307412325e-06,26,6.98243022037254e-05
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18059,1,Hancock County,143,0.001125452854760431,0.00033509215146189917,0.00018113011034524173,0.00013519418476139278,0.0011545657820702159,0.0003482850148480878,0.00019062216675321954,0.00013653195905739783,2.9112927309784924e-05,2.586774486967025,-9.492056407977813e-06,24,-0.00011428375497241281
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18061,1,Harrison County,143,0.004045622930785725,0.0016412710549803878,0.0023404902804281965,-0.0002727285815947345,0.004031089443652671,0.0016456254578180016,0.0023237045406901036,-0.00031974950350634895,-1.4533487133054114e-05,-0.35923978536060996,1.6785739738092893e-05,27,0.00020209923801617856
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18065,1,Henry County,143,0.002083767049742991,0.0007952270186764056,0.000620918171816029,-0.0001677362706883105,0.002090814519442124,0.0007971059885740737,0.0006251252657235301,-0.00018096390941775938,7.047469699133363e-06,0.3382081360775224,-4.207093907501128e-06,32,-5.0653142860243476e-05
