split_seed,domain,mode,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,34177,0.011101490712958732,0.0033403611996247746,4.212079293697739,-0.00011626380690964074,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,-0.00010999869111116833,-0.990846130085643,0.08305691749688293,17310
42,OSI,v18_rule,osi_target_t06h,F2_minus_F0,32982,0.010146817077991867,0.003209012306934363,3.3957573527268483,-9.55936733092431e-05,0.01007974033020953,0.003177439347335253,3.351009628134694,-8.79139286335395e-05,-6.707674778233703e-05,-0.6610619592997691,0.04474772459215437,16464
42,OSI,v18_rule,osi_target_t24h,F2_minus_F0,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.0,0.0,0.0,0
42,OSI,v18_rule,osi_target_t48h,F2_minus_F0,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
20260917,OSI,v18_rule,osi_target_t01h,F2_minus_F0,34177,0.01140564895985692,0.0033826711151431596,4.446045881237099,-0.00018897122879376848,0.011279784035266497,0.0033373913910967556,4.348460282431759,-0.00017010159640818727,-0.00012586492459042316,-1.103531460887619,0.09758559880534001,16887
20260917,OSI,v18_rule,osi_target_t06h,F2_minus_F0,32982,0.01043484686574168,0.0032513279861607985,3.5912790121548,-0.00017562574910613557,0.0103282666639301,0.003209718940664248,3.51829192962018,-0.00016407242957993933,-0.00010658020181158155,-1.021387311025057,0.07298708253461994,16065
20260917,OSI,v18_rule,osi_target_t24h,F2_minus_F0,28680,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.0,0.0,0.0,0
20260917,OSI,v18_rule,osi_target_t48h,F2_minus_F0,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.0,0.0,0.0,0
20260918,OSI,v18_rule,osi_target_t01h,F2_minus_F0,34177,0.010748603143167522,0.003317938574683782,3.9485532111032526,-6.713967255880392e-05,0.010683002911169644,0.0032883188402159907,3.9005031403644193,-6.38801247473866e-05,-6.560023199787823e-05,-0.6103140205672042,0.048050070738833384,17057
20260918,OSI,v18_rule,osi_target_t06h,F2_minus_F0,32982,0.009754537404413665,0.0031814554611128637,3.1382702811459398,-4.4017728955019525e-05,0.009696165799144481,0.003157640544858214,3.1008235483867903,-4.462224350760196e-05,-5.83716052691835e-05,-0.5984046485153827,0.03744673275914945,16246
20260918,OSI,v18_rule,osi_target_t24h,F2_minus_F0,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.0,0.0,0.0,0
20260918,OSI,v18_rule,osi_target_t48h,F2_minus_F0,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.0,0.0,0.0,0
