split_seed,horizon,better_counties,worse_counties,unchanged_counties,better_folds,net_sse_reduction,Forest_net_share_pct,Morrow_net_share_pct
42,osi_target_t01h,136,103,0,4,0.08305691749688415,35.88768282398111,5.942659146155964
42,osi_target_t06h,132,107,0,5,0.044747724592154876,27.482568572843544,4.552618685974136
20260917,osi_target_t01h,144,95,0,4,0.09758559880534025,16.631660159740683,21.08876544314554
20260917,osi_target_t06h,141,98,0,4,0.0729870825346195,13.178521546142594,16.05796616571708
20260918,osi_target_t01h,123,116,0,4,0.048050070738832724,-16.296272311512023,32.626678033690524
20260918,osi_target_t06h,122,117,0,3,0.03744673275914902,4.6223070250528995,23.835987852355537
