split_seed,domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,window,73-76,239,,956,0.024171085167986432,0.006631905146900736,0.5585347384373394,-0.0005511779344657415,0.023564781526417063,0.00639516555292622,0.5308657755387052,-0.00042991651861295414,-0.0006063036415693696,-2.5083840355351272,0.027668962898634186,678
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,window,77-95,239,,4541,0.01893439579551517,0.0064760118319570036,1.6280000137452915,-0.00026445959060949554,0.018705630165985636,0.006338736593989799,1.5888986241760152,-0.00023549356638295424,-0.00022876562952953497,-1.2082013706702033,0.039101389569276224,2870
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,window,96-143,239,,11472,0.010295994944956952,0.004577686853296001,1.2161181765922757,0.00012720038098469497,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,-5.2237392179419265e-05,-0.5073564279963638,0.012308803317680361,8982
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,window,144-215,239,,17208,0.006858410481690167,0.0015051505165742877,0.8094263649228326,-0.000215304148831953,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,-1.68728888098749e-05,-0.24601748254818867,0.0039777617112930486,4780
42,P,raw,osi_target_t01h,F2_minus_F0,window,73-76,239,,956,0.041443228056299734,0.011558375152815976,1.641969341050505,-0.0011074722899529273,0.040123824595274825,0.011165204982959006,1.539084762945676,-0.0007849384745960418,-0.0013194034610249095,-3.1836406643626525,0.10288457810482887,859
42,P,raw,osi_target_t01h,F2_minus_F0,window,77-95,239,,4541,0.02999261982765748,0.009933535971348098,4.084889445577948,-0.00042980703036003137,0.02906902720703585,0.009363399276588602,3.837182884488556,-0.00027521024670705156,-0.0009235926206216279,-3.0793996187353567,0.24770656108939226,4170
42,P,raw,osi_target_t01h,F2_minus_F0,window,96-143,239,,11472,0.01744850417551218,0.007472753345377577,3.492653818229999,0.0002908614533953734,0.017124014662557648,0.007250608271344473,3.3639561062915493,0.0003644897006360317,-0.00032448951295453374,-1.859698170631341,0.1286977119384498,11203
42,P,raw,osi_target_t01h,F2_minus_F0,window,144-215,239,,17208,0.011376306677430694,0.002515358143096894,2.227065445074964,-5.339191515627111e-05,0.011212411505161066,0.002441214709745809,2.1633582996644622,-7.263831519244683e-05,-0.0001638951722696281,-1.4406711854452525,0.06370714541050182,16396
42,P,aligned,osi_target_t01h,F2_minus_F0,window,73-76,239,,956,0.041443228056299734,0.011558375152815976,1.641969341050505,-0.0011074722899529273,0.040123824595274825,0.011165204982959006,1.539084762945676,-0.0007849384745960418,-0.0013194034610249095,-3.1836406643626525,0.10288457810482887,859
42,P,aligned,osi_target_t01h,F2_minus_F0,window,77-95,239,,4541,0.029303325124822074,0.009953950342516239,3.8992879645678413,-0.00024335499371770091,0.028764604626482504,0.009654525528591302,3.757234658582396,-0.0001546823806909619,-0.0005387204983395705,-1.8384278782179408,0.1420533059854452,4170
42,P,aligned,osi_target_t01h,F2_minus_F0,window,96-143,239,,11472,0.01681136274517859,0.007167339722859093,3.2422386358389534,0.00029284926527773216,0.01669416387154443,0.007087545677647326,3.1971902717484024,0.0003216259337136867,-0.00011719887363416046,-0.6971408291559955,0.04504836409055102,11203
42,P,aligned,osi_target_t01h,F2_minus_F0,window,144-215,239,,17208,0.01071771857363152,0.002404030799708334,1.9766742084167246,-2.600090004813124e-07,0.010677225348152788,0.002380557292647318,1.9617660526551486,-5.071609009525223e-06,-4.049322547873199e-05,-0.3778157189008091,0.014908155761576003,16396
42,OSI,v18_rule,osi_target_t06h,F2_minus_F0,window,77-95,239,,4302,0.01784673639119402,0.006374660678076963,1.3702128112117402,-0.00021086924933557213,0.017660413432723704,0.006243311725541747,1.341751651648559,-0.00018870767107998974,-0.00018632295847031619,-1.044016980954865,0.028461159563181182,2702
42,OSI,v18_rule,osi_target_t06h,F2_minus_F0,window,96-143,239,,11472,0.010295994944956952,0.004577686853296001,1.2161181765922757,0.00012720038098469497,0.010243757552777533,0.004552897720332377,1.2038093732745954,0.0001420597239324634,-5.2237392179419265e-05,-0.5073564279963638,0.012308803317680361,8982
42,OSI,v18_rule,osi_target_t06h,F2_minus_F0,window,144-215,239,,17208,0.006858410481690167,0.0015051505165742877,0.8094263649228326,-0.000215304148831953,0.006841537592880292,0.00149399900411888,0.8054486032115395,-0.00021603126139926212,-1.68728888098749e-05,-0.24601748254818867,0.0039777617112930486,4780
42,OSI,v18_rule,osi_target_t24h,F2_minus_F0,window,96-143,239,,11472,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.010616169485079483,0.004753144773278289,1.292929441636221,4.1102281061094314e-05,0.0,0.0,0.0,0
42,OSI,v18_rule,osi_target_t24h,F2_minus_F0,window,144-215,239,,17208,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.006713761658672963,0.001521997783465929,0.7756436412477103,-0.00016572547623682578,0.0,0.0,0.0,0
42,OSI,v18_rule,osi_target_t48h,F2_minus_F0,window,96-143,239,,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.0,0.0,0.0,0
42,OSI,v18_rule,osi_target_t48h,F2_minus_F0,window,144-215,239,,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.0,0.0,0.0,0
20260917,OSI,v18_rule,osi_target_t01h,F2_minus_F0,window,73-76,239,,956,0.02483039390343368,0.006655023331518479,0.5894203290980907,-0.00040683388752541855,0.024411996953537313,0.006507596516253781,0.5697239890680964,-0.00018341050609038445,-0.00041839694989636786,-1.6850193819861636,0.01969634002999432,659
20260917,OSI,v18_rule,osi_target_t01h,F2_minus_F0,window,77-95,239,,4541,0.01996244176152179,0.00672286641255616,1.8095843271940397,-0.00021322394770479486,0.019689981246183784,0.006558771767348261,1.760524636458289,-0.00014601403772437508,-0.00027246051533800705,-1.3648656742141774,0.04905969073575078,2881
20260917,OSI,v18_rule,osi_target_t01h,F2_minus_F0,window,96-143,239,,11472,0.010059051597845878,0.004511086038169595,1.1607888025200983,-4.6642492892471566e-05,0.009955966164899268,0.004462546804540733,1.1371191208373737,-3.486545631665923e-05,-0.00010308543294661014,-1.0248027057410236,0.023669681682724653,8850
20260917,OSI,v18_rule,osi_target_t01h,F2_minus_F0,window,144-215,239,,17208,0.007176513711294659,0.0015671567287318107,0.8862524224248713,-0.0002653535486413538,0.007155591877860366,0.001561078787003455,0.8810925360680013,-0.00026587607836175655,-2.0921833434293068e-05,-0.29153199277478503,0.005159886356870036,4497
20260917,P,raw,osi_target_t01h,F2_minus_F0,window,73-76,239,,956,0.04165330993064054,0.01138525921179056,1.6586583061381663,-0.001260914055055719,0.04099794409294848,0.011155358687538391,1.6068748373751938,-0.0006768478551786321,-0.0006553658376920665,-1.573382376534671,0.05178346876297257,863
20260917,P,raw,osi_target_t01h,F2_minus_F0,window,77-95,239,,4541,0.02896955170884447,0.009593490893529885,3.810965799926029,-0.00035044707557714376,0.028819358596739394,0.00921836112575101,3.7715522073005814,-6.205998172630936e-05,-0.00015019311210507508,-0.5184516267789596,0.039413592625447524,4219
20260917,P,raw,osi_target_t01h,F2_minus_F0,window,96-143,239,,11472,0.017505656174611448,0.007222087854814237,3.515571434245783,0.00031923769842562305,0.016598109215452322,0.006867275009976211,3.1605042171461712,0.00038160172057771487,-0.0009075469591591258,-5.1843070040147765,0.35506721709961164,11214
20260917,P,raw,osi_target_t01h,F2_minus_F0,window,144-215,239,,17208,0.0119861748174083,0.002601000320927337,2.4722455992537613,-7.549715565283064e-05,0.011806648741915149,0.002576106760075503,2.398742793293544,-6.623777384117278e-05,-0.00017952607549315096,-1.4977762149139817,0.07350280596021719,16439
