split_seed,domain,mode,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,OSI,C0_direct_osi,osi_target_t01h,F2_minus_F0,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.0,0.0,0.0,0
42,OSI,C1_component_osi,osi_target_t01h,F2_minus_F0,34177,0.011187368590210009,0.0033720659062251093,4.277498170316654,-0.00011883284701340053,0.01099408271972475,0.003278457649174449,4.130969029145235,-0.00010064466718107809,-0.00019328587048525817,-1.7277152256733652,0.1465291411714187,17512
42,OSI,C2_equal_blend,osi_target_t01h,F2_minus_F0,34177,0.011417482127708052,0.0034116720936795963,4.455276061612281,-0.00013980518774322996,0.011319898969309572,0.003364610377481295,4.379444630906323,-0.0001314229386326237,-9.758315839848014e-05,-0.8546819456950572,0.07583143070595799,17024
42,OSI,C3_aligned_component,osi_target_t01h,F2_minus_F0,34177,0.011101490712958732,0.0033403611996247746,4.212079293697739,-0.00011626380690964074,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,-0.00010999869111116833,-0.990846130085643,0.08305691749688293,17310
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,34177,0.011101490712958732,0.0033403611996247746,4.212079293697739,-0.00011626380690964074,0.010991492021847564,0.003301564170419752,4.129022376200856,-0.0001044015937602557,-0.00010999869111116833,-0.990846130085643,0.08305691749688293,17310
42,P,raw,osi_target_t01h,F2_minus_F0,34177,0.018300833411434417,0.005417962454181663,11.446578049933418,-1.733629975472648e-05,0.017861487700620824,0.005219315121071696,10.903582053390243,2.7250338117868578e-05,-0.0004393457108135927,-2.4006869028111444,0.5429959965431745,32628
42,P,aligned,osi_target_t01h,F2_minus_F0,34177,0.017743635207965833,0.0052621054643028605,10.760170149874025,3.485601429963956e-05,0.01749044167001514,0.005172721136872373,10.455275745931624,6.28962925738371e-05,-0.0002531935379506932,-1.4269541443064804,0.3048944039424004,32628
42,OSI,C0_direct_osi,osi_target_t06h,F2_minus_F0,32982,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.0,0.0,0.0,0
42,OSI,C1_component_osi,osi_target_t06h,F2_minus_F0,32982,0.010621545697340714,0.0034298288998334237,3.7209379788289896,-2.6052803273897497e-07,0.010621545697340714,0.0034298288998334237,3.7209379788289896,-2.6052803273897497e-07,0.0,0.0,0.0,0
42,OSI,C2_equal_blend,osi_target_t06h,F2_minus_F0,32982,0.010653558786996201,0.003419836446260306,3.7434014196565677,-9.769861321811721e-06,0.010653558786996201,0.003419836446260306,3.7434014196565677,-9.769861321811721e-06,0.0,0.0,0.0,0
